comment,cleaned_comment
Is it host DNA or RNA that is incorporated when inserting a gene? I believe both were said,host dna rna incorporated inserting gene believe said
"Well, this is really helpful. Thank you so much. ❤️",well really helpful thank much
love it,love
I would like permission to use this video in a presentation for our church livestream (on YouTube and our website).  How do I go about doing that?,would like permission use video presentation church livestream youtube website go
Blows my mind,blow mind
loove u,loove u
awesome explanation!,awesome explanation
found my new favourite channel,found new favourite channel
"Thanks for that exciting video, it was extremely informational. I am interested what is advantages of trcrRNA-crRNA chimera?",thanks exciting video extremely informational interested advantage trcrrnacrrna chimera
This was really helpful!,really helpful
AMAZING explanation!! Thank you!,amazing explanation thank
"there's one quastion ib my mind. If we use SCISPR-CAS  in human body, will our immune system react to foreign protein CAS9?",there one quastion ib mind use scisprcas human body immune system react foreign protein ca
that helpful. thanks for sharing.,helpful thanks sharing
Hmmmm... maybe this fancy CRISPR thinguhmajigger can help me grow my hair back,hmmmm maybe fancy crispr thinguhmajigger help grow hair back
thank you so much,thank much
"Best sir love from Pakistan 🇵🇰. 
Keep up the good work.",best sir love pakistan keep good work
"thank , informative video",thank informative video
thank you! finally got it,thank finally got
thank you it is a life saver. I have an exam tomorrow,thank life saver exam tomorrow
Is it really possible to reprogram dna in adults or is it only possible in embryo?,really possible reprogram dna adult possible embryo
"No no no, if you think it'll only be used fir good your so wrong. Greed money and power . This is horrific",think itll used fir good wrong greed money power horrific
Perfect!,perfect
"""Shut up and give me wolf ears!""",shut give wolf ear
Could this help ALS?,could help al
"I wonder for the modified CRISPR, when do the cutting of the original double stranded DNA, where did the original gene sequence go? Because it seem like the enzyme only cleave the DNA at specific location and not remove the desired gene that we want to replace",wonder modified crispr cutting original double stranded dna original gene sequence go seem like enzyme cleave dna specific location remove desired gene want replace
"Preparing for my med-sku interview tomorrow, I hope they'll ask me something about this so I could show off as a 17 year old. Lord bless me.",preparing medsku interview tomorrow hope theyll ask something could show year old lord bless
that is amazing yet terrifying. Genetically Modified Humans! Could someone inject me with a virus and have the crisper process started without my knowledge?,amazing yet terrifying genetically modified human could someone inject virus crisper process started without knowledge
That was very Interesting Thanks Paul Never thought i would have Understood or watched it till the end Thanks.,interesting thanks paul never thought would understood watched till end thanks
"You did a great job with this video, so much so that a layperson could grasp it. Thank you. Please do one on Oligodendroglioma brain tumors!",great job video much layperson could grasp thank please one oligodendroglioma brain tumor
Is the third part just an engineered linear strand? Or is that a plasmid? So do scientists put in both CRSPR and a linear DNA to gene edit a cell?,third part engineered linear strand plasmid scientist put crspr linear dna gene edit cell
I'm not an English speaker and I understood this video. Thank you very much for the explanation. It's very visual and that had helped me a lot. For more teachers like this guy :),im english speaker understood video thank much explanation visual helped lot teacher like guy
"Crisper will introduce something we don't want.   Sorry.   The introduction of what we have been seeing over the last 2 years is an attempt to control society on a grand scale. The individuals that are supposedly controlling everything that happens have a plan to regulate everything.  Mostly, how we function daily. Period.  
How?
Well, something has been introduced into us that we ran to recently because of a scare.  Ask yourself what was it?  Well, it shut down everything under the guise of health emergency people.  Why did they do this?  To control:
Population.
Banking
Health
Policing.  and even worship.
It will even recognize YOUR THOUGHT PROCESS!! 
Remember the Tom Cruise movie?  Minority Report?  
China has already pushed forward with the credit system that recognizes you at a drop of a hat!
DNA manipulation will be introduced into the human body from the next level of digital I.D.  this I.D. will recognize you!!!!
Anytime ""THEY"" want!!
CRISPR.
Yea.
Good Idea! 
Read your bible!!!",crisper introduce something dont want sorry introduction seeing last year attempt control society grand scale individual supposedly controlling everything happens plan regulate everything mostly function daily period well something introduced u ran recently scare ask well shut everything guise health emergency people control population banking health policing even worship even recognize thought process remember tom cruise movie minority report china already pushed forward credit system recognizes drop hat dna manipulation introduced human body next level digital id id recognize anytime want crispr yea good idea read bible
Thank you so much! That was super helpful!!!!,thank much super helpful
Can you invest in a company working on this?,invest company working
"Great, you have an amazing faculty to diseminate science. Congratulations",great amazing faculty diseminate science congratulation
The road to hell is paved with good intentions,road hell paved good intention
"Crispr this bitch 
(And I say b**** because I really actually admire how individuals can call each other b**** especially females and just be completely chill and cool about it and I have no ego or no desire to be better than one another or be hurt and this term of endearment becomes what sounds of the mouth have already meant to be and what intellects claim to be the persistent persute  of human  expression within the language should not suppress dynamic form of 
7 not just two vertical ⏸️ spired  line  in DNA with seven dimensions to each seven",crispr bitch say b really actually admire individual call b especially female completely chill cool ego desire better one another hurt term endearment becomes sound mouth already meant intellect claim persistent persute human expression within language suppress dynamic form two vertical spired line dna seven dimension seven
"I never write commentaries here on YT, but this time I need to do it to thank for this, I never understood de CRISP-Cas9 system till now!!! I'M SO HAPPY!!!
I know it's kind of ridiculous, but feels great to understand something you couldn't before. Now I can really read the paper and actually understand.

THANK YOU
THANK YOU
THANK YOU",never write commentary yt time need thank never understood de crispcas system till im happy know kind ridiculous feel great understand something couldnt really read paper actually understand thank thank thank
"You are so right about the level of videos in molecular biology. They either target primary school level, or PhD level. I don't see any molecular biology videos explaining staff for high school or BSc level",right level video molecular biology either target primary school level phd level dont see molecular biology video explaining staff high school bsc level
Kinda like a epigentic spacer,kinda like epigentic spacer
Do you still answer your comments?,still answer comment
totally helpful,totally helpful
Does tracrRNA have any function other than to hold stuff in place?,tracrrna function hold stuff place
"I went over the CRISPR system today with my students, had them model it with the Bio-Rad paper model, now I'm going to make an Ed-Puzzle using this video as formative before we actually do a CRISPR experiment in class (lacZ gene knockout). Thank you for this in depth video on CRISPR!",went crispr system today student model biorad paper model im going make edpuzzle using video formative actually crispr experiment class lacz gene knockout thank depth video crispr
Why am I paying for university,paying university
Medical student here. Nicely done Mr. Anderson!,medical student nicely done mr anderson
I still don’t understand it,still dont understand
"Loved this explanation, thank you!",loved explanation thank
Awesome video! Thanks for making it.,awesome video thanks making
GOOD!!,good
What part of it changes you do you not understand,part change understand
Now i could understand! Thank you <3,could understand thank
Tried explaining this in my podcast where I go over CRISPR technology but you explained this perfectly thank you!,tried explaining podcast go crispr technology explained perfectly thank
Nice Many Thanks,nice many thanks
Cool video! Thanks :),cool video thanks
6:27 can someone explain in more detail how the DNA is added?,someone explain detail dna added
How do u manage to insert a new fragment after the cutting? Is there a particular DNA ligase associated with the CAS complex?,u manage insert new fragment cutting particular dna ligase associated ca complex
Can we just be humane humans...😨😨😨,humane human
speaker talks a little too fast,speaker talk little fast
"Very well explained, I had trouble understanding this topic during lecture. Thx",well explained trouble understanding topic lecture thx
nice,nice
And the recap at the end. Thanks so much! Very helpful,recap end thanks much helpful
4 words - YOU ARE THE BEST	111,word best
Mind-blowing simple demonstration of the crispr cas.... 🔥🔥🔥,mindblowing simple demonstration crispr ca
very helpful! took me a long time to understand what's spacer DNA and what are repeats from only reading.. watching the video really summarized it all. not so simple and not so complicated. just what you really want to know,helpful took long time understand whats spacer dna repeat reading watching video really summarized simple complicated really want know
This is perfect.  THANK YOU!,perfect thank
"The mad scientist really opened Pandor's Box with this one.  Rewriting millions of years of evolution cannot  be good.  This technology should have been top secret.  These individuals were more interested in fame and furtune then the impact it will have on the world 🌎   China is now utilizing this technology.  They recently built concentrations camps, could be bio-laboratories.  Humans are not yet wise enough to wield such power.  We're not going to make it, too many wrong turns.",mad scientist really opened pandors box one rewriting million year evolution good technology top secret individual interested fame furtune impact world china utilizing technology recently built concentration camp could biolaboratories human yet wise enough wield power going make many wrong turn
Awsome Video! Thanks for the effort! Much appreicated and so helpful!,awsome video thanks effort much appreicated helpful
how can I grow taller or cure hair loss from this? I ready to take the risks.,grow taller cure hair loss ready take risk
"Wow soo this is CRISPR...
Makes sense to make a fuss for it cause it really has a potential. 
But if it starts being used to make modified humans like super soliders... woooah it could be devastating",wow soo crispr make sense make fuss cause really potential start used make modified human like super soliders woooah could devastating
Whats this tech used for now?,whats tech used
"CRISPR, another failed miracle cure.",crispr another failed miracle cure
Thank you that was very clarifying!,thank clarifying
Thank you Steve Kerr,thank steve kerr
What a great explanation....excellent lecture🔥🔥,great explanationexcellent lecture
"use it on clostridium difficilewhich really sucks to come down with, that might eliminate fecal trans plants.",use clostridium difficilewhich really suck come might eliminate fecal trans plant
"As far as I know the CRISPR virus causes a fever which has killed a lot of people and is the major risk factor. Immunotherapy has that risk but I hope they are really working to counter that as it a good way to remove genetic diseases from the dna of cells or repair cancerous cells and will be a good tool to help people survive. Until a machine can exist that can program dna externally and destroy cells which is far away, using some kind of qauntum non destructive computer controlled radiation streams.",far know crispr virus cause fever killed lot people major risk factor immunotherapy risk hope really working counter good way remove genetic disease dna cell repair cancerous cell good tool help people survive machine exist program dna externally destroy cell far away using kind qauntum non destructive computer controlled radiation stream
I love your videos!! you should do reviews for MCAT material!,love video review mcat material
"I watched this for my school activity and I have to rewatch it over and over to understand since I'm very slow. But it is TOTALLY HELPFUL, with all the illustrations and the explanations. Thank you!",watched school activity rewatch understand since im slow totally helpful illustration explanation thank
great explanation! I finally understood what CRISPR really is. Now I'm ready to learn more!,great explanation finally understood crispr really im ready learn
What a simple and clear explanation! Thank you very much!,simple clear explanation thank much
crRna is like a sea otter chipping its prey in two with a stone it holds in its tiny hands whilst floating on its back in the sea,crrna like sea otter chipping prey two stone hold tiny hand whilst floating back sea
Verry helpful and a welcome addition to the shows seen on PBS.,verry helpful welcome addition show seen pb
this was the most amazing explanation. I completely understand now,amazing explanation completely understand
Awesome job! I'm taking genetics right now and this really helped my understanding the material,awesome job im taking genetics right really helped understanding material
It is a great video and understandable. I considered this topic complex until I saw this video. Thank you for sharing,great video understandable considered topic complex saw video thank sharing
Nice! Thank you!,nice thank
"That’s why they are testing 
Made the virus release in the world 🌍 :( Dan made vaccine 💉 and turned whole world 🌎 in lab 🥼 🧪 🧫 rats 🐀 with this vaccines 💉 :(
Is the only way to test this technology for free :(",thats testing made virus release world dan made vaccine turned whole world lab rat vaccine way test technology free
Can't wait to create x men 😂😂😂,cant wait create x men
literally the best and most clear video of this topic,literally best clear video topic
[GROW A PET!],grow pet
WE COULD MAKE A FORTUANE WITH THIS TECH! BUT SOMEBODY USES IT TO MAKE PET PLANTS? OHH SHIT! THERES A GIANT GREEN LABRADOUR LOCKED UP IN THE CLOSET OUT OF THE SOIL AND EVERYTHING! OHH SHIT! MUST HAVE BEEN A CAT? THE GIANT GREEN DOGS? THERE BARK IS WORSE THAN THEIR BITE!,could make fortuane tech somebody us make pet plant ohh shit there giant green labradour locked closet soil everything ohh shit must cat giant green dog bark worse bite
"Hi sir, please make a video on PAM",hi sir please make video pam
I wonder if celebs and the ultra wealthy are already using this technology to create designer babies,wonder celebs ultra wealthy already using technology create designer baby
I've seen the real thing done in a lab.  Anyone with 5 minutes of training can do it.  It's in silica.  So if you like to spin cells add a caustic element run a PCR amplification and then in silica show the procedure done go for it.  But it amounts to nothing.  It's literally imaginary.  Go ahead and be amazed by explanations and animations but watch it done in the lab.  And tell me you believe it after that.  It's nothing.,ive seen real thing done lab anyone minute training silica like spin cell add caustic element run pcr amplification silica show procedure done go amount nothing literally imaginary go ahead amazed explanation animation watch done lab tell believe nothing
Dude. You look tired. Iʻd be too if I was teaching the whole freaking world.,dude look tired id teaching whole freaking world
I though CRISPR was the technology that makes illigal Aliens US Citizens without all the Bureaucratic Red Tape??,though crispr technology make illigal alien u citizen without bureaucratic red tape
"In response to ""was it helpful?"", well I'm using this video to prepare my A levels biology lecture.",response helpful well im using video prepare level biology lecture
"This is how the Human race will destroy itself. My generation thought it would be physics. Now we know it will be molecular biology. We have seen the face of evil.  Unfortunately, the fools writing comments will be in control of regulating this monster. As you can see, they are utterly clueless.",human race destroy generation thought would physic know molecular biology seen face evil unfortunately fool writing comment control regulating monster see utterly clueless
interesting,interesting
You people are sick assholes you make it sound so great but show the downside,people sick asshole make sound great show downside
amazingly simplified and comprehensible!,amazingly simplified comprehensible
You nailed it <3 wow. Thank you. Now I know my ABC :D,nailed wow thank know abc
yes it was helpful:),yes helpful
"Excellent video, Bravo",excellent video bravo
doing a biology lab rn and all i can think of is how the dna looks like noodles :),biology lab rn think dna look like noodle
absolutely amazing explanation!,absolutely amazing explanation
MONSTER,monster
wow. You were right. Most of the other videos were too simple. This was perfectly explained,wow right video simple perfectly explained
"I have been reading and reading about this but I have a question that I simply cannot find the answer to: When editing a developed organism, what is the vehicle for SPREADING this change throughout?  Every lecture and article tells me what happens in a single cell, but how does this change then spread? Do we just need to inject a large amount of the gRNA and Cas9 at once? Or is there a way to make a small change spread to other cells, like a virus.  If anyone knows, please answer.  I'm a sci-fi writer and I'm trying to get to the bottom of this to accurately represent a hypothetical situation in my plot.",reading reading question simply find answer editing developed organism vehicle spreading change throughout every lecture article tell happens single cell change spread need inject large amount grna ca way make small change spread cell like virus anyone know please answer im scifi writer im trying get bottom accurately represent hypothetical situation plot
"wow!!! I sure need to review the normal DNA before understanding this!!! Very complex!
Sounds very interesting",wow sure need review normal dna understanding complex sound interesting
"Wow crazy how this video was made 5 years ago, this years going to see a lot of CRISPR trials starting, finally get to see how effective this tech is going to be",wow crazy video made year ago year going see lot crispr trial starting finally get see effective tech going
"It's the ""amalgamation""",amalgamation
"Could CRISPR be what they used to ""create"" covid 19 in a lab?",could crispr used create covid lab
"Esto no es una verdadera emergencia sanitaria, es una dictadura mundial. Esta es la Tercera Guerra Mundial... pero aún no se ha declarado abiertamente. Los que no están despiertos tienen pocas posibilidades de sobrevivir.

Quienes dominan este mundo quieren tratarnos como terminales de computadora, quieren instalarnos un software y dejar que un algoritmo decida por nosotros. Es el fin de la era humana, o eso creen quienes nos dominan, porque ellos quieren que seamos transhumanos... Y sin derecho a elegir lo que se hace con nuestros propios cuerpos.

Las vacunas modifican el ADN, eso está fuera de discusión. Un cuerpo humano normal no puede producir la proteína espiga... El ARN mensajero es lo que le enseña a nuestro cuerpo a producir esta proteína sintética. El ADN natural no modificado no se puede patentar, porque es un producto de la naturaleza, pero si aceptaste esta vacuna, entonces tu ADN ya está modificado y ya estás patentado. 

Eres transhumano. Los transhumanos perderán todos sus derechos, porque ya no serán considerados humanos. Los derechos humanos no los protegerán. Antes de que te enfades con quien te dice la verdad, investiga... Y si ya estás despierto, entonces te felicito. De cualquier manera, Dios los bendiga a todos, de todos modos. Les deseo lo mejor.",esto e una verdadera emergencia sanitarium e una dictadura mundial esta e la tercera guerra mundial pero se ha declarado abiertamente los que estn despiertos tienen pocas posibilidades de sobrevivir quienes dominan este mundo quieren tratarnos como terminales de computadora quieren instalarnos un software dejar que un algoritmo decida por nosotros e el fin de la era humana eso creen quienes no dominan porque ellos quieren que seamos transhumanos sin derecho elegir lo que se hace con nuestros propios cuerpos la vacunas modifican el adn eso est fuera de discusin un cuerpo humano normal puede producir la protena espiga el arn mensajero e lo que le ensea nuestro cuerpo producir esta protena sinttica el adn natural modificado se puede patentar porque e un producto de la naturaleza pero si aceptaste esta vacuna entonces tu adn ya est modificado ya est patentado eres transhumano los transhumanos perdern todos sus derechos porque ya sern considerados humanos los derechos humanos los protegern ante de que te enfades con quien te dice la verdad investiga si ya est despierto entonces te felicito de cualquier manera dios los bendiga todos de todos modos le deseo lo mejor
Very helpful thank you!,helpful thank
god this video is so good thank u sir!!!!!!!!!!!,god video good thank u sir
going to study this in 2022 wish me luck bois,going study wish luck bois
I think this is a very good video to understand the CRISPR CAS 9 system,think good video understand crispr ca system
Is crisper something you inject into the body?,crisper something inject body
"So eventually there going to build them there own real human or something. It's not bad, it's ribow flaven",eventually going build real human something bad ribow flaven
Crispr Chimera yeah human and animal DNA splicing that's exactly what they're doing of course the public won't hear about what they're doing until it's too late,crispr chimera yeah human animal dna splicing thats exactly theyre course public wont hear theyre late
Great video! But how can you make sure your gene of interest gets in the correct place if the cas protein cuts with blunt ends?,great video make sure gene interest get correct place ca protein cut blunt end
"What will happen or is happening as we speak worldwide when some MADMAN SCIENTISTS decide to use this against us, as they obviously did???? 
Science is good but only in the hands of a morally god person!!!! It’s not so good in the hands of a psychopath who is using it to develop a so called “medicine” or as we are all witnesses now a VA@C!N€ that’s full of mRNA that we don’t know what was it ACTUALLY designed to do to us???? 
SHOULD WE BE SO STUPID TO BELIEVE SOME MAD SCIENTISTS? 
THEY ARE MORE OFTEN THEN NOT DEVELOPING SOMETHING THEY SHOULD NOT HAVE DONE!!! 
IT IS BEING REVILED SLOWLY WHAT DR. FAUCI & HIS EVIL FRIENDS DID AT WOHAN…. The truth is slowly emerging in the meantime millions injected with mRNA va@c!n€s will be getting sicker & dying from those 💉💉💉💉",happen happening speak worldwide madman scientist decide use u obviously science good hand morally god person good hand psychopath using develop called medicine witness vacn thats full mrna dont know actually designed u stupid believe mad scientist often developing something done reviled slowly dr fauci evil friend wohan truth slowly emerging meantime million injected mrna vacns getting sicker dying
"Now when this mortal puts on immortality and this corruptible puts on The incorruptible then comes the end
Death will be swallowed up in victory",mortal put immortality corruptible put incorruptible come end death swallowed victory
Crisper is Satan,crisper satan
This is such a great video that really helped get an understanding of what CRISPR is as my text book brought in terms that weren't defined. Excellent video so happy with this.,great video really helped get understanding crispr text book brought term werent defined excellent video happy
can somebody explain how the system adds the host RNA in the DNA ?,somebody explain system add host rna dna
Thankyou. Please keep making videos I don't care if there are videos present of certain topic because the way I explain in small amount of time. It's the best.,thankyou please keep making video dont care video present certain topic way explain small amount time best
Covid vaccine,covid vaccine
Actually dr. This is what the new Hitler will use undoubtedly to wipe out masses,actually dr new hitler use undoubtedly wipe mass
if only this was main stream media,main stream medium
"Then, 3 years later..",year later
"Great job explaining this, I nearly lost my mind understanding it!",great job explaining nearly lost mind understanding
best video,best video
Still do not understand. How do you cut? How do you see what to cut?,still understand cut see cut
that was really helpful thank you so mutch!,really helpful thank mutch
What nice video! Saved me from hours of reading! Many thanks for the effort!,nice video saved hour reading many thanks effort
Your recitation is unclear.,recitation unclear
Marvelously well done!,marvelously well done
Isn't it possible the presence of CRISPR spacer sequence multiple times in a genome as the sequence is very short as compared to genome sizes of species? What if CRISPR cuts DNA at multiple locations?,isnt possible presence crispr spacer sequence multiple time genome sequence short compared genome size specie crispr cut dna multiple location
Incredibly helpful! Thank you!,incredibly helpful thank
Very helpful video. Thank you,helpful video thank
I'll be test dummy for this,ill test dummy
"I've just finished reading Jennifer Doudna's book and it is very good- passed it over to my GP; this is an excellent follow up , so well done.",ive finished reading jennifer doudnas book good passed gp excellent follow well done
THANK YOU !!! I've done alot of research and i couldn't fully understand it till now ! Big thanks !,thank ive done alot research couldnt fully understand till big thanks
"This video was great, thank you!",video great thank
"Yeah, Intermediate Bio final coming up and have already been tested on this. Sufficient to say that in the seven minutes it took for you to explain this, I realized how many hours I wasted of my life that i'll never get back trying to understand it. Thank you for your simple and elegant description of CRISPR CAS9",yeah intermediate bio final coming already tested sufficient say seven minute took explain realized many hour wasted life ill never get back trying understand thank simple elegant description crispr ca
"Oh, I love this. Thank you so much. My text book was making my eyes glaze over. And like you say, the other videos I found were too short or super intense.",oh love thank much text book making eye glaze like say video found short super intense
"THIS IS AMAZING SCIENCE THAT CAN HELP MANY PEOPLE, BUT IT SEEMS LIKE IT IS GETTING TO THE HANDS OF SOME VERY EVIL AND GREEDY PEOPLE THAT WANT DEHUMANIZE  AND CONTROL OUR MINDS, OUR THOUGHTS, OUR BEHAVIOR.  I DO NOT WANT ANY PART OF IT, I PREFER TO STAY THE WAY GOD MADE ME.",amazing science help many people seems like getting hand evil greedy people want dehumanize control mind thought behavior want part prefer stay way god made
Wonderfull explanation. Thank you,wonderfull explanation thank
Question: Is this the technology used to do gain of function research?,question technology used gain function research
"This REALLY helped, thanks",really helped thanks
I sometimes wonder why I pay so much money for a university degree... Thank you for all your videos!,sometimes wonder pay much money university degree thank video
Simply amazing,simply amazing
"I just heard of this, I understand gnome chromo DNA, this is good for medical, but certainly will be used incorrectly...",heard understand gnome chromo dna good medical certainly used incorrectly
Perfect looking humans in the future.,perfect looking human future
very beautifully explained video. Thank u very much for a very informative video,beautifully explained video thank u much informative video
So this is where the religious Agenda got the whole psychotic break about RNA. Great video man!,religious agenda got whole psychotic break rna great video man
Thank you so much . I easily understood the mechanism of Crispr-Cas 9 after watching this video!,thank much easily understood mechanism crisprcas watching video
what is the function of the repeated segments?,function repeated segment
Some stuff you said was too complex or simple.,stuff said complex simple
