comment,cleaned_comment
"Who eats palm oil in the 21st century ??? People, who are you? These are the strongest trans fats. The body needs 10 years to cleanse itself of them. This is a weapon of mass destruction",eats palm oil st century people strongest trans fat body need year cleanse weapon mass destruction
"@DWDocumentary  Plenty of World Bank reports & geologists' geophysical analysis reports across the globe show  abundant empty zones or aquifers in various layers under the Earth's surface into which rainwater could be channelled & filled. 

This, too, could help cool the Earth, buffering between the Earth's extremely high core temperature & its surface or crust. That should be an important objective too. Geologists can detect Earth's layers that are porous & can hold crores of liters of water. Water stored in this depth does not evaporate.",dwdocumentary plenty world bank report geologist geophysical analysis report across globe show abundant empty zone aquifer various layer earth surface rainwater could channelled filled could help cool earth buffering earth extremely high core temperature surface crust important objective geologist detect earth layer porous hold crore liter water water stored depth evaporate
"What most people do not know is that most of these glaciers either did not exist centuries ago, or were much smaller. They got bigger during the little ice age, and now are returning to normal.",people know glacier either exist century ago much smaller got bigger little ice age returning normal
"All you need to know to understand how much trouble we are in? Plants that were alive 40 000 years ago are just starting to decay ""today"". Too bad too many think that is ""fake news"".",need know understand much trouble plant alive year ago starting decay today bad many think fake news
If The North Pole used to be lush and filled with life because that is the way the earth wanted it then what if it goes back to being like that because the earth feels like going back to the good old days when there were no humans making her mad? Who's going to stop her??,north pole used lush filled life way earth wanted go back like earth feel like going back good old day human making mad who going stop
I feel like these things happened way before as well.... there's a difference between global warming and knowing and recording things from not long ago.  There are scientists in Antarctica who absolutely laugh at the warming concerns.  I know one personally.  When I talk to him he always laughs and says it's colder there then it has been in years.   It's natural cooling heating cycles.   Just now they figured out ways to keep political agendas and money from fear of it all .  But what do I know.....,feel like thing happened way well there difference global warming knowing recording thing long ago scientist antarctica absolutely laugh warming concern know one personally talk always laugh say colder year natural cooling heating cycle figured way keep political agenda money fear know
Shame this is totally out of date with current changes. The US has just determined to use even more coal. It's better to remove videos like this because they become dated too quickly as the world changes even quicker,shame totally date current change u determined use even coal better remove video like become dated quickly world change even quicker
"Let’s preserve our planet by conserving energy, reducing pollution, and protecting nature to prevent global warming and stop the devastating impacts of climate change—for the sake of future generations.♥️",let preserve planet conserving energy reducing pollution protecting nature prevent global warming stop devastating impact climate changefor sake future generation
There's a village called Bondo in Kenya,there village called bondo kenya
Maybe the governments should stop trying to manipulate the climate via geo-engineering and China should stop burning tons of coal to make their EV’s for starters!,maybe government stop trying manipulate climate via geoengineering china stop burning ton coal make ev starter
But not it's not something they can reverse with the stopping of cloud seeding because now they'll have to try to use cloud seeding to regulate the weather patterns,something reverse stopping cloud seeding theyll try use cloud seeding regulate weather pattern
"People didn't think climate change would be this bad, but it is !",people didnt think climate change would bad
Wow beautiful video🎥❤,wow beautiful video
"Just an idea: use public transport, eat plant-based, fly every three or four years only, try to leave in a decently sized appartment e.g. 60 to max 90 sqm for three people. 
(Very easily said from the comfort and exploitative lap of luxury called Switzerland, my apologies.)",idea use public transport eat plantbased fly every three four year try leave decently sized appartment eg max sqm three people easily said comfort exploitative lap luxury called switzerland apology
Buy a nice A/C unit & stay inside. Problem solved.,buy nice ac unit stay inside problem solved
"Climate was always changing. In the past we had lower and higher temps and CO2 levels.

But each panic is transfering money from the poor to the rich.",climate always changing past lower higher temp co level panic transfering money poor rich
There is NO global warming!,global warming
"Climate's been changing 4.5 billion years and it has precious little to do with us. Just the latest ""crisis"" du jour to stir up the mouth breathers.",climate changing billion year precious little u latest crisis du jour stir mouth breather
"Global Warming is a threat to the earth environmental issues. However, there is good news. Through the coming of Gods Kingdom it will put an end to Global Warming and Climate Change soon. JW",global warming threat earth environmental issue however good news coming god kingdom put end global warming climate change soon jw
"These solutions are like - one has a stomach problem eating pizza and die definatly if it continues eating, but he continues eating pizza + added 1 bottle coke with it, he thinks it will digest. Instead he had to stop eating and replace with it green vegitables. Ultimatly everyone will suffer of cunsuming nature. Rich think they will survive without any harm, but at point AC does'nt work,  drought will every where or flood and climate will itself increase at rapid pace.",solution like one stomach problem eating pizza die definatly continues eating continues eating pizza added bottle coke think digest instead stop eating replace green vegitables ultimatly everyone suffer cunsuming nature rich think survive without harm point ac doesnt work drought every flood climate increase rapid pace
i need to make a presentation abot this for school...,need make presentation abot school
"If you can't determine what the""correct"" temperature for the earth should be, you can't determine if warming is good or bad. So, climate change is a scientific scam.",cant determine thecorrect temperature earth cant determine warming good bad climate change scientific scam
"really enjoyed this documentary; it presents some compelling points. however, I can't help but think that some solutions discussed might not be practical for everyone. like, going completely green seems ideal, but what about people in lower-income areas who can't afford solar panels or electric cars? it feels like a privilege issue that often gets overlooked.",really enjoyed documentary present compelling point however cant help think solution discussed might practical everyone like going completely green seems ideal people lowerincome area cant afford solar panel electric car feel like privilege issue often get overlooked
Did they walk all the way from Germany or did you and all your equipment fly on a plane like Gretta and Kerry 😂😂😂😂😂,walk way germany equipment fly plane like gretta kerry
Can you give any example of how has humanity solved issues successfully?  I can't hardly recall anything...,give example humanity solved issue successfully cant hardly recall anything
It's more like humans doing the deeds. The biggest issue nobody talking tilted earth more than it should be,like human deed biggest issue nobody talking tilted earth
"This is propaganda in its purest form. Poor Africa should first and foremost consider how to stop population growth and take care of such basic issues as waste management. For now, Europe is committing conscious suicide, and European families are being destroyed by the costs of the new Green Deal. Countries like the USA or China are just waiting for that",propaganda purest form poor africa first foremost consider stop population growth take care basic issue waste management europe committing conscious suicide european family destroyed cost new green deal country like usa china waiting
"Interesting propaganda. Sahara was once green. Antarctica was once green. Earth is ever changing , the sun goes through cycles. Hot cold. Great way for .. climate scientists to earn money though. Imagine how many left unemployed if we figured out that it’s just how it is. 
We went through an ice age when not a single car existed. We only exist because earth warmed up 😂😂😂😂😂😂😂😂",interesting propaganda sahara green antarctica green earth ever changing sun go cycle hot cold great way climate scientist earn money though imagine many left unemployed figured went ice age single car existed exist earth warmed
"great video, really informative and well put together! i can't help but wonder though, if we focus so much on tech solutions, are we neglecting the importance of personal lifestyle changes? I mean, it seems like we keep looking for a quick fix instead of making real sacrifices in our daily lives. what do you all think?",great video really informative well put together cant help wonder though focus much tech solution neglecting importance personal lifestyle change mean seems like keep looking quick fix instead making real sacrifice daily life think
GRIM REALITY...,grim reality
One volcano and that's  more than all if man at it's  worst for  5 years.  And the amount  of them in last 40 years is 89% more than last 400 years.  If they told  you  truth it would  destroy  order. They not going  to  tell  you we beyond  faked. And you're not doing  a dam thing  to stop it. I give us 10 more years.  And that's  being optimistic.,one volcano thats man worst year amount last year last year told truth would destroy order going tell beyond faked youre dam thing stop give u year thats optimistic
Nature is a balance which we tilted. Now she is taking us off the scale.,nature balance tilted taking u scale
This is serious. We need to wake up.,serious need wake
"A documentary about climate change without mentioning corporate greed, who's doing the most damage, overpopulation resulting in indentured servitude and fast consumerism is a documentary incomplete, and I'm being generous here. :))",documentary climate change without mentioning corporate greed who damage overpopulation resulting indentured servitude fast consumerism documentary incomplete im generous
"complete stupidity! we will be banned from driving cars, but india, africa, vietnam, thailand and other third world countries continue to burn tires, plastic polluting rivers with chemicals, oil!!! who will stop them???? why do I have to suffer because of them!?!?",complete stupidity banned driving car india africa vietnam thailand third world country continue burn tire plastic polluting river chemical oil stop suffer
🌍☘️💚,
"Please please please. Work on / Programs for Climate control and not change okays 😂
Mrs Mone Phomphak 
Dated Sunday 4/19th @ 4 36 am
Teacher of the year Mrs Mone Phomphak",please please please work program climate control change okay mr mone phomphak dated sunday th teacher year mr mone phomphak
"Being rich or poor is not the answer.... ALL Nations in the World need to join forces/cooperate with USA leadership 
Thank you Mrs Mone phomphak",rich poor answer nation world need join forcescooperate usa leadership thank mr mone phomphak
"Climate change was predicted in the Bible 2,000 years ago!",climate change predicted bible year ago
"The richer indicates jobs, but their intentions are others to earn sum by establishing fossil fueled industries on the earth. And, they ignore environmental issue with educated people advise. This results show many consequences like the poorer communities suffer strongly, wasting a lot of the foods and the lands could not produce desire foods that are  more essential to survive of lives. Moreover, the temperatures hit to all sectors. The activists try to reach voice to the policy makers, politicians, leaders as well as industrialists are a key to save lives. In years to come, the UN,  prime bodies can awareness to the humans to stop use fossil fuels, shifting to renewable energy. Furthermore, Universities offer students with scholarship to study on these related subjects. These activities could be tackle from situations... Thanks.",richer indicates job intention others earn sum establishing fossil fueled industry earth ignore environmental issue educated people advise result show many consequence like poorer community suffer strongly wasting lot food land could produce desire food essential survive life moreover temperature hit sector activist try reach voice policy maker politician leader well industrialist key save life year come un prime body awareness human stop use fossil fuel shifting renewable energy furthermore university offer student scholarship study related subject activity could tackle situation thanks
"The Metals Company (TMC) is going to be inking a deal with the US Govt very soon to start mining polymetallic nodules from the ocean floor in the United States EEZ as well as the CCZ. There are trillion of dollars worth of Nickel, Cobalt, Copper, and Manganese (All needed for the energy transition). The largest measured Nickel deposit on the planet is in the NORI-D area of the CCZ that is under contract with TMC. There are fewer environmental impacts from harvesting Polymetallic Nodules than clearcutting the rainforest. If we move fast we can transition from Fossil Fuels to Renewables and batteries.",metal company tmc going inking deal u govt soon start mining polymetallic nodule ocean floor united state eez well ccz trillion dollar worth nickel cobalt copper manganese needed energy transition largest measured nickel deposit planet norid area ccz contract tmc fewer environmental impact harvesting polymetallic nodule clearcutting rainforest move fast transition fossil fuel renewables battery
Nor do they go into heaven as the poor. They have money and power to help stop the global warming and do not.,go heaven poor money power help stop global warming
"The Earth is ridding its self of humanity. This is just the very first few seconds of the catastrophe to follow. This is the Earths sixth extinction event. No one can stop evolution. It continues on into the future. After the heat of climate change has done its job the Earth will go through another ice age. After the ice age is over the Earth will emerge pure and cleansed again and from there every thing will start over. The purity of the Garden of Eden will return as evolution does its job. This time there will be no humans nor any monkeys nor anything that could evolve into any human form. 10 million years will have passed and entirely new forms of species will now inhabit the Earth. Nothing Humans try to do will change anything. The future will not be changed.
This is the vision that I saw in a meditation. The vision was shown to my minds eye as clear as any television picture where I beheld the future of mankind and of the Earth. Robert McKellar-Ellis.",earth ridding self humanity first second catastrophe follow earth sixth extinction event one stop evolution continues future heat climate change done job earth go another ice age ice age earth emerge pure cleansed every thing start purity garden eden return evolution job time human monkey anything could evolve human form million year passed entirely new form specie inhabit earth nothing human try change anything future changed vision saw meditation vision shown mind eye clear television picture beheld future mankind earth robert mckellarellis
What about when a volcano erupts? Is that a massive Co2/metan disaster for the climate?,volcano erupts massive cometan disaster climate
Hmmm. Do you think that all of the jets and bombs and explosions in WARS might be largely responsible at all? Just saying…,hmmm think jet bomb explosion war might largely responsible saying
"Climatards, lol.",climatards lol
"We already averted catastrophe, and it was a remarkably perfect, zero! 
In the 70s and 80s we saw it coming. America acted with emission policy and ban on things like Freon, aerosol hairspray etc. We averted the worst of the worst catastrophic climate predictions.",already averted catastrophe remarkably perfect zero saw coming america acted emission policy ban thing like freon aerosol hairspray etc averted worst worst catastrophic climate prediction
"If the world doesn't map out the way to create the durable wealth to pay for the infrastructure, it's time to go down to the Y and take swimming lessons and  stop whinnying!",world doesnt map way create durable wealth pay infrastructure time go take swimming lesson stop whinnying
Download Ecosia  💚,download ecosia
what can i say? it's catchy,say catchy
BS,b
We all are chasing for money.anyone no need to stop and nobody need to be content .finally we all are togeter digging our own graves.,chasing moneyanyone need stop nobody need content finally togeter digging graf
Oh my African people 😭😭😭😭,oh african people
Earth is not Sick...Earth is adjusting itself to eliminate man...,earth sickearth adjusting eliminate man
"Chinese electric vehicles are often marketed as environmentally friendly, yet they rely heavily on electricity generated from coal, making their true carbon footprint far from ""green."" While they produce no direct emissions, their operation is still largely powered by fossil fuels.  

Despite this, the Chinese Communist Party (CCP) promotes its EV industry as a leader in sustainability, conveniently ignoring the fact that China remains the world's largest carbon emitter. By branding these vehicles as ""eco-friendly,"" China profits from global environmental concerns while continuing to rely on coal.  

Moreover, the CCP has a long history of controlling information, from covering up the Tiananmen Square massacre, where 30,000 students were killed, to suppressing any narratives that challenge its official stance. As a result, many Chinese citizens genuinely believe their EVs are helping the environment, unaware of the broader reality.  

Consumers who truly care about sustainability should consider whether buying an EV powered by coal-generated electricity aligns with their values. Supporting products from countries that prioritize clean energy may be a more effective way to fight climate change.",chinese electric vehicle often marketed environmentally friendly yet rely heavily electricity generated coal making true carbon footprint far green produce direct emission operation still largely powered fossil fuel despite chinese communist party ccp promotes ev industry leader sustainability conveniently ignoring fact china remains world largest carbon emitter branding vehicle ecofriendly china profit global environmental concern continuing rely coal moreover ccp long history controlling information covering tiananmen square massacre student killed suppressing narrative challenge official stance result many chinese citizen genuinely believe ev helping environment unaware broader reality consumer truly care sustainability consider whether buying ev powered coalgenerated electricity aligns value supporting product country prioritize clean energy may effective way fight climate change
People want change and we should be working hard to meet the change that the climate and environment needs 👍👍,people want change working hard meet change climate environment need
"Normal people who are the consumers can’t do anything about the CC, the ones that can do something focus on two things primary: keeping the people poor so they can control them and keeping the people with fear so people can be manipulated.
Me and you we can’t do shit.",normal people consumer cant anything cc one something focus two thing primary keeping people poor control keeping people fear people manipulated cant shit
The stabil energi and a move dynam mechine for the to eternity where three unfade pleassan,stabil energi move dynam mechine eternity three unfade pleassan
Rumour has it that in five years  time we are all gonna need boats!,rumour five year time gon na need boat
"If you wish to switch from fossil fuels mankind needs to enable the solution to fix the shortcomings of the source of energy.  God gave mankind the source and 2 down stream steps that enabled energy to be stored, distributed, and called back on demand as needed.  Mankind will need to do likewise with another thing God  did for mankind in Genesis 1:26-28 make mankind in His likeness.  God gave us the privilege of ço-creating the world we live in.",wish switch fossil fuel mankind need enable solution fix shortcoming source energy god gave mankind source stream step enabled energy stored distributed called back demand needed mankind need likewise another thing god mankind genesis make mankind likeness god gave u privilege ocreating world live
Plss give me the summary of this video,plss give summary video
Biggest Scam in the History of Humanity,biggest scam history humanity
"June 18, 2024News Release
City Sprawl Now Large Enough to Sway Global Warming Over Land

Urban land now reaches farther than ever, and so too does its influence on global warming

Brendan Bane, PNNL Catie Himes, PNNL
The glowing orange Sun shines over a lightly hazy Paris, the Eifel Tower standing erect, just right of center-frame.
Open
Cities have grown quite a lot in recent decades—global urban land cover has swelled by 226 percent since 1992. As city sprawl expands its reach, its influence on the world's climate grows in tandem.",june news release city sprawl large enough sway global warming land urban land reach farther ever influence global warming brendan bane pnnl catie himes pnnl glowing orange sun shine lightly hazy paris eifel tower standing erect right centerframe open city grown quite lot recent decadesglobal urban land cover swelled percent since city sprawl expands reach influence world climate grows tandem
"Without having more products to spread the cost over of the required infrastructure the 1st world economies have no prayer to replace fossil fuels.
God gave mankind the source of energy and 2 steps down line.  Mankind will have design ways to store, distribute, make additional products to spread the cost of infrastructure over and increase the value of low value assets into durable high value ones.
It will take both Elon Musk and President Trump to enable all investors win to transfer from fossil fuels.  I would love to invite them to share my insight.",without product spread cost required infrastructure st world economy prayer replace fossil fuel god gave mankind source energy step line mankind design way store distribute make additional product spread cost infrastructure increase value low value asset durable high value one take elon musk president trump enable investor win transfer fossil fuel would love invite share insight
"Not human made but perhaps 5-10%. It is the current Magnetic Excursion that been on a straight line move since 1850. Distorting, weakening the magnetic field allowing the sun radiance of the sun to penitrate stronger into the planet. Thus the melting of the ice caps. It's nature, not humans. Polution is bad but not the cause. Adjust your narrative.",human made perhaps current magnetic excursion straight line move since distorting weakening magnetic field allowing sun radiance sun penitrate stronger planet thus melting ice cap nature human polution bad cause adjust narrative
"Wow that nice 
Wonderful 
Like from India",wow nice wonderful like india
I love cutie pie GA sheriff..not them..Did you know Chinas most polluted country?,love cutie pie ga sheriffnot themdid know china polluted country
If the Europeans will leave Africa alone there will be nothing like climate change,european leave africa alone nothing like climate change
"*""In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is global warming.""*  Except that data proves, we've never been safer, healthier or more prosperous than at any time in history.",last year co emission increased percent worldwide pressing problem facing civilization global warming except data prof weve never safer healthier prosperous time history
"“Global warming” refers to the rise in global temperatures due mainly to the increasing concentrations of greenhouse gases in the atmosphere. “Climate change” refers to the increasing changes in the measures of climate over a long period of time – including precipitation, temperature, and wind patterns.",global warming refers rise global temperature due mainly increasing concentration greenhouse gas atmosphere climate change refers increasing change measure climate long period time including precipitation temperature wind pattern
"You talk about russia and global warming, but the russians are killing humanity without the impact of global warming.",talk russia global warming russian killing humanity without impact global warming
Hydro energy isn’t green,hydro energy isnt green
Poor doesn’t care about the climate change. Only rich do.,poor doesnt care climate change rich
"But Al Gore told us the poles would melt by 2015? The polar bears would disappear???

But I am under 30 feet of snow in california in 2025???",al gore told u pole would melt polar bear would disappear foot snow california
Climate change means Jesus Christ is coming back.,climate change mean jesus christ coming back
A year later and  it’s looking like the small progress made is being rolled back. The course is set and our ultra cynical governments are preparing to accept the destruction and keep on fighting to dominate whatever they imagine will left from the dystopia. Trump wanting to confiscate Greenland being a prime example of this moronic vision…,year later looking like small progress made rolled back course set ultra cynical government preparing accept destruction keep fighting dominate whatever imagine left dystopia trump wanting confiscate greenland prime example moronic vision
"Watching this I am asking myself, do any of these smart individual remember the carbon cycle and all the components in it. 
Do they remember that trees are responsible to take carbon dioxide out of the atmosphere and return Oxygen.
Is it not smarter to invest all those billions in replanting back trees in areas and countries where desert exist.
For those who is even thinking about mention, how trees take a 1000 years to grow. 
I am asking you, did you ever plant a tree? 
A forest tree takes about 7- 14 days for it's seed to germinate and will take about 3 - 4 years to reach an average height of 15 - 20 feet. 
I know because I proven this.
If we all know that trees are the natural remover of carbon dioxide, why is the billions not being invested to replant them?",watching asking smart individual remember carbon cycle component remember tree responsible take carbon dioxide atmosphere return oxygen smarter invest billion replanting back tree area country desert exist even thinking mention tree take year grow asking ever plant tree forest tree take day seed germinate take year reach average height foot know proven know tree natural remover carbon dioxide billion invested replant
What a difference a year makes.,difference year make
Helicoptering water in when theres pipes on the tank do you think were all blind.,helicoptering water there pipe tank think blind
"Rising sea levels... Tropical rain  are you guys joking 
How long can this story go on for",rising sea level tropical rain guy joking long story go
"How do all these experts, know how bad the weather was 300/4,5 hundred years ago??? They don’t.. They can look at the earth, and give their carbon dating! But what will be will be.",expert know bad weather hundred year ago dont look earth give carbon dating
"😂😂😂
So the rain deer and horses are different from cows?",rain deer horse different cow
"why are you lying to the children about climate change when all climates on sarth have evolved over time and have stayed the same since before fossil fuels were used?
find courage to tell the truth. show videos of polar ice melting as well as forming. don’t claim they are melting for so long and yet never stop melting.",lying child climate change climate sarth evolved time stayed since fossil fuel used find courage tell truth show video polar ice melting well forming dont claim melting long yet never stop melting
...and the poor ofteen  pray for soft winter ans long and prosper sumers,poor ofteen pray soft winter an long prosper sumer
"Overpopulation is the problem in the 3rd world, not climate change.",overpopulation problem rd world climate change
I used to think climate change was a myth. As a kid remembered the glaciers had way more ice. But its melting at a rapid pace.,used think climate change myth kid remembered glacier way ice melting rapid pace
We have to put it on hold for the next 4 years .Some big players are climate change deniers !!!,put hold next year big player climate change denier
Hola,hola
"I'm okay with government policy based on science, on fact. But I object to policies based on this climate change propaganda nonsense. The small changes happening over the last few hundred years are natural, not human caused. What we need to focus on, as we have, is pollution prevention, management of natural resources. CO2 is required for life on the planet, if you remember high school science. CO2 circulates between the ground, ocean and atmosphere. We are coming off a planet low of CO2 and would be better with more for higher plant food production. Water vapor is the dominant greenhouse gas, basic science. Look in your car radiator, no CO2, but water for heat transfer and storage.",im okay government policy based science fact object policy based climate change propaganda nonsense small change happening last hundred year natural human caused need focus pollution prevention management natural resource co required life planet remember high school science co circulates ground ocean atmosphere coming planet low co would better higher plant food production water vapor dominant greenhouse gas basic science look car radiator co water heat transfer storage
"You can't even stop diesel vehicles production,and missle tezt",cant even stop diesel vehicle productionand missle tezt
God help us,god help u
The biggest scam of the 21st century! LOL,biggest scam st century lol
"Load of hot air. Climate change has been happening since the world existed. Minuscule (and unproven) rise in global temperatures of less than one degree in 100 years (with potentially 20 percent due to human influence) has more to do with cleaner air and lesss smoke. In any case, I wish it would heat up a bit more. I would burn more carbon to assist this process if I didn’t know it would have no effect whatsoever. At least the ISA will escape this nonsense when Trump puts a line through it. Europe will not be so lucky and will continue to pay for nothing and continue to ruin their own manufacturing and industry.",load hot air climate change happening since world existed minuscule unproven rise global temperature less one degree year potentially percent due human influence cleaner air lesss smoke case wish would heat bit would burn carbon assist process didnt know would effect whatsoever least isa escape nonsense trump put line europe lucky continue pay nothing continue ruin manufacturing industry
