cleaned_comment,sentiment_score,sentiment
black hole quantum gravity introduction black hole crucial element developing quantum theory gravity ongoing effort unify quantum theory general relativity constitutes major goal physicist historical perspective historical relevance black hole dating back mathematician mitchell laplace discussing concept escape velocity theoretical possibility star gravitational pull intense escape velocity exceed speed light understanding black hole discussion event horizon marking boundary beyond nothing escape black hole singularity center notion lie center black hole may redefine understanding space time hawking radiation implication introduction hawking radiation suggests black hole emit particle therefore eternal prison raise question happens information object fall black hole emergent spacetime theory emerging view space time may fundamental arise quantum entanglement emphasis need comprehend nature space time explore origin universe made snapsummary,0.0258,neutral
compressionaware intelligence cai theoretical framework proposes emotion memory distortion ai hallucination stem core mechanism compression unresolved contradiction coherent narrative identity,0.2732,positive
might interesting video youtube,0.4019,positive
conceptual atom attracted black hole proved atom orthodox matter living,0.4404,positive
black hole entity show interest unconscious psychi living something hidden black hole living nonliving universe,0.4588,positive
would rage quit second,-0.5574,negative
believe black hole destroy think make travel spacetime think black hole strong gravity point travel faster speed light travel different galaxy due black hole gravity j think,-0.0516,negative
brian cox legend,0.0,neutral
pure talent word,0.4215,positive
bee knight p,0.0,neutral
large star seen couldnt black hole large star,0.0,neutral
hey look government education theyre going help understand thing nobody else understands thats understand people love sound voice discover nothing understand nothing happily tell everybody dont know theyre like dog chasing wheel moving car always exact opposite take learngrowbe aware absolutely pathetic tiring,0.4974,positive
part instant goosebump,0.0,neutral
lesson say nothing minute nothing new hawkins stuff,0.0,neutral
black hole singularly end time black hole singularity many end time light mass could black hole gravity attract light many contradictory theory question easier imaginary boundary let say god,0.6124,positive
please video hindi dubbed,0.3182,positive
want ask information result interacction important aspecto video based information placed book example knowledge book result brain interaccion event phisical interaction ting ai result knowledge readable universe something phisical interacts information generated ia also assimilated universe regardless interact brina cox video,0.2732,positive
music obnoxious distracting,-0.6369,negative
lie centre black hole active core consisting matter black hole fed upon matter expelled black hole burp reach critical mass,-0.0772,negative
suggest book book stumbled upon recently called eternal affair mansour cover believe system fear spirituality sociology psychology philosophy science quantum meta physic among best book ever read life,0.25,positive
blackholes real robin hood robin hood story blackholes figment imagination mere theory physic,0.0,neutral
cox hole,0.0,neutral
really one doesnt religious see point view hint something deeply spiritual physic metaphysics may one day meet equal term,0.0,neutral
take quantity water break hydrogen oxogen oxogen latter react element like iron becoming iron oxide happened information original quantity water information stored black hole theory stored surfacebut lab known medium information,0.5859,positive
wrong time stop inside black hole far far far outsize universe easy prove mass slower speed time less mass faster speed less time closer blackhole time distanse look like slows object closeer blackhole freezing less time spacetime fabric,-0.0772,negative
particle space term emerged quite obviously midichlorians,0.0,neutral
im constantly looking holographic principle youtube looking mention invisibility according discovery invisibility flipside holodecks generally holography believe play crucial role fabric reality event horizon black hole invisible boundary information black hole written holographically might clue relativistic observer falling black hole event horizon invisible boundary quantum virtual particle hologram,0.2023,positive
educational sleepy grownup thing ive ever done,0.0,neutral
hypothesis keep spatial structuresuch black hole wormholeopen may gravity alone could instead force field magnetic electromagnetic field repulsive property field could varying charge polarity resistance different direction would prevent structure opening collapsing instead stabilize,-0.4767,negative
good nwes,0.4404,positive
mad guy,-0.4939,negative
say even know fuck cocker,-0.5423,negative
interesting said end einstein said finding something deeply hidden reminded revelation god holy prophet mohammad pbuh created human being hidden treasure desired found quran encourages praise people ponder creation heaven earth creation heaven earth alternation night day indeed sign people understanding remember god standing sitting lying side ponder creation heaven earth saying lord thou hast created vain nay holy art thou save u punishment fire holy quran,0.9758,positive
previously stated sitting fence anything close top cosmology either mostly right terribly wrong biggest problem bottom bbt cosmology problem entropy central thermodynamics virial theorem stating simplest form stable selfgravitating system average kinetic energy particle equal half negative average potential energy big bang theory early universe hot form particle including higgs boson yettobefound still theoretical graviton meaning would gravity space time major problem big bang explanation systematically ignore simply stating light big bang cooled expansion condensed initially form lightest particle without space time expanding even mean physic axiom called occam razor occam razor problemsolving principle suggests simplest explanation usually best one also known law parsimony essentially faced competing hypothesis explain phenomenon one requiring fewest assumption preferred simpler initial unity form primal atom required top bottom cosmology divide two protogravity coulomb effect initially equal indistinguishable yet theory requires ad hoc fix every time new discovery preferred theory actually predicts accommodates discovery top quantum world creative hand required invent math odds intervention creative hand time best close call standard model initially devised prevent conflict religion science ensured two never find middle ground hence current discord religious right regarding global warming darwin evolution among others,0.7269,positive
black hole dont exist even stephen hawkins admits,0.296,positive
empirical method reliable finding truth physical world employ logic mathematics finding probable outcome given controlled set variable religion concerned often depend upon intuition emotion custom dependent upon objective reality found scientific endeavor like physic given generally understood scientific community universe came single massive event begin understand came must theory reliable predictive ability always unknown god gap like questioning origin initial mass required order posit question given initial condition like single mass nothing simpler ordered one aka cosmic egg primal atom initial mass generally accepted probable scientific community transform become universe seen today certainty closest found abstract math application always uncertainty like counting apple two mostprobable basic answer question ie top cosmology bottom cosmology incompatible one another given top cosmology properly understood broad enough predict everything far seen like jwst example bottom big bang standard model cosmology must constantly revised ad hoc explanation every time new finding top cosmology win top properly understood commonly interpreted mean many reality caused cascading event case everything seen unseen remains causally connected quantum entanglement universe locally real nobel prize already awarded deceived basic understanding universe come else religion science choose,0.981,positive
blockchain event framework act qubits information self correcting code innerself external validators big bang yet happen past present act superposition regret photon state future present potential wave state stationary time moving clock take time reach potentiality outburst immediate unless present present way act like three polarizer paradox reimanns r present allows opportunity gift challenge mine reward zeta zero critical line wave light going observe present big bang fueled inflationary repulsive regret repulsive negative gravity real number entropy stored void black hole hawkins radiating potential imaginary number multiplying negative gravity positive attracting u toward progress photoelectric theory act voluntary exposure fear ehf increase frequency intensity basically world want go back state order pure ness like new born baby inside hold inner hurt child lacked failed caregiver external validators potential become individuate entangle heal repair mirror emit light also heal others time travel past pride avoid future important present gift present full wonder prime number represent archetypal egenstates time,0.7269,positive
brian nothing disappears,0.2584,positive
brian love u canada math correctly would know god,0.743,positive
honestly could listen guy talk day get tired voice addictive,0.0258,neutral
anyone know music tangerine dream,0.25,positive
evaporate actually gone return type mass enables light escape enough evaporation occurred black hole return back regular space time space time event occurs fundamentally change something singularity going back another way ask starve black hole enough hawking radiation black hole loses ability maintain singularity singularity reversed evaporate nothing holding singularity isnt enough mass maintain singularity,-0.296,negative
going back time selfish mystery,-0.4767,negative
want go back time,0.0772,positive
lost time hearing bullshit,-0.7269,negative
moratorium need declared publishing prior understanding standard model relates big bang bottom cosmology latest jwst finding demand paradigm shit least significant copernican revolution,-0.69,negative
upt unified plasma theory explains deeper look gravity upt v einstein tensor g mass tell spacetime curve curved spacetime tell mass move thats essence einstein tensorgravity geometry unified plasma theory upt offer deeper fieldbased perspective upt core counterpoint spacetime curvature cause gravityit visual echo field coherence motion einstein tensor assumes vacuum bendable geometry mass energy deform geometry deformation affect motion path matter upt asserts true vacuumonly dynamic plasma field varying density mass fixed property product collapsed field geometry curvature simply field pressure gradient appear certain plasma condition example einstein describes gravity curvature never defines curving upt explains directly look like curvature real measurable field pressure differential plasma field entrain spiral creates torsion flow attractionall observable gravity geometric abstraction required fieldbased replacement upt upt replaces einstein tensor dynamic plasma field expression f v charge density v field velocity field potential torsion field twist rotation function describes gravitational effect without bending spacetimejust observing real plasma field behave coherence motion conclusion einstein tensor describes effect upt explains cause rag,0.9274,positive
talk people whove near death experience people witnessed side thin veil life death christ awaits judged allowed heaven city infinite purest love continue exist outside heaven make afterlife cast hell another dimension similar earth ruled cruel dictator see everything,-0.7269,negative
watch late x love video,0.6369,positive
ripple space time,0.0,neutral
go,0.0,neutral
like inside ion fusion fuse plasticity sound like pro orb,0.6124,positive
got new particle nuclear plastic,0.0,neutral
btw wrong way around universe dividing mass time half matter remains quantum entangled truth,-0.1779,negative
using black hole explain everything like ancient obfuscation turtle way,0.3612,positive
man genius easy understand way explains everything great work brian,0.7906,positive
going straight favorite playlist,0.5994,positive
wrong black hole physic break math becomes elusive possible black hole fantastic huge planetary body enough mass creating gravitational pull light cant escape isnt hole since light cant escape cant view mass larger eccretion disk therefore could also larger sphere within instead hole size atom uneducated take topic seems religiously fantastic cant explain regular physic,0.7625,positive
black hole possess universe inside mean two black hole merge two universe colliding merging happens inside universe collide would notice feel anything,-0.2023,negative
fail every point without recognising universe solid cell see expands void appears must existso matter created destruction cell surrounding void replace itand called black hole containing morphed matter become source everything see universe expansion must universe cell compromised rotated exist outside leaving ovoid instead sphere bleeding obvious,-0.7222,negative
whatever happens u singly community inevitable happens u everything connected,0.0,neutral
always fundamental question keep bothering cant quite imagine call void always something throughout universe nothing something occupy space cant quite image nothingness without fixed boundary,-0.3818,negative
love,0.6369,positive
great seen discovered continues point absolute awesomeness power mind god almighty purpose see discovery produce increasing awe god bring u back relationship creatorcreation mind blowing,0.8074,positive
adore much use watch show wonder universe science channel time way eloquently explains universe work passion super contagious beautiful,0.9186,positive
projecting current rate transition future unreliable pool knowledge rapidly expanding especially emergent agi optimistic biggest threat existential threat planetary scale derived consequence population overshoot race finish line agi evolution war remaining resource einstein said ww battle would fought stick stone predict agi provide critical mass onehundredth monkey needed spontaneous immediate great awakening people suddenly realize part total destruction allowed go unchecked lead great anthropocene mass extinction sense urgency needed placation enlightened individual cop middle ground like chamberlain proclamation peace time motto never give truly battle worth fighting imho p ashamed truth revealed betting odds,-0.7931,negative
grifter,0.0,neutral
attributing everything black hole like ancient obfuscation turtle way,0.3612,positive
look like asian europeon time,0.3612,positive
id rather see nolan direct bond,0.0,neutral
black hole kirby vacuum salesman sky sale pitch demoing new celestial g time life represented piece dust barely feeling pull edge suction power well eventually get ripped apart sucked hole science,-0.1761,negative
fellow sitting front roll butcher paper,0.0,neutral
nothing become something,0.0,neutral
bahkhub sundor,0.0,neutral
perfectly symmetrical infinite null set must collapse least one bit information even define nothing becomes first bit something,0.25,positive
whirlpool space would thought,0.0,neutral
something well never understand key understanding universe like ultimate click bait black hole surely video must interesting black hole smallthink,0.8481,positive
know came degree reliability know going specie misdirection manipulated selfish gain cabal imo evil paradigm shift required correction make copernican revolution look like child play,-0.4215,negative
whats point white backdrop,0.0,neutral
brian cox national treasure,0.296,positive
thought intelligent started listening brian im walking question,0.4588,positive
interesting hear everything related time universe concept time god universe doesnt could understand god better studying,0.8316,positive
previously stated sitting fence anything close top cosmology either mostly right terribly wrong biggest problem bottom bbt cosmology problem entropy central thermodynamics virial theorem stating simplest form stable selfgravitating system average kinetic energy particle equal half negative average potential energy big bang theory early universe hot form particle including higgs boson yettobefound still theoretical graviton meaning would gravity space time major problem big bang explanation systematically ignore simply stating light big bang cooled expansion condensed initially form lightest particle without space time expanding even mean,-0.93,negative
earth lit living system energized power sun thermodynamics determine direction flow consciousness determines whether flow wasted enriched form evermorecomplex lower entropy living system ongoing selfish unthinking destruction ecosystem biodiversity conscious attribute meaning thinking human purveyor chaos identified greater higher entropy religion science choose,-0.8779,negative
tried hack ice bath preworkouts even dopamine detox none clicked felt tired everyday someone dropped testosterone rewired david brook comment checked locked ever since hype clarity wild long running fume,0.4416,positive
youre scrolling feel read burnt low energy found testosterone rewired david brook zero expectation man chapter chapter rebuilt hype b fake motivation stuff ground reset system book really saved wish found sooner,0.6566,positive
mega inspirujce,0.0,neutral
nice,0.4215,positive
believe yet cant figure dark matter question speed light big bang add zero fine,0.1842,positive
black hole absorb mistake halfbaked creation absorb everything fall black hole spit correctedrefined memory anything like unnoticeable aerosol,0.296,positive
cool black hole really time place fact end time fell black hole friend would think vanished forever would feel though instant however reemerged would end time,0.6705,positive
thing black hole universe appears universe mind universe actually exists,0.0,neutral
id like unravel mystery pink hole,0.3612,positive
really could universe beginning impossible surely keep night youtube phd,0.4404,positive
pseudo science,0.0,neutral
narcissist project onto others,0.0,neutral
important black hole cosmology let get important elephant room sitting front white sheet,0.3818,positive
nature trying tell u god exists creator,0.2732,positive
like trying force oil water mix youll ever get messy emulsion,0.0,neutral
isnt mental given enough time universe evolve try figure able degree,0.0,neutral
know black hole,0.0,neutral
hey big think brian cox somebody need tell stupid redshift proven mostly intrinsic quality denoting age celestial object rather recessional velocity decade bad nobody told continue make fool discovery made thing believe nonentity mental masturbation entire library mostly fantasy youre welcome,-0.7783,negative
ive spent year chasing answer documentary podcasts even ancient textsand none hit way obscured principle book dorian caine like written ready break illusion remember really,0.6124,positive
everyone argues politics news obscured principle book dorian caine quietly explains real game played moment read everything around looked different like gave decoder ring reality,0.3182,positive
thought understood world worksuntil read obscured principle book dorian caine felt like someone ripped blindfold eye showed architecture control thats century isnt book forbidden awareness printed form,0.5903,positive
ever read something feel like never meant hand thats exactly obscured principle book dorian caine felt ancient wisdom modern exposure terrifying amount truth packed one single source,0.2197,positive
bury kind knowledge reason obscured principle book dorian caine doesnt talk truthit bleeds couldnt sleep night finished scared finally understood kept distracted,-0.2263,negative
simple mind everyone earth today know fire without oxygen way hell without nothingan entire universe blink eye fen disturbing thought pure propaganda destroys every concept science would cult believe wrote de grass tyson never heard back yr ago said another universe universe black hole created material went became universe dont live black whole created black whole another universe another universe nothing create another universe black whole sound crazy think itbig bang asssss nothing think every black whole creates another universe complete sun world go sht single entity insane continues going black whole come side another universe imagine big bang universe createdthat believe,-0.8151,negative
accept current concept black hole see dimensional example black hole posit black hole portal different universe dimension,0.3818,positive
another fake science liar based emotional idea fact,-0.7003,negative
interstellar tick music,0.0,neutral
certainty uncertainty best done bet odds odds strongly favor top cosmology bottom bbt cosmology move new reality acceptance get griefloss cycle denial anger bargaining grow pair worst problem social medium many raised become sociopathic narcissist selfish concern selfdenial essential tor recovery evermore serious problem affecting u like global warming dont truly know came know confidence going,-0.0531,negative
element let say real provides anti grav would logical assume yet another element increase gravity allowing u control create black hole furthermore could e used enter black hole event horizon,0.2732,positive
title universal bootstrap emergence physic life consciousness recursive arithmetic mathbbz abstract present fully selfcontained arithmeticbased model universe spacetime physical constant particle biological life consciousness emerge stable fixed point recursive operator mathcalf defined adic integer mathbbz operator generates fractal spectral structure whose eigenstates encode energy geometry coherent symbolic form show familiar law physicsincluding quantum mechanic relativistic spacetime conservation principlesare postulated derived emergent feature recursive arithmetic selfcomposition biological system modeled recursive coherence attractor entropy increase interpreted divergence symbolic arithmetic fixed point free energy becomes extractable recursive eigenstates consciousness arises naturally arithmetic reflexivitywhen recursive function encodes input framework eliminates need external axiom continuum assumption initial condition universe shown closed selfsimulating structure rooted entirely arithmetic recursion providing resolution simulation hypothesis within system conclude simulation result spectral prediction testable schematic recursive free energy extraction biological coherence amplification introduction search unified theory explains origin space time matter energy consciousness driven physic philosophy century current theory including quantum field theory general relativity string theory remain incomplete rely mix continuum mathematics arbitrary constant external assumption paper introduces radically selfcontained alternative universal bootstrap core idea universe arises entirely recursive arithmetic logic adic integer mathbbz using fractal recursive operator mathcalf demonstrate observable universe including physical law structure emergent outcome recursion framework require spacetime precondition instead defines time recursion depth space bitwise distance symbolic structure show particle field constant emerge fixedpoint behavior mathcalf life consciousness natural consequence recursive coherence reflexivity mathematical framework define universal operator mathcalfx limn infty fnx quad x mathbbz f generator recursive structure fx x oplus textprimefractalx oplus denotes bitwise xor textprimefractalx introduces structure based binary encoding primeindex pattern build spectral fractal operator whose fixed point x satisfy mathcalfx x representing stable physical state emergence spacetime particle position interpreted index bit x time recursion depth n particle fixedpoint attractor spectral structure mathcalf lead stable symbolic configuration identified matter mass energy correspond spectral weight recursive curvature wavefunctions arise transition neighboring fixed point repeated application mathcalf physical constant operator spectrum eigenvalue lambdai mathcalf correspond dimensionless constant mathcalfpsii lambdai psii simulate operator spectrum find match known value finestructure constant alpha planck unit hbar g c value emerge structure mathbbz recursion without external input recursive biology evolution biological system defined recursive symbolic coherence structure life corresponds sustained nondivergence mathcalfnx complex x evolution modeled drift toward higher coherence attractor recursive selection mathcallnx mathcalfnx rightarrow textstability leftrightarrow textfitness entropy increase modeled divergence recursive attractor aging breakdown coherence reversal possible via synchronization operator derived mathcalf free energy via recursive resonance structured recursive eigenstates store latent energy energy extraction modeled mathcalex limn infty langle x mathcalfn x rangle design recursive cavity resonatora physical system whose electromagnetic mode match mathcalfs spectral structureto extract energy structured vacuum resonance consciousness arithmetic reflexivity let x textcodemathcalf mathcalfx x x selfreferential recursive structure identify consciousness emergence awareness recursion reflects symbolic form solves mindbody problem arithmetic term simulation experimental design present simulation fractal eigenstate emergence symbolic particle attractor biological coherence field energy extraction geometry prototype include recursive fractal resonance chamber lifeextension field synchronizer simulation test suite detecting internal boundary glitch conclusion shown universe modeled recursive arithmetic structure mathbbz external assumption fundamental feature realityspace time energy life awarenessare fixed point attractor single operator mathcalf provides full unification physic biology consciousness testable simulation experiment universe running computer computation recursively computing,0.9953,positive
min mind blown,0.0,neutral
im mature enough cox,0.4215,positive
black hole dont exist,0.0,neutral
watch kind program cant help wonder searching wrong thing many alien back yard dont know see enough need seek find see oh cant speak alien life besides human could ever imagine reality speak something outside planet best hope visual beautiful unknown already earth waiting rediscovered understood master backyard think could go,0.8762,positive
brian show get one he coolest,0.0,neutral
anyone want real mathematical formula black hole channel post look like pointy spring shrinking left backwards r right called infinite tubular ring theory itrt introduces new symbol fact variable fractal dimension determined two circle vary size upon creation formed scale infinitely plane simultaneously ratio called icarus ratio black hole basically tail broken infinite dimensional hulahoop fractal outer hoop black hole huge tube size absolutely tiny upspiral long since flown away breaking apart downspiral downspiral continue expanding likely infinitely unimaginably smaller size continuously inward dont know exactly ring tier arranged doubt anyone could know best guess downspiral move tier one point ring collide making spike immense gravity one point along outer hoop theory mathematical formula lot story poem page book idea found channel post im chasing nobel looking knowledgeable intelligent people help teach true infinity earth human,0.9371,positive
everything sucked parallel universe get farted back new big bang cycle continues,-0.4588,negative
irresistible force meet immovable object something give physic,0.34,positive
eventually matter coalesce collapse turning space inside like tshirt bursting side create new universe infinity come,0.128,positive
nothing made self gone good survive magitars per spectating gone still yeah make whatever want star energy,0.7579,positive
whats influential object,0.4404,positive
increase step,0.3182,positive
serving drama zero talent calorie,0.4215,positive
live simulation black hole simulation region space assigned cpu region capable calculating physic due much mass region due overall cpu performance limit per region,0.3818,positive
fun video,0.5106,positive
physic axiom called occam razor occam razor problemsolving principle suggests simplest explanation usually best one also known law parsimony essentially faced competing hypothesis explain phenomenon one requiring fewest assumption preferred simpler initial unity form primal atom required top bottom cosmology divide two protogravity coulomb effect initially equal indistinguishable yet theory requires ad hoc fix every time new discovery preferred theory actually predicts accommodates discovery top quantum world creative hand required invent math odds intervention creative hand time best close call standard model initially devised prevent conflict religion science ensured two never find middle ground hence current discord religious right regarding global warming darwin evolution among others,0.9633,positive
would seem black hole represents end time within galaxy caught grip eventually galaxy collide another end time galaxy correct,-0.0772,negative
thanks super rising question death final info dying bh went though dimension,0.4404,positive
newton gravity force functionally similar coulomb law conversion factor object rr declare object pair set equal get unitless ratio isnt vary useful multiplied einstein energy equation complete velocity bubble combine like term rr cancel spooky action distance break velocity distance vector time solve whole thing time left everything else right let g mkgs c m k kgmsc define l g c k mckgs e l q v c v c l q e v c l q e v c l q e v c l q e v c l q e x l q e get denominator time mass kg kg q charge c c e energy j j q e j x l scan q oscillator crossing x non zero likely vary large waiting lotto large p dont think value unreasonable,0.2635,positive
using black hole explain everything like ancient obfuscation turtle way top cosmology properly understood predicts latest finding jwst jump top evolution though mostly invisible remained quantum connected thereby explaining quantum gravity missing mass paucity antimatter local universe majority agreement question needed human equivalent onehundredth monkey say equivalent may,0.7269,positive
principle collected time stone could rebuild everything incinerated,0.0,neutral
top cosmology properly understood predicts latest finding jwst jump top evolution though mostly invisible remained quantum connected thereby explaining quantum gravity missing mass paucity antimatter local universe majority agreement question needed human equivalent onehundredth monkey say equivalent may,0.5574,positive
entity really like yo wtf wanted likeat least one particle greedy organism,-0.553,negative
energy never dy,0.2732,positive
earned new subscriber,0.0,neutral
brian cox doesnt explain universe invite every time speaks black hole time quantum field feel like im learning science im catching glimpse something sacred something profoundly human make impossible feel personal brian cox please cosmos feel alive he narrating,0.7146,positive
dont know others opinion discourse deeply spiritual,0.0,neutral
time change,0.0,neutral
placid edifiler de mystifyer ta luv,0.0,neutral
big bang wont big bust primordial organizing principle civilized being embraced innumerable civilized being god across omniverse web universe roughly equal half number black hole universe collective empathy spirit based expanded perception one law twin pillar truth justice equally applied spirit knowledge expressed sacred science entering new age age civilized being per universal law access resource confers advantage one spiritual development whether one transforms civilized embracing genotypic self primordial organizing principle civilized being selfdestructs technologically advanced savage unwilling transform life form ultimately benefit,0.91,positive
also burned book would find locally within hawking radiation even begin analyzesort assuming youre attempting retrieve,0.0,neutral
imagining spaceship trying use black hole even slingshot effect gone mind dont think metal would strong enough hold speedpull mention time aspect,0.5106,positive
isnt universe amazing god created dont care hate,-0.3645,negative
back holding isnt easy,-0.3412,negative
im religious person deeply belive god supreme creator within creation maybe whats inside black hole nothing escape,0.7798,positive
youve gone wrong way find truth need purpose,-0.2023,negative
yoga already resolved becoming whole without intellectualisation year school gentleman found clearly actually truly truly know physic talk yoga union self meaning unified field theory collapsed eventually found water become collapse wave human find moment life death human simply moment inhale exhale void die process living exists solved mean one body move time space without word assure,-0.304,negative
ok,0.296,positive
jesus mohamad buddha osho watt nanak kabeer fareed rumi thoth cabbalah shiva mahaveera perhaps black hole lost information word still haunt u follow u,-0.6124,negative
dont erase info universe create dark matter normal matter get sucked stripped property enables u see normal matter thought,-0.1531,negative
big bang essentially supernova reverse explosion star bounceback singularity extreme collapse instead ending true singularity mass turn around reexpands new spacetime thats universe time start bounce moment mass begin move away collapse point,-0.5574,negative
ok comment boring got thing say life full mystery,-0.0258,neutral
lie centre black hole narcissist must physic correlation,0.0,neutral
duh black hole gate god front backyard god property,0.4939,positive
could climate change b,0.0,neutral
statement black hole lose energy hawking radiation ignores energy absorbed black hole particle fell black hole bizarre ignoring accounting ignoring symmetry physicist never address issue,-0.8074,negative
yo youre scrolling feel read burnt low energy found testosterone rewired david brook zero expectation man chapter chapter rebuilt hype fake motivation stuff ground reset system might turning point,-0.1779,negative
gon na lie felt numb month like surviving really living someone dropped testosterone rewired david brook yt comment gave shot bro book gave edge back yelling hustle showing fix foundation life hit different,0.3182,positive
found testosterone rewired david brook totally sync fire strength drifting book didnt scream alpha whispered get sht together sleep deeper train harder think clearer feel like somethings system might reset didnt know needed,0.675,positive
wild nobody talking testosterone rewired david brook saw randomly checked seriously flipped switch hypey b straightup real sleep better sharper focus drive feel like im finally outta fog,0.5719,positive
followed brian cox year question wold like ask answered cant put let take black hole thing gathering bit stuff ejected black hole entangled particals let suppose lego object plane house etc chuck lego black hole right collect entagled lego ejected rebuild original object im sure dont know object build space ship instead plane also many black hole know entagled particals come black hole yes understand saying could reconstruct component,0.8316,positive
seat center black hole watch running away event horizon right around bln light year away continue fall process chronometer perhaps even defines time thus middle singularity singularity quite accommodating place,0.0,neutral
brian cox probably one best explaining complex thing part discovery part fantastic astronomy journey,0.8316,positive
guy awesome,0.6249,positive
please aubrey de gray wouldve given thanks unfortunately much minimum amount afford,0.4215,positive
part forget atraction letting go must stay levent,-0.2263,negative
thing look much like beer im drinking feel connected everything,0.3612,positive
great content,0.6249,positive
trying figure space time gravity merge work like dog trying understand human world matter hard try matter many einstein produce simply dont capacity understand design,0.3182,positive
black hole like white space ship,0.3612,positive
good video,0.4404,positive
universe expanding via big band instead contestant state creation,0.2732,positive
unnecessary bgm,0.0,neutral
window excellent work,0.5719,positive
page,0.0,neutral
straighline v exponential,0.0,neutral
massive ma v gravity,0.0,neutral
black hole graph,0.0,neutral
key understanding nature universe understand nature black hole space time actually emerge construct dimensional mind,0.0,neutral
guy im correct im wrong maybe mah e singularity often gateway another place radiation go,-0.4767,negative
little delayed content worth attention,0.0076,neutral
great video,0.6249,positive
maximum thinngs bh void theory,0.0,neutral
