comment,cleaned_comment
"You don't ""create"" reasons, sorry Post Modernism. Reasons exist and you choose which to focus on and follow. I choose not to get diabetes from my breakfast vs to feel good in the moment. You can measure those results scientifically with health and longevity markers like nutrition content & their functions in the body vs dopamine markers or inflammation. Those reasons are both based on objective reality, that exists (thanks, Enlightenment! <3) But my subjectivity and free will is in how I craft and navigate my life and responses, in relation to reality and my own sense of self, values, dreams, etc. Pretending that we ""create"" rather than recognize the reasons ourselves is not only delusional but quite narcissistic. Living from a place of delusion is a kind of slavery as well, especially because it creates all sorts of unnecessary discord and confusion as regards our wellbeing and society.",dont create reason sorry post modernism reason exist choose focus follow choose get diabetes breakfast v feel good moment measure result scientifically health longevity marker like nutrition content function body v dopamine marker inflammation reason based objective reality exists thanks enlightenment subjectivity free craft navigate life response relation reality sense self value dream etc pretending create rather recognize reason delusional quite narcissistic living place delusion kind slavery well especially creates sort unnecessary discord confusion regard wellbeing society
Easily one of the most profound 15 minutes I have ever experienced.  Bravo!,easily one profound minute ever experienced bravo
"I am currently feeling lost in my job; it feels like I'm just there for the paycheck. I really don't know what kind of person I want to become, or rather, I want to be many different kinds of people, with a new idea every day, but I quickly grow tired of them.",currently feeling lost job feel like im paycheck really dont know kind person want become rather want many different kind people new idea every day quickly grow tired
想起了萨特,
Gosh! I was looking for a fun informative escapism not an emotional gut kick!,gosh looking fun informative escapism emotional gut kick
"My professor use this video on our reflection, all over 5000 words. I hope someone help me lol 😂",professor use video reflection word hope someone help lol
"I want a big change I want that it's not a hard choice anymore after watching this ,thanks :) god bless.",want big change want hard choice anymore watching thanks god bless
"If you Still can't tell, just Make a decision and leap in. You can change your mind, as she did. And anyway it's usually necessary to choose Something or losses will accrue or at the least, the choice will be made for you. (I can't make decidions, it seems. That's why I'm here.)",still cant tell make decision leap change mind anyway usually necessary choose something loss accrue least choice made cant make decidions seems thats im
Ruth Chang is brilliant!!,ruth chang brilliant
What about “know thyself”.,know thyself
Am I abnormal if my answer of who I want to be is only be rich successful and have leisure time also??😊,abnormal answer want rich successful leisure time also
This was one of the best choice videos I’ve watched!!! She is incredibly articulate and the message behind what she said is awesome.,one best choice video ive watched incredibly articulate message behind said awesome
DOnUt,donut
Very inspiring thanks,inspiring thanks
"How to decided learning or playing football


I am clever students and I will take national examination next week.
In other hand I am the best goalkeeper 


Pls help how to decided between two choice?😢",decided learning playing football clever student take national examination next week hand best goalkeeper pls help decided two choice
just use wadm (how to make hard decisions objectively.),use wadm make hard decision objectively
falling asleep rn,falling asleep rn
Me gusta.,gusta
Well done 🤞,well done
I loved this Ted Talk.,loved ted talk
Literally one of the best videos out there,literally one best video
"Choose the option that leads to who you wanna become. Your identity should be the determining factor. So the first time is still to discover yourself and understand more about yourself, understand your true self.",choose option lead wan na become identity determining factor first time still discover understand understand true self
Stay ahead of the game with an exclusive interview featuring Binance’s CEO on future developments,stay ahead game exclusive interview featuring binances ceo future development
Exclusive access: interview with Binance CEO for insights into future developments,exclusive access interview binance ceo insight future development
Thank you ❤,thank
Extremely needed thank you,extremely needed thank
"That deserved a standing ovation for the quality and substance of thought, clarity and delivery.",deserved standing ovation quality substance thought clarity delivery
I hate it that they laugh on everything,hate laugh everything
Watching this video because one month from now I will decide which university should I take. UP or ATENEO? 🤔,watching video one month decide university take ateneo
"What a waste of a talk. I already know thr choice is hard. Help me make the freaking choice, don’t gloat universal knowledge like a profound idea",waste talk already know thr choice hard help make freaking choice dont gloat universal knowledge like profound idea
don't let 'reason' dictate you but create the reason for yourself,dont let reason dictate create reason
Every now and then I come back to listen again Ruth's words and each time I discover something new.,every come back listen ruth word time discover something new
What do I do when I want to be both people 😭?  I want to have long term stamina and focus and I also want to be able to turn around remarkable results in a short time period,want people want long term stamen focus also want able turn around remarkable result short time period
Brilliant and helpful. Thank you!,brilliant helpful thank
Thank you Ruth Chang,thank ruth chang
The advice to follow your passion is stupid.,advice follow passion stupid
It’s not « what’s the best choice for me ? » we should ask to ourselves but « what I will become with this choice ? »,whats best choice ask become choice
Como consigo acha em português?,como consigo acha em portugus
"My best interpretation of the talk:

You have to decide what values are more important for you, what you are going to value. You create value in the process of making such choices. Think of a baby/kid that makes certain choices about hobbies, food. He/she creates reasons in the process of making a choice. We will not tell our kid that he/she should do the hobby/study that best fits his/her values, we will motivate him/her to make a choice and see that choice as a step in becoming a person. Same for adults. So it's not so much about discovering reasons/which are the best reasons but rather creating reasons. in making a choice, you rather create reasons (or value) than passively discover and follow existing reasons (related to values). When reason tells you that both options are equally valuable, accept that both options are fine, use your intuition or feeling to decide which is really ok (or flip a coin if you want, whatever you want), and stop thinking about discovering reasons but focus on valuing/being attached to your choice.

does this make sense?",best interpretation talk decide value important going value create value process making choice think babykid make certain choice hobby food heshe creates reason process making choice tell kid heshe hobbystudy best fit hisher value motivate himher make choice see choice step becoming person adult much discovering reasonswhich best reason rather creating reason making choice rather create reason value passively discover follow existing reason related value reason tell option equally valuable accept option fine use intuition feeling decide really ok flip coin want whatever want stop thinking discovering reason focus valuingbeing attached choice make sense
Great perspective!  I really appreciated this.  I totally agree that hard choices forge our agency and individuality.  This is what philosophy is about 👊🏻,great perspective really appreciated totally agree hard choice forge agency individuality philosophy
I thought this was brilliant. The premise as I took it is that decisions should be based on personal values and be more about the kind of person you want to become vs. an optimal solution. The problem I still have is what if you have to juxoppose two mutually exclusive values when you want to embody both. That is difficult but then again this is where she is talking about having to define yourself one way or the other.,thought brilliant premise took decision based personal value kind person want become v optimal solution problem still juxoppose two mutually exclusive value want embody difficult talking define one way
"Wow, thanks, I'm still indecisive but smarter 😂",wow thanks im still indecisive smarter
Gave me anxiety to hear to her blurb about only problems of hard choices for 5 straight minutes!,gave anxiety hear blurb problem hard choice straight minute
Liar,liar
that was so profound.,profound
Not Esther Perel lurking in the audience,esther perel lurking audience
Waow I don't know what do say.This monologue made me speechless.I've been trying to decide about my Erasmus program during last few weeks.And this speech made me feel in control and helped me a lot.Thanks to Ruth Chang :),waow dont know saythis monologue made speechlessive trying decide erasmus program last weeksand speech made feel control helped lotthanks ruth chang
"Hard-choice is still just a choice. It's only hard to choose if we don't know the end goal, who we are, or where we are supposed to be. 

But if you already know, it'll be easy, cause if it's still going there anyway any option is fine.
Maybe pick the one that's faster, or slower, closer or further, depending on our own taste which comes from how we define ourselves. 

You might like it slow and enjoy the process or fast and just get to the end point.
It's all up to you and your definition.

Just don't forget to celebrate options, choices and variety. They are simply an existence of an opportunity to define who we are.",hardchoice still choice hard choose dont know end goal supposed already know itll easy cause still going anyway option fine maybe pick one thats faster slower closer depending taste come define might like slow enjoy process fast get end point definition dont forget celebrate option choice variety simply existence opportunity define
that's one way of reinventing the wheel of antahkarana,thats one way reinventing wheel antahkarana
"You've helped me, Ruth",youve helped ruth
I wonder if Iain McGilchrist has seen this.,wonder iain mcgilchrist seen
You can happily skip until @6:45 to get to the core of the presentation,happily skip get core presentation
Hard choices are that’s way hard because we made it hard in our mind and we don’t want to take risks and instead of what we want and to be…,hard choice thats way hard made hard mind dont want take risk instead want
AWESOME,awesome
Its nice to see Esther Perel as one of the audience in this very meaningful talk,nice see esther perel one audience meaningful talk
中国語で、謝謝とは。   神様に感謝する。  神様は、人生の先生。 International なのです。  意味は、善い太陽神。,international
"It's not that there is no best choice among multiple options; it’s that we are incapable of ever knowing which choice it is. 

Perhaps God does.

The stumbling block for us is our belief that we can ever know which was which. All that we can know is whether our choice worked out well for us or not. But we can never know it was the better or worse choice.

Like in the parable of the Chinese farmer and his son. Wherein every day something happens to the farmer and his son and every day his neighbors come and pronounce judgment on the event. ""Too Bad,” they say one day about one event. Then,  “How lucky you are,"" the next day about a different event. After each pronouncement the farmer ambivalently replies, “We'll see."" With each new day revealing the neighbors' judgments, no matter what they were, were wrong.",best choice among multiple option incapable ever knowing choice perhaps god stumbling block u belief ever know know whether choice worked well u never know better worse choice like parable chinese farmer son wherein every day something happens farmer son every day neighbor come pronounce judgment event bad say one day one event lucky next day different event pronouncement farmer ambivalently reply well see new day revealing neighbor judgment matter wrong
Who to merry? that's everyday a big one for me ;),merry thats everyday big one
"– it’s a mistake to think that in hard choices one alternative is better than the other 
– we tend to assume that scientific thinking holds the key to everything of importance in our world, but the world of VALUE is different from the world of SCIENCE. So there is no reason to believe that in choice there are only three possibilities: one is better, worse or equal to the other.
– hard choices -> alternatives are ‘on a par’, in the same league of value, that’s why the choice is hard
– each of us has the power to create reason
– in a world where there is a ‘best’ option, we’re slaves to reasons
– when we create reasons for ourselves rather than reasons given to us we wholeheartedly become the people we are
– instead of looking for reasons out there we should look for reasons within. Who am I to be? 
– looking at it this way hard choices are not a curse but a godsend",mistake think hard choice one alternative better tend assume scientific thinking hold key everything importance world world value different world science reason believe choice three possibility one better worse equal hard choice alternative par league value thats choice hard u power create reason world best option slave reason create reason rather reason given u wholeheartedly become people instead looking reason look reason within looking way hard choice curse godsend
It made stronger !!!😊,made stronger
This is a great talk. I found it useful before making an important decision.,great talk found useful making important decision
Las elecciones múltiples son oportunidades de crear nuestras propias razones😊,la elecciones mltiples son oportunidades de crear nuestras propias razones
Great!,great
Instagram se kon kon aaya like karo,instagram se kon kon aaya like karo
yeah i understand this is what it means i have either the choice to stay a droppout or to do something great with my life i mean i already made 3 bad choices and ect.  one promiscousness second dropout of gary the third one is not really a bad choice is more on deciding what i want to do... rn i am a custodian n ect...my option is what til i get approval or denial on disability or go back to ged,yeah understand mean either choice stay droppout something great life mean already made bad choice ect one promiscousness second dropout gary third one really bad choice deciding want rn custodian n ectmy option til get approval denial disability go back ged
This talk is underrated. It should have had at least 9 million views in 9 years!,talk underrated least million view year
"Sometimes might go with a choice that is indirectly better for mankind or for the world, or whether a choice can be backed out/ reversible (which allows me to drift to another choice if need be)..",sometimes might go choice indirectly better mankind world whether choice backed reversible allows drift another choice need
"This is it guys, today's the day.",guy today day
"Thank you so much! I am facing a hard choice, whether to age in place, or move to a retirement community. These are choices that, for me, seem very much on par. Now I see this as a choice of the person I want to grow into. I think I know now which choice I will make.",thank much facing hard choice whether age place move retirement community choice seem much par see choice person want grow think know choice make
Good talk!,good talk
"You cannot talk about choices w/out considering if you have enough money. Yes, if you don't have enough money, you don't get to make the best choice for yourself.",talk choice wout considering enough money yes dont enough money dont get make best choice
"great ideas, great video. Thank you!",great idea great video thank
"If the person I want to be, can be potentially found in both options - then the question is, which of those options get's you there in an easier/better way ? Then it comes back to comparing both options logically .. ;)",person want potentially found option question option get easierbetter way come back comparing option logically
Why can’t school have this kind of talk and stuff instead of brining drag gay queens SMFH,cant school kind talk stuff instead brining drag gay queen smfh
"I watched this video 9 years ago when I was a college student, and until now it's still eye-opening for me. It reminds me that a hard choice is not a challenge to hinder us, it is a chance to define who we are. We have control over it, rather than let it control our decisions.",watched video year ago college student still eyeopening reminds hard choice challenge hinder u chance define control rather let control decision
"Ma'am, Will you please help me get a clarity on the difference between the 'same league of value' & ' different kind of value' with an example?",maam please help get clarity difference league value different kind value example
"Choices May be On par
but which Are you For?
This was so Helpful At The Right Time....Thank you so much ......Much Gratitude & Many Blessings",choice may par helpful right timethank much much gratitude many blessing
the examples are not choices rather options,example choice rather option
"I saw Esther Perel! My fav, and this talk is just amazing!!",saw esther perel fav talk amazing
"Podria haber resumido diciendo desde el inicio, hagan lo que les de la gana",podria haber resumido diciendo desde el inicio hagan lo que le de la gana
Yeah they teach us the same thing in script writing,yeah teach u thing script writing
12:04 hihi :>,hihi
Probably one of the best/most influential Ted talks I have ever listened to.,probably one bestmost influential ted talk ever listened
Thank you for giving me the answer of what I already knew I should persue!,thank giving answer already knew persue
"THESE are the DEFINING MOMENTS in our Lives!

Instinctively, we know it, but it's the fear from the evil one that  holds us back in these most important, rarest, most momentous instances in our lives!

We either TAKE A LEAP OF FAITH for WHAT WE BELIEVE IN, which is UNDERPINNED by our Hod-Hiven Talents we are REQUIRED BY HIM TO MULTIPLY, and ENTER INTO OUR DESTINY, awaiting us

RIGHT HERE & RIGHT NOW at THIS VERY CROSSROAD. . . .

or COP OUT, and live a LIFE OF MEDIOCRITY, 

where we are SURE TO BE  SECURE..... 

but NEVER  FULFILLED

For we have in this Very Moment CHOSEN to BURY OUR TALENTS

- AND DID!

+Q-S/",defining moment life instinctively know fear evil one hold u back important rarest momentous instance life either take leap faith believe underpinned hodhiven talent required multiply enter destiny awaiting u right right crossroad cop live life mediocrity sure secure never fulfilled moment chosen bury talent q
This insight upends the conventional view of decision-making as a stressful task. Chang eloquently communicated that these choices are not just about selecting between options but also defining who we are as individuals. These decision-making moments are indeed opportunities to manifest our values. It's a beautiful sentiment and a mindset I'll carry into future decisions.,insight upends conventional view decisionmaking stressful task chang eloquently communicated choice selecting option also defining individual decisionmaking moment indeed opportunity manifest value beautiful sentiment mindset ill carry future decision
"This was really helpful. I've been battling between a really tough choice for the past two months, and pros/cons and over analysis have not helped. This has.",really helpful ive battling really tough choice past two month proscons analysis helped
"Creo que la decisión más difícil para la mayoría es dejar de hacer estupideces, siempre eligen hacer estupideces ""sólo una vez más""",creo que la decisin m difcil para la mayora e dejar de hacer estupideces siempre eligen hacer estupideces slo una vez m
"Oh my god this video helped me so much, I cried, this is so what I needed. THANK YOU",oh god video helped much cried needed thank
"All things being equal this talk makes a lot of sense. However what is not mentioned here is first you must survive and to do that you need income. We are faced with the obligation to do whatever work we can obtain to put food in our stomachs. While remembering that we do not live to put food in our stomachs we live to put nourishment into our souls. Do what you have to do but be focused on being who you are. Becoming who you are is what we live for. But we get caught up don't we. We start identifying with our menial work and we start believing that is all we are. Which is not so! Suppose I want to be a yacht builder but I have no skills to build. I must eat. So I take a job that I can do to get food and I use the rest of my time working on becoming a yacht builder. This is the way. But maybe not... Perhaps I should become a yacht builder today and hope that the journey will bear fruit along the way, enough to keep me supported. At the core of this, use these things to sharpen your mind.",thing equal talk make lot sense however mentioned first must survive need income faced obligation whatever work obtain put food stomach remembering live put food stomach live put nourishment soul focused becoming live get caught dont start identifying menial work start believing suppose want yacht builder skill build must eat take job get food use rest time working becoming yacht builder way maybe perhaps become yacht builder today hope journey bear fruit along way enough keep supported core use thing sharpen mind
"Very powerful and life changing advice that I am going to stick to (or rather have already stuck to but never knew the right words for it) -  “Reflect on what you can put your agency behind, in what you can be for, and through Hard choices, become that person”. Thanks for this amazing message and tech talk 🙏😊",powerful life changing advice going stick rather already stuck never knew right word reflect put agency behind hard choice become person thanks amazing message tech talk
Was that woman in the audience in 12:20 Esther Perez?.,woman audience esther perez
Brilliant!,brilliant
So the next question is how do I align my behavior with my values? That can be difficult with thoughts and emotions....,next question align behavior value difficult thought emotion
"I am putting my agency first! I am for this, I am for that! 
Thank you! It’s clear now!!! For the past 30 years I have the traditional methods, not paying attention for what I am for..",putting agency first thank clear past year traditional method paying attention
"Coming back to this after 8 years, just to sharpen my brain",coming back year sharpen brain
amazinngggggggggggggggggggggggggggggggggggg,amazinngggggggggggggggggggggggggggggggggggg
3:09 felt,felt
"Ah, the days when Netflix sent you DVDs in the mail .",ah day netflix sent dvd mail
I come back to this video frequently because of how helpful it is. Thank you for the Ted Talk.,come back video frequently helpful thank ted talk
but what about when all your choices seem like bad options,choice seem like bad option
Wow such a God sent ! This is the best speech on this topic I have ever heard this helped me to really decide and process hard decision I have been battling . Thank You !,wow god sent best speech topic ever heard helped really decide process hard decision battling thank
it's 2023 and still no Netflix DvD with our lives in each choice,still netflix dvd life choice
"I loved the fact she mentioned how we have started evaluating life decisions according to scientific thinking. That's a real eye-opener. Decisions of life are not like length or mass that are measurable as less, more or equal. We may equate it with money but still the choices are still abstract, that's why they're hard. Simply put, hard choices are meant for you to choose what kind of life you want to ""create""",loved fact mentioned started evaluating life decision according scientific thinking thats real eyeopener decision life like length mass measurable less equal may equate money still choice still abstract thats theyre hard simply put hard choice meant choose kind life want create
She is a grwat philosopher,grwat philosopher
i love it,love
"Interesting approach. I can't agree, however. I feel like the message is to just make up whatever you want in order to justify a hard choice. This might be okay for a choice that affects only you, but do we want to empower our leaders to operate this way. I don't. Choices that are hard are not incomparable.  They are hard because there are either competing objectives at play, uncertainty in the consequences or outcomes of each possible alternative, or a struggle between the trade-offs that would result from the choice. You can compare them using multiple objective analyses which are designed to address this very difficulty of bringing competing values into the decision. While there may not be a ""best"" choice in a traditional sense, there most certainly is an ""optimal"" choice if you work hard at defining all of the different fundamental objectives underlying the decision as step 1 (even and especially those objectives that compete with one another) rather than just calling the decision hard and leaving it at that.  Being an artist might be better on life fulfillment and worse on financial stability, but how we value life fulfillment in comparison to financial stability and our risk tolerance come into play to help show that one choice really is optimal over another, depending on how these values are held by the decision-maker.",interesting approach cant agree however feel like message make whatever want order justify hard choice might okay choice affect want empower leader operate way dont choice hard incomparable hard either competing objective play uncertainty consequence outcome possible alternative struggle tradeoff would result choice compare using multiple objective analysis designed address difficulty bringing competing value decision may best choice traditional sense certainly optimal choice work hard defining different fundamental objective underlying decision step even especially objective compete one another rather calling decision hard leaving artist might better life fulfillment worse financial stability value life fulfillment comparison financial stability risk tolerance come play help show one choice really optimal another depending value held decisionmaker
"""Far from being sources of agony and dread, hard choices are precious opportunities for us to celebrate what is special about the human condition, that the reasons that govern our choices as correct or incorrect sometimes run out. And it is in the space of hard choices that we create reasons for ourselves to become the people that we are. And that's why hard choices are not a curse, but a godsend.""",far source agony dread hard choice precious opportunity u celebrate special human condition reason govern choice correct incorrect sometimes run space hard choice create reason become people thats hard choice curse godsend
The best 15 minutes I spent this week.,best minute spent week
Yeah Coin Flip will do,yeah coin flip
"I can cope with most of the hard choices, except being married or not married. I love someone and I spent a lot of years with her. She wants to get married now, but sometimes I think that she is not the right person, and sometimes I think that she is the best person for getting married. Also, both of our time is very limited for that decision due to some career reasons. I fear that my decisions will become my mistakes one day in the future in retrospect. Also, I think about her life with big mercy. Like, what will she do after me, could she get married(because of some old memories)? On the other hand, I sometimes feel bad about her personal attitude as she fights a lot and makes things big. Therefore, I think getting married to her can be a disaster. 

It is the hardest choice in my life...  How can I overcome this?",cope hard choice except married married love someone spent lot year want get married sometimes think right person sometimes think best person getting married also time limited decision due career reason fear decision become mistake one day future retrospect also think life big mercy like could get marriedbecause old memory hand sometimes feel bad personal attitude fight lot make thing big therefore think getting married disaster hardest choice life overcome
Mr. Nobody,mr nobody
"Finally, I can make hard choices easily. This video is gem.",finally make hard choice easily video gem
I love that she applies math to decision making 😊,love applies math decision making
Might be like the 10th time I find myself watching this.,might like th time find watching
"Love the talk, years later for a re-watch. I agree, either unknowingly or instinctively I made choices that aligned with my values. I write down my values and review them to see if my path is still true.  Extrinsic vs intrinsic rewards can cloud the way but I realized I am most content when I choose which best aligns with my values.   
Years ago, with math and economics degree I had the opportunity to work on Wall Street, but I chose computer technology b/c that was my hobby as a kid. So, I chose to work at cancer hospital in technology. While I realized either choice would not necessarily be a wrong one I found my choice to be aligned best with who I am. I wish everyone much love and to enjoy your short visit in this life.",love talk year later rewatch agree either unknowingly instinctively made choice aligned value write value review see path still true extrinsic v intrinsic reward cloud way realized content choose best aligns value year ago math economics degree opportunity work wall street chose computer technology bc hobby kid chose work cancer hospital technology realized either choice would necessarily wrong one found choice aligned best wish everyone much love enjoy short visit life
This is fantastic lesson! Also what a pleasant surprise to see Esther Perel sitting among the audience and totally enjoying this talk!,fantastic lesson also pleasant surprise see esther perel sitting among audience totally enjoying talk
I want this to help but I am still so stuck. I'll watch again and hope.,want help still stuck ill watch hope
"This is really interesting, wish I found it sooner.",really interesting wish found sooner
I can't belive I've waited this long to figure out what questions to ask. You answered it. Thank you. God bless you,cant belive ive waited long figure question ask answered thank god bless
this is so accurate i mean she was right about using science in making decisions by draw a line between 2 of them and choose one because it gives better option or it's more safe to do that way isn't the best way  to make good decision it is just depend  on us who we are giving out the best reasons to choose it,accurate mean right using science making decision draw line choose one give better option safe way isnt best way make good decision depend u giving best reason choose
This has been very helpful. Thank you.,helpful thank
10:30 best part starts,best part start
"I come here and watch this video every time I am faced with a decision that could affect the course of my life. And each time I remind myself to be true to myself and the person that I am (or that I choose to be). I firmly believe that the way we choose to approach what we live really does make a difference. I am eternally grateful to have seen this video by chance all those years ago and to be able to see it again today. 

I would like to wish the best of luck to all those who find themselves in the position of having to make a ""difficult choice"". I hope you always have the strength and courage to choose what is true for yourself.",come watch video every time faced decision could affect course life time remind true person choose firmly believe way choose approach live really make difference eternally grateful seen video chance year ago able see today would like wish best luck find position make difficult choice hope always strength courage choose true
what if your not even sure what each choice is,even sure choice
ROY IDORIA GRADE 12 ICT MAGALLANES SORSOGON PINAKA GWAPO SA BARANGAY PANTALAN UWU,roy idoria grade ict magallanes sorsogon pinaka gwapo sa barangay pantalan uwu
"Always choose the tough option, you will never regret, and by doing so, if you loose, then know that it's not the end, for  victory is the only end",always choose tough option never regret loose know end victory end
"power to create reasons
author of own life",power create reason author life
"Very good talk, helped me a lot!",good talk helped lot
This brought a fucking tear to my eye... THANK YOU SO MUCH,brought fucking tear eye thank much
This is an AMAZING talk.,amazing talk
The speaker goes in circles for 14 minutes leaving viewers forced to incapacitate themselves. Speaker should've stuck wit her laywer job so that I wouldn't have to make the hard choice of killing myself or not after watching this vid.,speaker go circle minute leaving viewer forced incapacitate speaker shouldve stuck wit laywer job wouldnt make hard choice killing watching vid
"This ted talk is fucking abysmal she goes in circles about hard choices and why a decision is considered a ""hard choice."" Nothing really profound here at all. Kind of seemed like intangible derivative word-vomit disguised by smooth delivery and a confident tone.",ted talk fucking abysmal go circle hard choice decision considered hard choice nothing really profound kind seemed like intangible derivative wordvomit disguised smooth delivery confident tone
"""A world full of only easy choices would enslave us to reason""",world full easy choice would enslave u reason
Just ask the inner child*,ask inner child
"I'm vacillating between staying in same place or move to other countries
Thank you so much for this 🙏",im vacillating staying place move country thank much
Amazing 🤩🤩🤩🤩,amazing
but the case is even both alternatives are good enough and you will always have profit,case even alternative good enough always profit
"Realmente no entendí esto completamente hasta que vi la segunda vez. La primera vez no me resultó muy útil. En realidad es bastante profundo. Deje de lado la lista de pros y contras y la interminable comparación y análisis de cada característica. Deja ir el miedo y de tomar la ruta más segura y fácil. Decide quién quieres ser y para qué quieres vivir, y luego elige lo que te acerque a eso. Y celebra las decisiones difíciles como oportunidades para definirte a ti mismo y a tu vida.",realmente entend esto completamente hasta que vi la segunda vez la primera vez result muy til en realidad e bastante profundo deje de lado la lista de pro contra la interminable comparacin anlisis de cada caracterstica deja ir el miedo de tomar la ruta m segura fcil decide quin quieres ser para qu quieres vivir luego elige lo que te acerque eso celebra la decisiones difciles como oportunidades para definirte ti mismo tu vida
"Valla mierda aun no se ingles. Tampoco dijo como tomar buenas opciones, solo dijo que existen opciones buenas y malas pero no es para tomarlas para tanto.",valla mierda aun se ingles tampoco dijo como tomar buenas opciones solo dijo que existen opciones buenas malas pero e para tomarlas para tanto
When ever I'm in a hard choice. I will watch this video. Thanks:)),ever im hard choice watch video thanks
How about you just keep adding in options until one new one is cleanly better than the prior ones. Haha,keep adding option one new one cleanly better prior one haha
"I listened to this talk so many times.  It has changed my life.  Every time I listened to it, I gleaned different layers of depths and insights into decision making and into myself - what I value, what is really important to me.   It helped me ""crack"" this person called ""myself"" 😊. Thank you so mucb Ruth 🙏🙏",listened talk many time changed life every time listened gleaned different layer depth insight decision making value really important helped crack person called thank mucb ruth
