cleaned_comment,sentiment_score,sentiment
gas cloud passed star boring,-0.3182,negative
prolly another solar system light sun light dip different planet eclipsing view sun,0.0,neutral
pass science since ted talk allow science fiction,0.2263,positive
planet resource exhausted resource dysons sphere come mining planet,-0.3612,negative
sound like make ambrosia salad without raisin,0.3612,positive
build dyson sphere exhaust energy supply home planet advanced know build dyson sphere fail rely reusable energy avoid need build dyson sphere first place,-0.4019,negative
would rather focus,0.0,neutral
tabby orbit black hole slowly eaten,0.0,neutral
citizen andromeda galaxy say yaelt hae lll ha marmaloosas xpress weeblatotsy pasht lamatooty,0.34,positive
there lot moon,0.0,neutral
alien contact mean hearing much alien shts decade fantasy scientist,0.0,neutral
yeah okayalienssuresmh,0.296,positive
point webb,0.0,neutral
several hypothesis proposed explain star large irregular change brightness none fully explain aspect resulting light curve,0.3818,positive
lot youre probably wondering look familar well uncanny resemblance matt servitto deputy brock banshee gov bob sweeney billion youre welcome,0.6249,positive
anyone considered possibility star multiple planet cross star time causing sunlight blocked also extending length time light blocked well irregular dipping light even solar system planetary alignment perhaps alignment occur frequently system perhaps star maybe planet orbiting perhaps far apart one planet,-0.2732,negative
interested hypothetical opening carl quote,0.4019,positive
telling scientist science enthusiast could think simple possibility multiple planet could passing front star necessarily orbiting chance mean looking star far away barely see light many celestial object passing front think alien megastructures wonder many real scientist day bunch nerd phd,0.3182,positive
show solar system really,0.0,neutral
nothing,0.0,neutral
alien alert,0.296,positive
bimbo,0.0,neutral
star dying,0.0,neutral
im astronomer one planet orbiting star different speed occasion would planet coincide act unison block significant amount light,-0.2732,negative
see reason go alien intelligence explain likely occlisions multitude planet large large plane perpendicular u period rotation vary size periodically several even half dozen eclipse sight line near simultaneously day weeka month probably hard model planetary system dozen jupiter sized planet still easier invoking alien technology,0.6705,positive
ancient word starbinder scientist time call dison sphere,0.0,neutral
stop wasting tax looking land mar moon purpose support people waste talent moon mar landing solve problem earth many,-0.4767,negative
looking light show underside solid dome head solid dome hundred mile u,0.296,positive
keywords star named kepler multiple dip radiation spectrum possibility habitable planet supporting life thanks unofficial unemployed self backyard scientist thank,0.8074,positive
year later update info,0.0,neutral
star question almost light year away earth distance planetary celestial body could causing dimming star mean star experience dimming brightness,0.3818,positive
occam razor tell bunch rubble bouncing around couple planet collided boring explanation likely alien war let face,-0.7351,negative
debunked dust dimming,0.0,neutral
alien structure pattern would occur regular basis logic prevail people,0.0,neutral
create dysonsper would need one plant resort,0.2732,positive
wasting money resource funded tax institution exemplified child scientist wishful thinking asking continuity fun waiting pampered less fortunate wtf accurate slide presented,-0.081,negative
problem may assumption law physic universal,-0.4019,negative
year information,0.0,neutral
independently finding totally convinced life everywhere universe,0.4576,positive
multiple jupiter size planet around star,0.0,neutral
watch almost forgot ted ill look someplace else,-0.3687,negative
hope never find alien given happens found new population human world encounter bode well u,0.6124,positive
added far end title,0.0,neutral
drew barrymore become scientist,0.0,neutral
voyager movie script,0.0,neutral
wow bet theoretical physicysts rush create new particle account neutronium last week antiphotontransformium xd,0.8658,positive
follow physic know,0.0,neutral
gon na sun,0.0,neutral
probably orbital plate housing massive shipyard dock ultramarine emperor,0.0,neutral
need hypothesis,0.0,neutral
ted alien think want find alien,0.0772,positive
dip caused dense cold dust gas earth star thats reasonable explanation,0.0,neutral
waste money time show incompetence scientist,-0.7269,negative
news star solved puzzle yet,0.2732,positive
louis theroux audience,0.0,neutral
anybody clear doubt come distant planetary system observe able detect planet orbiting around distant star aligned mean earth distant planet distant star mean point far star planet view point might come alignment scientist observe star measure light coming difference detect show planet something revolving around question come always aligned far far away star system,0.0258,neutral
could three star system one star emits much less light others,0.0,neutral
begs question alien planet exhausted planet energy would get enormous amount energy would take build structure around sun,0.1779,positive
cause dimming could something close star much closer u wandering planet several wandering planet,0.0,neutral
perhaps witnessing interaction dark matter star system,0.0258,neutral
anyone ever calculate time material energy dyson sphere would take construct source maintain find science fascinating please dont discredit pseudo science,0.7845,positive
astronomy regular subject elementary least twice first sixth grade like music also like pe also daily activity class start kid may release lot high energy participate class laterits cruel ask child sit listen talk hour without physical activity course im diverting astronomy may much,0.3182,positive
every time go watch fall asleep think start pretty much saying shell return alien isnt interesting isnt even close interesting opposite im watching morning hoping ending isnt silly af,0.3421,positive
mysteriousas existence,0.0,neutral
decode,0.0,neutral
f class star moved warsaw ny crazy know,-0.3612,negative
muy lejos estan yo le toco la puerta eso si fasito pepa q falte,0.0,neutral
yo mama fat walk front kic reduces brightness week,0.3818,positive
even dyson sphere exist solar flare wouldnt disrupt even destroy,0.431,positive
using ginormous kinda make sound like presentation sixth grader really great interesting info,0.8627,positive
imo would think civilization technology make dyson sphere theyd able produce fusion energy device fusion device us much less material would easy compartmentalize tap im trying accept dyson sphere theory find illogical,0.7458,positive
there evidence jesus god alien exist,0.2732,positive
dont understand james web hasnt pointed youd think would high list,0.0,neutral
dyson sphere look kinda symmetrical ngl,0.0,neutral
read old photographic astronomical plate taken last year area sky including star show gradual dimming star implies really alien mega structure building dyson sphere progress long time,0.4215,positive
encant esa sinceridad flor de piel mucha suerte en tu campo m con esta red de colaboradores,0.0,neutral
anyone else think drew barrymore first picture video ya clicked,0.0,neutral
last hope elon musk one man power world universe time,0.4404,positive
thought mean tomy opposite phone angry said forgive ancient history goingso opposite particle death wise going support,-0.0772,negative
always particle others charge wise opposite death advance aheadso science understand go,-0.2023,negative
million covid dead body million child born time covid dead,-0.8625,negative
know,0.0,neutral
star irregular shape leaving part might brighter another part less bright,0.6378,positive
coming back year looking tabby star james webb,0.0,neutral
sorry przybylskis star mysteriousinteresting,-0.0772,negative
here question something big needed built planet used engery engery come build large structure something large time size earth would take lot engery make wouldnt civilization conserve engery,0.0,neutral
given asymmetry surely someone ran fourier transform data show,0.4404,positive
super big planet destroyed menacig force could debris field type,0.1779,positive
need literally put pair oneill cylinder around every planet make dyson swarm oneill cylinder mckendree cylinder would capture sun light besides fusion storing power make oneill cylinder virtually perfect habitat huge battery,0.7184,positive
money black hole bet one messing data thats guess though,0.0,neutral
mind clear crystal knew every thing saying even though native english speaker understood word easily clearly envy,0.6808,positive
cant express enough grateful channel video helped understand complex scientific concept easily digestible way,-0.0207,neutral
excellent get james webb look,0.5719,positive
start amazing indeed disappears planet pas behind,0.34,positive
favourite pastime whilst playing eve,0.2023,positive
woman eagle didnt people ever go sunday school,0.0,neutral
klc sister said seven year ago understand current state planet today,0.0,neutral
class great professor learned lot class,0.6249,positive
government admitted lying u alien would still uphold claim,-0.4588,negative
year ago somebody know tell pls,0.0772,positive
pattern sky look geometry moving,0.0,neutral
update,0.0,neutral
couldve multiple eclipse cluster star god hitting pause like joshua,0.5574,positive
found region one talk tabby star anymore lol,0.4215,positive
alien hypothesizes always last resort u dept defense confirmed existence much line thinking,0.128,positive
hope jwst get new update star,0.4404,positive
many year ago maybe evidence gravitational wave background maybe light emission keep fluctuating two black hole colliding nearby turn fluctuating gravity three,-0.128,negative
observed detail event horizon array telescope,0.0,neutral
hope take picture star help james webb telescope study,0.6808,positive
second thought drew barrymore let go completely,0.0,neutral
couldve rogue planet,0.0,neutral
fascinating woman brilliant,0.8074,positive
dysons sphere,0.0,neutral
use secretary talk hint knew hyperbloviated b,0.0,neutral
maybe large black spot formed surface star like sunspot,0.3612,positive
recently saw video exoplanet super big ring multiple ring,0.5994,positive
great presenter well put,0.7351,positive
sorry science science fiction support citizen scientist amateur astronomy fact could write paper accepted thing like space battle dyson sphere explanation proof journal system corrupt explanation simply outside dogma thus crazy accepted get theory phenomenon heavy dogma intellectual phase locking get nothing rejection worse career suicide,0.7433,positive
even alien mega structure defy law physic thats something cant know time much ufo evidence contrary dont know ufo violate law physic ad easily take drink water however noticed old,0.6159,positive
scientist know there alien life there billion star milky way let alone universebut government wont let talkwere get tech wanted hurt u would ofbrukillaz ent,-0.6597,negative
amazing woman,0.5859,positive
ive never heard,0.0,neutral
sheer nonsense,-0.4019,negative
intriguing rb canada,0.0,neutral
really screen writer deep heart hide behind phd,-0.1779,negative
rewatch contact ask jodi foster know,0.0,neutral
thanos wheres thanos fersalso wtf,-0.5859,negative
someone get view crap bored people btw didnt watch yeh hatershow know crap title credential woman presenter nothing advanced th c carnie folk making money punter telling fortune,-0.7929,negative
hypothetical alien ie hypothesis tabetha think less likely one living solid planet chance interior planet like vast amount hyperfossilized collapsed supernova stuff responsible roughly million year earth existence admittedly theyd need use sort thhing build dyson sphere hard believe itd worth,0.7003,positive
update jwst running,0.0,neutral
suppose one planet blocking view one plantes began cross front planet emergered view could explain fluxuation planet tighter orbit could orbit much faster time wise,0.128,positive
moment talk possibility advanced civilization however manage nuclear fusion therefore dependent radiation nuclear fusion central star curtain fell inwardly show least passage large debris field comet accumulation mentioned still reasonably plausible rest alien tech much nonsense personally,-0.1779,negative
seem simple explain certainly involve alien star war death star etc asteroid belt black hole strange pattern shown video kepler effect earth observing planetary object passing star elliptical orbit north south travelling towards u kepler observation object passing star different elliptical orbit therefore creating smaller dip appear pas quickly u observer certain result would entirely different observed anywhere else except earth,-0.5994,negative
almost quarter hour talk say know,0.0,neutral
never thought obvious dark spot happens periodically sun shes fixated alien foolish scientist,-0.2732,negative
cluster orbiting planetsgas planet also orbiting among direct line partly direct line towards kepler,0.0,neutral
ever think alone universe lost space,-0.5106,negative
acronym wtf initialization also abbreviation acronym ill allow look definition scientist used research yah wowmade till end never actually said anything wtf point anyway,-0.8591,negative
multiple planet transiting time multiple planet moon,0.0,neutral
brethen moon need stay away convergence event happening,0.0,neutral
supposed planet little planet like moon earth assmimetrical,0.3008,positive
here big question kind shockingly poor computer programming involved order miss multiple massive compared baseline drop signal nonuniformity massive clue also detected search programming honestly serious question asked make u wonder overall quality science undertaken additionally observable universe currently believed around billion light year across see earth space telescope entire universe currently believed aroundwait ittrillion light year across,-0.1027,negative
look webb telescope,0.0,neutral
lot planet aline point time show dip saying,0.0,neutral
able see drop water entire ocean mysterious star entire ocean go beyond drop could even see star breakdance,-0.4939,negative
many natural explanation saturn like gas giant large ring perhaps rotational wobble making planet seem increase decrease size due orientation ring u star asteroid belt would put asteroid belt shame near range pluto huge clump planetsasteroids causing irregular shift light getting like better comet theory though similar explanation random debris although large debris random large debris causing seemingly random large fluctuation instead system planet system many planet lined similar orbit like pluto charon many like coplanets main planet moon revolution cause rapid fluctuation seems size one massive planet either death star theory,0.875,positive
would like think list thing webb look,0.3612,positive
go circuit board awesome different sunlight moon light star night,0.6249,positive
borg cube,0.0,neutral
star could well type r coronado borealis star,0.2732,positive
planetary alignment,0.0,neutral
hate ted nothingted,-0.5719,negative
probably vogons astral manouvers,0.0,neutral
cant proven total fantasy,0.0,neutral
cant say l dont know,0.0,neutral
would nothing unnatural alien civilisation tabby unnatural astronomical exceptionalism scientific racism cmon,-0.6249,negative
real dr ellie arroway,0.0,neutral
perhaps incredibly large cyclone raging surface planet similar jupiter much bigger,-0.5667,negative
sun light energy pure state damn rational make damn sense trap time trap organic nature starting evolve unknown religion crumble core,-0.7845,negative
hello would come huge planet whose elliptical orbit would lead far towards u moving away greeting france,0.5994,positive
another scientist say data everything yet ignores ever growing mountain uap data,-0.1027,negative
amazing stuff nobody know anything found mysterious star,0.5859,positive
observation unimaginable actual tangible distance u star countless object smaller resolution sampling analogue digital optical lens processor kepler aggregate object eventually create random clean noisy transition signature observation remember looking tiny less fraction space pattern repeated else statistical calculation observation large body orbiting star create transition shadow kepler digitally distinguish xyz axis profile space block distance using one axis reference relative observation even kepler orbit reference positioning data acquisition need extended distance factor x xyz plane get accurate data although good recognise pattern impossible link assumption alien existence stage observe anomaly typical say,0.6369,positive
never alien,0.0,neutral
unusual sunspot,0.0,neutral
dyson sphere justaint could planet exhaust energy anyway yes solar energy would want think material needed energy expended making one andoh boy silly see happening religion ego behind,0.7351,positive
must even system transit wrong angle witnessed conclusion planet likelyeverywhere,-0.4767,negative
ive year agree premise computer limited programming,0.1531,positive
stupidity waist money time,-0.4404,negative
look disheartened,-0.4939,negative
weve never one speculation backed scientific study scientist agree closest wild guess star actually mysterious like another thousand thousand year period,0.6028,positive
simple multi star system star orbiting together planet,0.0,neutral
im thinking binary star system plane allows one star duck behind day,0.0,neutral
descrition almost like story scifi movie clara suggest see best scifi movie recent year,0.7512,positive
million ship around sun ancestor higherselves different incarnational multi dimensional body time traveler pic show angel,0.0,neutral
perhaps one meditating star roll awhile interaction occur human observation involved find remember none idea bad movement produce heat meditate produce movement object observing would produce heat cent worth would love get science dont know point,0.8381,positive
doubt since know way less universe know sea ocean,-0.3612,negative
well obvious understand law better human know nature reality hand always missing thing multi dimension realitywe see sens even limited u say enough coursewithout info nature reality uswhat arewe evolve whats real doubt nasa share everything know nd secret program going long beyond nasa program even wing programin word nasa joke compared real program amazed humanity fool around know experience ownthat program going onthe real one fake one,0.4939,positive
unfortunately extraordinatry evidence usual people jumping conclusion support assumption core whole talkvideo understand assumption part scientific process drive continue search find evidence guy still loooong way go assumption way get people interested involved help search much needed evidence dont currently ad,0.6908,positive
affirmative action hire woman give galactically stupid speech thanks wasting time,-0.4939,negative
couldnt help laugh talk sweetie knew anything reality would quickly realize human scientific explanation anything thats higher foot ground last resort accept human scientific explanation avoid regressing darkness religion,-0.3781,negative
silly human,0.0258,neutral
forget space would rather visit town chillingbourne,-0.2263,negative
wow make science sexy lol,0.875,positive
occam razor another star way planet causing disfiguring orbit shape,0.0,neutral
matter caused anomaly look forward finding answer hope found time matter much know always know,0.4767,positive
almost finished video seemed much like b im done,0.3612,positive
oh another mysterious star,0.0,neutral
twin planet revolving around,0.0,neutral
dyson sphere,0.0,neutral
thank god nerd make world better everyone,0.6486,positive
interesting earth orbit blinded sun like hiding,0.4588,positive
like people went self taught virologist self taught astronomer,0.3612,positive
citizen key star system know every answer purposely gave info egg head screw distract,-0.3818,negative
life simulation care,0.4939,positive
think jesus,0.0,neutral
aged badly get blown proportion medium much scientist cool scifi tho,-0.2023,negative
scientist arrogance mysterious universe hardly mysterious among infinitely know,-0.5267,negative
speech say found something dont know ted talk,0.0,neutral
science messy way supposed,-0.3612,negative
megastructures way called dyson sphere dyson sphere solid shell around star would light reaching earth wouldnt even know star kind megastructure shes talking called dyson swarm civilization building swarm also wouldnt necessarily need far ahead could already build dyson swarm theoretically problem amount material needed dyson swarm built day could already start build swarm panel panel,0.4767,positive
anyone considered multiple planet transiting close time,0.0,neutral
could possible lack symmetry shown graph result large object slowed enter orbit showing different reading gained enough speed reach escape velocity,0.2732,positive
asteroid belt around star necessarily u star,0.0,neutral
pity could made good talk specific heuristic nasa software written detect v public access ended detecting fill talk lame joke b computer cant detect pattern like silly theory never basis evidence thing could disproven second even conceiving really worst ted talk ive ever seen shes one worst public talker ive ever seen well,-0.8623,negative
never alien prooven,0.0,neutral
nasa didnt find galaxy nebula milkyway galaxy andromeda galaxy others true everyone became astronomer scientist whatever nasa many empty head acting dancing around tabetha stop copying following nasa lie,-0.0516,negative
theyve proven moving straighter trajectory towards observation point biggie,0.0,neutral
could planetmoonpossibly comet asteroid destroyed onto sun solar system,-0.4939,negative
alien brain people planet better never find,0.4404,positive
maybe use jwst see going,0.0,neutral
may alien mobilizing artillery spaceship extremely huge,0.3804,positive
first rule astronomy never alien,0.0,neutral
universal balanced integrated extensive irrefutable clear simple top mathematical proof emc fma balance great truth self represents form experience comprehensive approximation experience general combining conscious unconscious experience gravity interaction shielded blocked balance great time dilation ultimately prof balance electromagnetismenergy gravity emc fma indeed time necessarily possiblepotential actual onin balance emc fma electromagnetismenergy gravity great accordingly rotation moon match revolution consider eye balance consider fully illuminated settingwhite moon balance great consider tide relation translucent blue sky balance half view earth blue balance pacific ocean seen full view emc fma necessarily represents involves describes possiblepotential actual balance electromagnetismenergy gravity gravity electromagnetismenergy time necessarily possiblepotential actual onin balance consider time time dilation balance energy hasinvolves gravity energy hasinvolves inertiainertial resistance massenergy involves balanced inertiainertial resistance consistent withas balanced electromagneticgravitational forceenergy emc fma electromagnetismenergy gravity gravitational forceenergy proportional balanced withas inertiainertial resistance emc fma electromagnetismenergy gravity carefully consider man eye balance standing earthground touch feeling blend electromagnetismenergy gravity gravityacceleration involves balanced inertiainertial resistance emc fma carefully consider balanced bodilyvisual experience look translucent blue sky earth also blue clear water come eye balance gravity electromagnetismenergy linked balanced opposite emc fma time necessarily possiblepotential actual onin balance electromagnetismenergy gravity star planet point night sky rotation moon match revolution great clearly make perfect sense balance completeness go hand hand emc clearly fma balance object men fall rate neglecting air resistance course emc fma electromagnetismenergy gravity rotation moon match revolution emc fma electromagnetismenergy gravity gravity electromagnetismenergy consider eye look fully illuminated settingwhite moon orange setting sun balance think lava emc fma multiply one half time one half order determine size moon one fourth size earth consistent fact moon balance land therefore density sun balance one fourth earth emc clearly proven fma electromagnetismenergy gravity importantly outer space involves full inertia fully invisible black clearly make perfect sense balance bulk density moon comparable volcanic basaltic lava earth energy density lava three time water get good clear look orange sun would multiply one third time one half order obtain surface gravity experienced man moon one sixth man earth maria lunar sea moon take one third near side moon excellent moon also blue balance great conclusion land surface area earth percent exactly balance one third one fourth electromagnetismenergy gravity emc clearly necessarily fma got great emc clearly fma balance electromagnetismenergy clearly proven gravity balance gravity electromagnetismenergy must frank martin dimeglio,0.9979,positive
conference took place year ago guess theyve already pointed j webb star,0.0,neutral
circling black hole,0.0,neutral
suspension dis belief change mind time ill say love keep secret science emotion thousand yard stare swears imagine realisation blind love star crossed remorsless compassion outmanoeuvre definitive gratuity opportunity uninterrupted affinityif,0.872,positive
speculation maybe something play r aware still non alien explanation,0.34,positive
james webb space telescope turned star havent news yet,0.0,neutral
star form accreditation disc make sense would civilization get raw material needed dyson sphere,0.0,neutral
polaris stationary situated vertically north pole sun moon star concentric polaris star move one mass star mysterious polaris remains stationary seemingly hitch ride earth revolves around sun extraordinary win astronomy far superior best progress maybe publish finding star changed position relative recorded history put finding publish,0.936,positive
ive never heard rambling mess earth trying say titled way iswhen barely talk,0.2755,positive
google image,0.0,neutral
distance lie lord steven christ revealed really think gravity magically make people globe appear like walking upright lmao,0.7506,positive
want reiterate assume anything everything weird alien alien even though observable data say otherwise going dyson sphere model uber gigantic rigid structureinstead realistic dyson swarmmillions smaller satellite would x easier lot less dramatic somebody hungry additional funding,0.1585,positive
spent thousand hour project happy able contribute data,0.5719,positive
amazing video believe star called tabby star see ringworld larry niven,0.5859,positive
think blocking light elon musk ego,-0.3818,negative
percent dip whatever stupid huge mean god ginormous huge understatement size thing,0.3182,positive
could dyson sphere withstand star gravity,0.0,neutral
surprised wasnt suggest actually planet another nearby solar system crossing path star,0.2263,positive
cluster planet around star one bigger limit star think cluster planet speed size problem solved second thank,0.2263,positive
kepler detects planet lined earth direction imagine many planet really,0.0,neutral
natural phenomenon dont understand possible life planet mutually exclusive would latter given less credence,0.4588,positive
universe shut,0.0,neutral
would build solar mega structure could harness nuclear fusion technique feel govt wasting funding fool,-0.6808,negative
show arrogance man think intelligent life form vast space alone looking busy trying get award need new generation scientist looking celebrity,0.2732,positive
yr ago thinking happened month ago yes need update,0.4019,positive
entire world fed treesonous medium news world demonitize demon drop sell world seen frauud plain simple defund medium news includes colluding hollywird gone wwoow,-0.5106,negative
perhaps question regular repeating asymmetric intensity drop suddenly change convoluted phenomenon kepler monitoring ceased could changed cause,-0.2732,negative
order build mega structure wouldnt need somewhere get material somewhere build,0.0,neutral
would data say sol face ort cloud distance,0.0,neutral
know dip caused one object dont could set object looking shadow cast across light year anything block light need open mind joy behar standing time example,0.2263,positive
point jwst see data say,0.0,neutral
interesting conclusion deep graph,0.4019,positive
fake data nonsense lie crap graphic terrible animation fake space better disney lols nasa made sofisticated computer,-0.8934,negative
concept alien seems hard accept human even well educated academia,0.5106,positive
human problem science sophisticated monkey three dimensional physic,0.2263,positive
planet far enough sun depending sun size planet dont block light sun,0.3412,positive
keynote aligned line sight wondered long time much seeing wow yes wow much planet dont get much bigger jupiter sure wrong lolol,0.8591,positive
nasa fake space live e keep air,-0.4767,negative
long shes dead called tabby star frankly u ever accomplish ever,-0.3612,negative
people listen god created heaven earth hate sin world he giving son died u xan humble god power forgive u give u spirit change nature,0.2023,positive
worked ada year seen almost everything alien list roswell n surrounded government range nothing v course government let information ufo russian also testing v dont free press,-0.4023,negative
mar currently visible night uk late night walk dog often find staring star surrounding word awesome used far easily day sky night truly awesome,0.926,positive
going future star trek movie,0.0,neutral
someone keeping busy watching worthless video easily explained ridiculous turning multiple heavy asteroid belt alien tech make money see gullible time good job hopelessly dumb gay ted,-0.8442,negative
black hole developing black hole bending light perhaps cold companion dwarf star good candidate james webb apparatus hopefully jw team agenda,0.802,positive
still think earth flat,0.0,neutral
whatever conversation im talk einstein theory everything correct didnt hear see saying light constant mass instant separate move one speed scale youre relating formula,0.0,neutral
trinary system two small black hole unexpectedly small size star orbit far apart gravitationally influenced others transit star behind one black hole relative position earth light diminishes best guess,0.6369,positive
binary star systemone star brown dwarf,0.0,neutral
scientist keep saying advanced actually mean technologically advanced u something profoundly different betrays fundamental belief progress single technology based vector im desperately waiting humankind outgrow juvenile obsession technological trinket havent must still allow possibility alien may,-0.5213,negative
passing front small black hole change curve relativity,0.0,neutral
still make life picture earth,0.0,neutral
could weather balloon swamp gas,0.0,neutral
mysterious star universe artist formerly know prince,0.0,neutral
eclipse shadow,0.0,neutral
rogue planet passing maybe,0.0,neutral
close update,0.0,neutral
found dysonsphere,0.0,neutral
matrix game thought experiment erin valenti utah tech ceo history mental illness found dead backseat california rental car day going missingcalling parent yr old october researching computerbrain interface system,-0.7906,negative
another junk scientist trying get lead everyone blew face believed anomaly due gas,0.0,neutral
gas giant smaller gas giant moon next question,0.0,neutral
lot planet moon passing front star plain,0.0,neutral
alien race thousand million year advanced u already know create anything fabric space state something even science doesnt know yet wait much exposed,0.4215,positive
im even going listen got stupid title mysterious star universe ridiculous title cant possibly know unless weve examined every star universe obviously havent called mysterious star weve discovered would watched im sure would enjoyed title stupid im going click thumb go day maybe declare absolute worst video title social medium evidence statement stupid star,-0.9042,negative
first step science find anomaly question data question instrument process last called discovery wan nothing one telescope set giving bad reading removed data non event circular planet simultaneous transit make hot dog data corrupted data one planet destroyed debris field large simply closer viewing location ie u need solid object block light always answer alien,-0.765,negative
could variation light caused internal cause like fusion reaction absorb energy instead emitting dont know synthesis element past iron periodic table fusion endothermic ie energy absorbing instead energy releasing,0.7783,positive
shes handsome woman bit offputting actually listen clearly faced speaker,0.7096,positive
would really love see update thinking star today new evidence current thinking,0.6697,positive
world top scientist said data good,0.5719,positive
know exactly,0.0,neutral
would something like planet accepted new system would look like,0.7269,positive
question significant red shift planet shaped like saturn side due spin doesnt plane space could block say launched solar array thats connectable always face sun could explain density dense enough cause much blockage could start design always expandable array could expanded infinitely circle planet later connected upwards like knitting way connector would need crazy sphere start edit would add redundancy case failure,-0.3182,negative
think missing point enticement story possibility et lurking juicy part presentation possibility alien megastructures dyson sphere fact civilization travel star first need develop fusion energy make need star hugging heat needed dyson sphere obsolete star wobbling axis effect near blackhole explain data humble opinion,0.0,neutral
drew barrymore,0.0,neutral
astonomer far info really awsome glimpse may enlighten lot young mind come flux great deal,0.8126,positive
ted talk become infiltrated wef globalists woman full look doctor stephen greer want real truth,0.3818,positive
id bet last dollar planet,0.0,neutral
awesome given history wrt aborigine awful,0.2732,positive
remember reviewing result kepler eve online used sort find signal planet submit ingame reward neat apart group helping find signal lol,0.8934,positive
study universe belief possibility alien life doesnt believe king universe always seeing never perceiving always hearing never understanding waste timethere thing liberal woke college cant teach,0.3252,positive
whatever something rare galaxy im guessing telescope cant see planet arent orbiting direction earth,0.0,neutral
hey liar year zero moon landig think stupid,-0.7717,negative
large orbiting planet different cycle perhaps distant star one large moon also different cycle provides varied longcycled light blocking u may provide discernable pattern light loss million year human observation,-0.5994,negative
tabetha using information science fiction film alien living inside moon built moon machine survive similar idea idea material would use thousand time bigger earth really desperate keep alien fiction alive running consideration thing needed habitable planet thing need habitable planet right terrestrial planet stabilizing moon plate tectonics right atmosphere right planetary neighbor right lone star right galaxy galactic location right cosmic time finetuned life discovery since last checked made also included dont forget thing finetuned law universe,-0.1096,negative
talk alien super structure fanciful say least,0.5994,positive
black hole pas scope,0.0,neutral
course alien exist maybe earth certain elsewhere universe probably galaxy since looking far fetched believe may well detected,0.4939,positive
freakin honor star named,0.4939,positive
im jupiter advance tech like find,0.3612,positive
yeah started really interesting story put mad hat dyson sphere srsly ever calculated much material need build something like need whole planet something like cant build week since star far away civilization dead age word bullshit,-0.4779,negative
meh ted talk let anyone stage didnt used way dont get wrong many qualified people ted lately anyone ted watcher aware speaker get ted doesnt automatically mean sharing valid information,-0.0201,neutral
ac u responding signal universe,0.0,neutral
love field study want job field filament winding magnetism butterfly migratory phenomenon want beyond enthusiast,0.8074,positive
great armada travelling hundred year always aiming towards earth nomally invisible show upon senor one ship unfurl lightsails course correction,0.6249,positive
