comment,cleaned_comment,cluster
"Ooh Okay Okay  Just Imagine Guy's My Personal Opinion I Know That Possible But  Just Imagine. One Day V R Cross That Observable Universe Border 
Warp Drive.
CryoSleep.",ooh okay okay imagine guy personal opinion know possible imagine one day v r cross observable universe border warp drive cryosleep,-1.0
it could be a flat planet orbiting the star and giving irregular dips in the light when it's side on or flat on...,could flat planet orbiting star giving irregular dip light side flat,0.0
It’s all guesswork.They make up all kinds of nonsense.,guessworkthey make kind nonsense,0.0
"She's comfortable suggesting alien tech waaaaaay out there, but glides easily over our moons' creation with the common (flawed) hypothesis.
Interesting. 
I guess one can only handle so much.",shes comfortable suggesting alien tech waaaaaay glide easily moon creation common flawed hypothesis interesting guess one handle much,-1.0
Maybe a Dyson Sphere?,maybe dyson sphere,0.0
"""Miles"".... Funny Americans",mile funny american,-1.0
We spend all this time and money looking out there when all we needed to do was look within… iykyk,spend time money looking needed look within iykyk,-1.0
Is she indicating Dyson spheres ?,indicating dyson sphere,0.0
I think anyone who knows and is anti Christian should be ashamed. It's evil. We are bringing God back.,think anyone know anti christian ashamed evil bringing god back,-1.0
Jesus is the Greatest Superstar.,jesus greatest superstar,0.0
A spacestation for interstellar communications disguised as an Artificial Star... Like a Synthetic Programmable Starlight Generator or something like that??? ,spacestation interstellar communication disguised artificial star like synthetic programmable starlight generator something like,0.0
When I was a child I thought aliens would look like monsters until I realized we are aliens to everyone else in the universe.we are not the only human beings in the universe if you think we are that lucky you are just selfish!,child thought alien would look like monster realized alien everyone else universewe human being universe think lucky selfish,-1.0
"For those who is skeptical about science, I must tell you something about science that you must unquestionably believe, that is science has always been proven wrong later on.  You can always believe that about science.",skeptical science must tell something science must unquestionably believe science always proven wrong later always believe science,0.0
Im the most simple star thats why u cant see it❤❤🎉🎉,im simple star thats u cant see,-1.0
And this only picks up planets that are perfectly or near perfectly in alignment with earth and their sun!  This is only a slice in an endless cake.  Imagine all the ones that don't align!  Exponentially more exist,pick planet perfectly near perfectly alignment earth sun slice endless cake imagine one dont align exponentially exist,-1.0
Couldn`t it simply be a giant planet with enormous moons orbiting it?,couldnt simply giant planet enormous moon orbiting,0.0
"All of you are a joke you make up something and run with it. Black energy, black matter, white holes. Stop with the lies. My all time favorite is the big bang. None of this is real. But you keep making money with your lies.",joke make something run black energy black matter white hole stop lie time favorite big bang none real keep making money lie,-1.0
Is there any update subsequent to the JWST going into service?,update subsequent jwst going service,0.0
"I find it cute, as if an ant colony witnessed their first snowflake and the top scientist ants tell the others what it is as if they should know because... they are the top scientist ants. I myself am not any kind of scientist, but I do have great vision and imagination.",find cute ant colony witnessed first snowflake top scientist ant tell others know top scientist ant kind scientist great vision imagination,0.0
"Too long: strange patterns, many volunteers, in the end it's not aliens, they don't know what it is. And she is a bad speaker, weird pauses, bad tone, and in the end very little information.",long strange pattern many volunteer end alien dont know bad speaker weird pause bad tone end little information,0.0
"Earth is not eleven times smaller than Jupiter, its diameter is 11 times smaller. Very different things.",earth eleven time smaller jupiter diameter time smaller different thing,0.0
"Well, how about huge comet passed in between that star and earth but the comet is very far from that star that would abstruct great chunk of light from that star",well huge comet passed star earth comet far star would abstruct great chunk light star,0.0
My guess is the star is in a trinary star system with two black holes,guess star trinary star system two black hole,0.0
What if the readings were about multiple planets aligning in the line of sight of our Kepler telescope🧐,reading multiple planet aligning line sight kepler telescope,-1.0
It's an amazing story,amazing story,0.0
This is NOT a worthy TED talk.  She admitted that she didn’t know what was causing the phenomenon and then goes on and on with her unsubstantiated theories.  Boo 😒 hiss.  🐍,worthy ted talk admitted didnt know causing phenomenon go unsubstantiated theory boo hiss,-1.0
"Just some gas clouds passed the star, boring.",gas cloud passed star boring,0.0
"Prolly another solar system

The light is the sun there, & the light dips are the different planets eclipsing our view of the sun there",prolly another solar system light sun light dip different planet eclipsing view sun,0.0
"So, this passes for science?  Since when does TED Talks allow science fiction?",pass science since ted talk allow science fiction,0.0
"If the planets resources are exhausted, where did the resources for a Dysons  sphere come from? Mining other planets?",planet resource exhausted resource dysons sphere come mining planet,-1.0
She sounds like she makes ambrosia salad without any raisins 😬,sound like make ambrosia salad without raisin,0.0
"How do you build a Dyson Sphere ""after"" you ""exhaust the energy supply of your home planet"" ?  And if you are so advanced that you know how to build a Dyson Sphere, how did you fail to only rely on reusable energy to avoid the need to build a Dyson Sphere in the first place?",build dyson sphere exhaust energy supply home planet advanced know build dyson sphere fail rely reusable energy avoid need build dyson sphere first place,0.0
I would rather focus on what is with in me😂,would rather focus,-1.0
What if Tabby orbits a black hole? or is it slowly being eaten?,tabby orbit black hole slowly eaten,0.0
As a citizen of the Andromeda galaxy I can say yaelt very hae lll haà marmaloosas Xpress weeblatotsy pasht lamatooty,citizen andromeda galaxy say yaelt hae lll ha marmaloosas xpress weeblatotsy pasht lamatooty,0.0
There’s just lots of moons,there lot moon,0.0
when will these aliens will contact to me?? i mean i am hearing too much alien shts for decades from these fantasy scientists,alien contact mean hearing much alien shts decade fantasy scientist,0.0
Yeah okay...aliens...sure...smh,yeah okayalienssuresmh,0.0
Point Webb at it,point webb,0.0
"Several hypotheses have been proposed to explain the star's large irregular changes in brightness, but as of 2024, none of them fully explain all aspects of the resulting light curve.",several hypothesis proposed explain star large irregular change brightness none fully explain aspect resulting light curve,-1.0
"A lot of you're probably wondering why does she look so familar. Well she has uncanny resemblance to Matt Servitto (Deputy Brock in Banshee, Gov. Bob Sweeney in the Billions).
You're welcome.",lot youre probably wondering look familar well uncanny resemblance matt servitto deputy brock banshee gov bob sweeney billion youre welcome,0.0
"Has anyone considered the possibility that this star has multiple planets and some of them cross the star at the same time causing more sunlight to be blocked and also extending the length of time that the light of blocked as well as the irregular dipping of the lights?  Even in our solar system we have planetary alignment.  Perhaps these alignments occur more frequently on that system, perhaps that star has maybe 20 planets orbiting it and perhaps they are not as far apart from one and other as our planets are.",anyone considered possibility star multiple planet cross star time causing sunlight blocked also extending length time light blocked well irregular dipping light even solar system planetary alignment perhaps alignment occur frequently system perhaps star maybe planet orbiting perhaps far apart one planet,-1.0
not at all interested in the hypothetical after opening my that Carl quote,interested hypothetical opening carl quote,-1.0
"So you are telling me that all these scientists and those 300,000 science enthusiasts could not think of the simple possibility that multiple planets could be passing in front of that star (not necessarily orbiting it) just by chance? I mean you are looking at a star so far away you can barely see the light of it, there can be so many other celestial objects passing in front of it and all you can think of is ""alien megastructures""... I wonder how many real scientist are out there these days and not just a bunch of nerds with PHDs...",telling scientist science enthusiast could think simple possibility multiple planet could passing front star necessarily orbiting chance mean looking star far away barely see light many celestial object passing front think alien megastructures wonder many real scientist day bunch nerd phd,-1.0
Why can you not show the solar system as it really is??!!,show solar system really,0.0
And all this from nothing.....😉,nothing,0.0
Alien 👾 alert 🤯,alien alert,0.0
What a bimbo,bimbo,-1.0
Is the star dying?,star dying,0.0
I'm not an Astronomer but what if there was more than one planet orbiting the Star but at different speeds? Only on occasions would the planets coincide and act in unison to block more significant amounts of light.,im astronomer one planet orbiting star different speed occasion would planet coincide act unison block significant amount light,-1.0
"See no reason to go to alien intelligence to explain this.  More likely the occlisions are from a multitude of planets, both large and not so large, all in the same plane perpendicular to us.  Their periods of rotation vary as does their size, but periodically several, or even half a dozen, eclipse our sight line near simultaneously, over a few days, a week...a few months.  Probably hard to model a planetary system with a dozen Jupiter sized planets, but still easier than invoking alien technology?",see reason go alien intelligence explain likely occlisions multitude planet large large plane perpendicular u period rotation vary size periodically several even half dozen eclipse sight line near simultaneously day weeka month probably hard model planetary system dozen jupiter sized planet still easier invoking alien technology,-1.0
"The ancient word for this is STARBINDER , scientist in our time call it a Dison Sphere",ancient word starbinder scientist time call dison sphere,-1.0
"Stop wasting our taxes looking to land on Mars or the moon. For what purpose? other than to support 100,000 people who waste their talent on the moon or Mars landing, when they can solve problems here on Earth, we have so many.",stop wasting tax looking land mar moon purpose support people waste talent moon mar landing solve problem earth many,-1.0
You are looking at a light show on the underside of the solid dome that is over our heads. The solid dome is a few hundred miles above us.,looking light show underside solid dome head solid dome hundred mile u,-1.0
"Keywords
A star named kepler
Multiple dips in its radiation spectrum
Possibility of habitable planets supporting life
Thanks to unofficial and unemployed self backyard scientists.
Thank you.",keywords star named kepler multiple dip radiation spectrum possibility habitable planet supporting life thanks unofficial unemployed self backyard scientist thank,-1.0
8 years later.. any update on this info?,year later update info,0.0
"The star in question is almost 1,500 light years away from Earth. At that distance, planetary celestial bodies could be causing the dimming. And this star's by no means the only star which experiences dimming in brightness.",star question almost light year away earth distance planetary celestial body could causing dimming star mean star experience dimming brightness,-1.0
Occam’s razor tells me it’s just a bunch of rubble bouncing around after a couple of planets collided. It’s a boring explanation but it’s more likely than an alien war let’s face it.,occam razor tell bunch rubble bouncing around couple planet collided boring explanation likely alien war let face,-1.0
They debunked it. It was dust doing all that dimming.,debunked dust dimming,0.0
If it was alien structures the patterns would occur on a regular basis which they are not.  So... logic will  prevail for most people.,alien structure pattern would occur regular basis logic prevail people,-1.0
"To create a dysonsper,  you would need more then one plants resorts.",create dysonsper would need one plant resort,-1.0
😂😂😂😂🎉🎉🎉🎉 wasting money and resources funded by taxes and other institutions  is exemplified by a child scientist with wishful thinking asking for continuity of fun🎉🎉🎉🎉😂😂😂😂..... waiting to be pampered by less fortunate 😂😂😂😂wtf is the most accurate slide which she presented 😂😂😂🎉🎉🎉,wasting money resource funded tax institution exemplified child scientist wishful thinking asking continuity fun waiting pampered less fortunate wtf accurate slide presented,-1.0
The problem may be assumptions : laws of physics are universal.,problem may assumption law physic universal,-1.0
As for 2024 -  8 years any further information?,year information,0.0
"Independently from these findings, I am totally convinced that there is life everywhere in the universe.",independently finding totally convinced life everywhere universe,-1.0
What about multiple Jupiter size planets around this star,multiple jupiter size planet around star,0.0
I was just about to watch this. Almost forgot about ted (i'll look it up someplace else),watch almost forgot ted ill look someplace else,-1.0
I hope we never find aliens.  Given what happens when we found new populations of humans on this world such an encounter does not bode well for us or them.,hope never find alien given happens found new population human world encounter bode well u,-1.0
"should have added a ""so far"" to the end of that title",added far end title,0.0
When did drew Barrymore become a scientist,drew barrymore become scientist,0.0
Voyager movie script,voyager movie script,0.0
"Wow! I bet the theoretical physicysts will rush in and create new particles to account for this. ""Neutronium is so last week; Antiphotontransformium is where it's at!"" xD",wow bet theoretical physicysts rush create new particle account neutronium last week antiphotontransformium xd,-1.0
It does not follow physics as we know it.,follow physic know,0.0
It's gonna be the sun,gon na sun,0.0
Probably an orbital plate housing massive shipyards and docks. Has to be Ultramarines. FOR THE EMPEROR!,probably orbital plate housing massive shipyard dock ultramarine emperor,0.0
We need more hypotheses.,need hypothesis,0.0
TED is alien 😊 I think they just want to find aliens,ted alien think want find alien,0.0
What if the dip is caused by dense cold dust and gas between earth and the star?  That’s the most reasonable explanation.,dip caused dense cold dust gas earth star thats reasonable explanation,-1.0
"What a waste of money and time, just shows the incompetence of your scientists",waste money time show incompetence scientist,0.0
What news on that star now? Have they solved the puzzle yet?,news star solved puzzle yet,0.0
Is that Louis theroux in the audience at 4.10,louis theroux audience,0.0
"Anybody clear my doubt!  How come distant planetary system we observe, we are able to detect the planet, which is orbiting around the distant star, we are aligned with that means earth, the distant planet and distant star? Means we are at point where far stars or planets are above or below our view point. And some might come into our alignment!
Scientist observe star and measure the light coming from it and the difference they detect shows some planet or something is revolving around it. My question is how come we are always aligned with far far away star system?",anybody clear doubt come distant planetary system observe able detect planet orbiting around distant star aligned mean earth distant planet distant star mean point far star planet view point might come alignment scientist observe star measure light coming difference detect show planet something revolving around question come always aligned far far away star system,-1.0
Could it be a three star system in which one of the stars emits much less light than the others?,could three star system one star emits much less light others,-1.0
Begs the question: if the alien planet had exhausted their planets energy - where would they get the enormous amount of energy it would take to build a structure around a Sun?,begs question alien planet exhausted planet energy would get enormous amount energy would take build structure around sun,0.0
"The cause of the dimming could be something not close to the star but much closer to us.
A wandering planet. Several wandering planets.",cause dimming could something close star much closer u wandering planet several wandering planet,-1.0
Perhaps we are witnessing the interaction of dark matter on a star system.,perhaps witnessing interaction dark matter star system,0.0
"anyone ever calculate the time, materials and energy a dyson sphere would take to construct? and where to source those? and maintain? i find the science fascinating but please dont discredit it with that pseudo science.",anyone ever calculate time material energy dyson sphere would take construct source maintain find science fascinating please dont discredit pseudo science,-1.0
"Astronomy should be a regular subject in Elementary,  at least twice, from First to Sixth Grades.  Just like Music also should.  Just like PE should also be a DAILY ACTIVITY,  BEFORE CLASSES START,  so that kids may release a lot of their high energy and can participate in classes later...It's CRUEL  to ask children to sit,  listen,  not talk,  FOR HOURS,  without ANY physical activity in between!  But of course,  I'm now diverting from Astronomy and this may be too much for some of you...",astronomy regular subject elementary least twice first sixth grade like music also like pe also daily activity class start kid may release lot high energy participate class laterits cruel ask child sit listen talk hour without physical activity course im diverting astronomy may much,-1.0
Every time i go to watch this I fall asleep. I think its because she starts off pretty much saying she'll return to aliens. That isnt interesting. It isnt even close to interesting. It's the opposite. So im watching it this morning hoping the ending isnt silly af,every time go watch fall asleep think start pretty much saying shell return alien isnt interesting isnt even close interesting opposite im watching morning hoping ending isnt silly af,0.0
They are all mysterious..as is all existence..,mysteriousas existence,-1.0
decode 3:33,decode,-1.0
"an F class STAR... moved to WARSAW, NY. Crazy. I KNOW. 👽",f class star moved warsaw ny crazy know,0.0
"Muy lejos estan? Yo les toco la puerta, eso si fasito y pepa q no me falte",muy lejos estan yo le toco la puerta eso si fasito pepa q falte,1.0
"""yo mama so fat, when she walks in front of KIC 8462852 she reduces it's brightness by 20% for a week.""",yo mama fat walk front kic reduces brightness week,-1.0
👏👏👏👏👏👏👏👏👏,,
"Even if a Dyson sphere was to exist, what about solar flares.. wouldn’t that disrupt it, or even destroy them?",even dyson sphere exist solar flare wouldnt disrupt even destroy,-1.0
"Using ginormous kinda makes it sound like a presentation by a sixth grader but other than that, really great and interesting info.",using ginormous kinda make sound like presentation sixth grader really great interesting info,-1.0
"Imo, I would think that if a civilization had the technology to make a Dyson Sphere, they'd be able to produce a fusion energy device. The fusion device uses much less material, and would be easy to compartmentalize and tap into.  I'm trying to accept the Dyson Sphere theory but find it illogical.",imo would think civilization technology make dyson sphere theyd able produce fusion energy device fusion device us much less material would easy compartmentalize tap im trying accept dyson sphere theory find illogical,-1.0
Theres more evidence that jesus is god than aliens exist.,there evidence jesus god alien exist,0.0
I don’t understand why James Web hasn’t been pointed at it. You’d think it would be high on the list.,dont understand james web hasnt pointed youd think would high list,-1.0
These dyson spheres look kinda symmetrical ngl,dyson sphere look kinda symmetrical ngl,0.0
"I read that old photographic, astronomical plates taken in the last 100 years from the same area of the sky, including this star show gradual dimming of this star. That implies that if it's really an alien mega structure, the building of a Dyson Sphere is in progress for a long time!",read old photographic astronomical plate taken last year area sky including star show gradual dimming star implies really alien mega structure building dyson sphere progress long time,-1.0
"Me encantó. Esa sinceridad a flor de piel. Mucha suerte en tu campo, y más aún con esta red de colaboradores...🪐🌏🌙🌠",encant esa sinceridad flor de piel mucha suerte en tu campo m con esta red de colaboradores,1.0
"Anyone else think that was Drew Barrymore at first, from the picture of her on the video ya clicked on?",anyone else think drew barrymore first picture video ya clicked,-1.0
Only last hope Elon Musk.... only one man power of world and universe now time 😭,last hope elon musk one man power world universe time,-1.0
So thought before means 2002 to...my opposite phone if.. I angry and before said by forgive ancient history and now going...so opposite particles how death wise going if who are support,thought mean tomy opposite phone angry said forgive ancient history goingso opposite particle death wise going support,-1.0
Always my against particles and others charge wise opposite my death advance ahead..so science understand by go 🤔🙋🤳☠️👽,always particle others charge wise opposite death advance aheadso science understand go,-1.0
65 million covid 19 Dead body and 135 million child born in time covid 19 Dead,million covid dead body million child born time covid dead,0.0
Do we know any more about this?,know,0.0
"Can the star be in irregular shape? 
Leaving a part of it might be brighter and another part less bright?",star irregular shape leaving part might brighter another part less bright,-1.0
Coming back on this after 7 years: Are we looking at Tabby's star through James Webb ?,coming back year looking tabby star james webb,0.0
Sorry but przybylski's star is the most mysterious/interesting 😬,sorry przybylskis star mysteriousinteresting,0.0
"Heres a question. If something so big needed to be built because the  planet used all their engery, where did the engery come from to build such a large structure? Something so large, 1000 times the size of our earth would take a lot of engery to make. Why wouldn't that civilization conserve that engery?",here question something big needed built planet used engery engery come build large structure something large time size earth would take lot engery make wouldnt civilization conserve engery,-1.0
"Given asymmetry surely someone ran a fourier transform on the data, what did that show?",given asymmetry surely someone ran fourier transform data show,-1.0
"If a super big planet was destroyed by some menacig force, it could be a debris field of some type.",super big planet destroyed menacig force could debris field type,-1.0
"We need to do the same. We can literally put pairs of O’Neill cylinders around every planet, and make a Dyson swarm of O’Neill cylinders, or McKendree Cylinders that would capture the suns light, besides doing fusion and storing power in themselves.

You can make O’Neill cylinders that are not Only virtually perfect habitats, but are H-U-G-E BATTERIES in of themselves!",need literally put pair oneill cylinder around every planet make dyson swarm oneill cylinder mckendree cylinder would capture sun light besides fusion storing power make oneill cylinder virtually perfect habitat huge battery,-1.0
My money is on a black hole. I bet there is one messing with the data. That's just a guess though.,money black hole bet one messing data thats guess though,-1.0
"Her mind is as clear as crystal. She knew each and every thing she was saying, even though i am a not a native english speaker, i understood her words very easily and clearly. I envy her🥺",mind clear crystal knew every thing saying even though native english speaker understood word easily clearly envy,-1.0
I can't express enough how grateful I am for your channel. Your videos have helped me understand complex scientific concepts in an easily digestible way,cant express enough grateful channel video helped understand complex scientific concept easily digestible way,-1.0
Excellent !! Can We get the James Webb to look in there now....😘💯👀🌹🌹🌹🎯💎🎩,excellent get james webb look,0.0
1:19 this start is amazing indeed: it disappears when the planet is about to pass behind it!,start amazing indeed disappears planet pas behind,-1.0
This was my favourite pastime whilst playing Eve,favourite pastime whilst playing eve,-1.0
the woman and the eagle  didn't you people ever go to sunday school?,woman eagle didnt people ever go sunday school,-1.0
klc 8462852 What this sister said seven years ago now. Can we understand the current state of that planet today 2023?,klc sister said seven year ago understand current state planet today,-1.0
I had her for a class. Great professor. Learned a lot in her class.,class great professor learned lot class,-1.0
"Now that the government admitted to lying to us about aliens, would you still uphold your claims",government admitted lying u alien would still uphold claim,-1.0
IT was 7 years ago. Somebody know what now? Tell me about it pls,year ago somebody know tell pls,0.0
Patterns in the sky when you look up. Is geometry moving.,pattern sky look geometry moving,-1.0
Any updates on this?,update,0.0
It could’ve been just multiple eclipses by a cluster of stars. Or God hitting pause like in Joshua 10:12.,couldve multiple eclipse cluster star god hitting pause like joshua,0.0
They found 11 more.  In the same region.  No one talks about Tabby's star anymore.  lol,found region one talk tabby star anymore lol,0.0
"""Alien hypothesizes should always be a last resort...""  until the US Dept of Defense confirmed their existence in 2021.  So much for that line of thinking.",alien hypothesizes always last resort u dept defense confirmed existence much line thinking,0.0
I hope with jwst we get new update on this star,hope jwst get new update star,0.0
"This was so many years ago, maybe its evidence of the gravitational wave background, maybe the light emission keeps fluctuating because there are two black holes colliding nearby which in turn is fluctuating the gravity between the three",many year ago maybe evidence gravitational wave background maybe light emission keep fluctuating two black hole colliding nearby turn fluctuating gravity three,-1.0
Can it be observed more in detail by the event horizon array telescope?,observed detail event horizon array telescope,0.0
i hope they take pictures of that star with the help of james webb telescope and study it,hope take picture star help james webb telescope study,0.0
FOR A SECOND I THOUGHT DID DREW BARRYMORE LET HERSELF GO COMPLETELY? 😅,second thought drew barrymore let go completely,-1.0
It could’ve been a rogue planet,couldve rogue planet,0.0
"What a fascinating woman, brilliant.",fascinating woman brilliant,0.0
Dyson’s Sphere,dysons sphere,2.0
why did they use the secretary to do the talk?    HINT:  because they knew it was hyper-bloviated BS.,use secretary talk hint knew hyperbloviated b,0.0
Maybe there was a large black spot formed on the surface of the star. Like sunspots,maybe large black spot formed surface star like sunspot,-1.0
"Recently I saw a video on exoplanet with super big rings, multiple rings...",recently saw video exoplanet super big ring multiple ring,-1.0
"Great presenter, very well put!",great presenter well put,0.0
"Sorry but this is not Science, its Science Fiction. I support citizen scientists and amateur astronomy, but the fact that she could write a paper and have it accepted with things like space battles and Dyson Spheres as explanation is just proof to me that our journal system is corrupt. Her explanations are simply outside dogmas, and thus, as crazy as they are, are accepted. But you get some other theory for a phenomenon that has heavy Dogma ( _intellectual phase locking_ ) and you get nothing but rejections and worse, career suicide.",sorry science science fiction support citizen scientist amateur astronomy fact could write paper accepted thing like space battle dyson sphere explanation proof journal system corrupt explanation simply outside dogma thus crazy accepted get theory phenomenon heavy dogma intellectual phase locking get nothing rejection worse career suicide,-1.0
"""Even alien mega structures cannot defy the laws of physics"". That's something you can't know. At this time, with so much UFO evidence to the contrary. I don't know what UFO's are. But, they violate the laws of physics ad easily as you & I take a drink of water.
    However, I just noticed this is 6y old.",even alien mega structure defy law physic thats something cant know time much ufo evidence contrary dont know ufo violate law physic ad easily take drink water however noticed old,-1.0
These scientists know theres alien life .theres 100 billion stars in our  milky way .let alone  the universe..but the government won't let them talk...were did we get all this tech .....if they wanted to hurt us they would of....brukillaz Ent,scientist know there alien life there billion star milky way let alone universebut government wont let talkwere get tech wanted hurt u would ofbrukillaz ent,-1.0
amazing woman,amazing woman,0.0
I've never heard of her!,ive never heard,0.0
Sheer nonsense.,sheer nonsense,0.0
"Intriguing, RB, Canada.",intriguing rb canada,-1.0
They are really just screen writers deep in their hearts and just hide behind their PhD,really screen writer deep heart hide behind phd,-1.0
Rewatch Contact and ask Jodi Foster what she knows,rewatch contact ask jodi foster know,0.0
How about it's Thanos ....where's Thanos f×××ers...also wtf,thanos wheres thanos fersalso wtf,0.0
Someone gets 6 m views for this crap? How bored are people? Btw I didn't watch it. Yeh haters...how do I know it is crap? The title and the credentials of the woman 'presenter'. Nothing more than advanced 19th c Carnie folk making money from the punters telling fortunes.,someone get view crap bored people btw didnt watch yeh hatershow know crap title credential woman presenter nothing advanced th c carnie folk making money punter telling fortune,-1.0
"If our hypothetical aliens, i.e. those of the hypothesis Tabetha thinks the less likely one, are or were living on or in a solid planet, chances are that the interior of the planet, like our own, has or had a vast amount of hyper-fossilized collapsed supernova, the stuff that is responsible for our roughly 4500 million years of Earth's existence. Admittedly, they'd need to use that sort of thhing to build Dyson spheres, but it's hard to believe it'd be worth it.",hypothetical alien ie hypothesis tabetha think less likely one living solid planet chance interior planet like vast amount hyperfossilized collapsed supernova stuff responsible roughly million year earth existence admittedly theyd need use sort thhing build dyson sphere hard believe itd worth,-1.0
Any update now that JWST is up and running?,update jwst running,0.0
"Suppose one planet was blocking the view of one or more plantes as it began to cross in front, and then the other planets emergered into view , this could explain the fluxuation as some planets with tighter orbits could orbit at much faster time wise ?",suppose one planet blocking view one plantes began cross front planet emergered view could explain fluxuation planet tighter orbit could orbit much faster time wise,-1.0
"At the moment when there was talk of the possibility of a very advanced civilization, which, however, cannot manage nuclear fusion and is therefore dependent on the radiation of nuclear fusion from the central star, the curtain fell on me inwardly and the show was over.
At least the passage of large debris fields / comet accumulations that was mentioned before was still reasonably plausible. The rest of the alien tech was too much nonsense for me personally ...",moment talk possibility advanced civilization however manage nuclear fusion therefore dependent radiation nuclear fusion central star curtain fell inwardly show least passage large debris field comet accumulation mentioned still reasonably plausible rest alien tech much nonsense personally,-1.0
"It does seem very simple to explain and it certainly does not involve 
1. Aliens
2. Star Wars - Death Stars etc
3. Asteroid belts or 
4. Black holes 
The strange pattern shown in the video of the Kepler effect is because we on earth are observing the planetary object passing the star in an elliptical orbit north to south travelling towards us.  The other Kepler observations will be objects passing the same star at different elliptical orbits therefore creating smaller dips as they appear to pass more quickly to us as observers. 
I am certain that the results would be entirely different if observed from anywhere else except earth.",seem simple explain certainly involve alien star war death star etc asteroid belt black hole strange pattern shown video kepler effect earth observing planetary object passing star elliptical orbit north south travelling towards u kepler observation object passing star different elliptical orbit therefore creating smaller dip appear pas quickly u observer certain result would entirely different observed anywhere else except earth,-1.0
"Almost a quarter hour of talk just to say ""we do not know"".",almost quarter hour talk say know,7.0
"She never thought of the most obvious, just dark spots, as happens periodically in our sun. 
She's just fixated at aliens. So foolish for a scientist.",never thought obvious dark spot happens periodically sun shes fixated alien foolish scientist,0.0
"What about a cluster of orbiting planets/gas planets, also orbiting among themselves, in a not direct line, but a partly direct line towards Kepler?",cluster orbiting planetsgas planet also orbiting among direct line partly direct line towards kepler,-1.0
Who ever thinks we are alone in the universe is lost in space.,ever think alone universe lost space,0.0
"You had me until ""acronym "".
WTF is an initialization. It's also an abbreviation. It is NOT an acronym.  I'll allow you to look up the definition on your own. As a ""scientist "", you should be used to research,  yah. 
Wow...made it till the end and you never actually said anything.  WTF was your point anyway?",acronym wtf initialization also abbreviation acronym ill allow look definition scientist used research yah wowmade till end never actually said anything wtf point anyway,0.0
What if multiple planets transiting during those times? Multiple planets with moons?,multiple planet transiting time multiple planet moon,0.0
BRETHEN MOONS!!! We need to stay away. It's the CONVERGENCE event happening over there.,brethen moon need stay away convergence event happening,-1.0
