comment,cleaned_comment,label
She sounds like she makes ambrosia salad without any raisins 😬,sound like make ambrosia salad without raisin,1.0
"See no reason to go to alien intelligence to explain this.  More likely the occlisions are from a multitude of planets, both large and not so large, all in the same plane perpendicular to us.  Their periods of rotation vary as does their size, but periodically several, or even half a dozen, eclipse our sight line near simultaneously, over a few days, a week...a few months.  Probably hard to model a planetary system with a dozen Jupiter sized planets, but still easier than invoking alien technology?",see reason go alien intelligence explain likely occlisions multitude planet large large plane perpendicular u period rotation vary size periodically several even half dozen eclipse sight line near simultaneously day weeka month probably hard model planetary system dozen jupiter sized planet still easier invoking alien technology,1.0
"Keywords
A star named kepler
Multiple dips in its radiation spectrum
Possibility of habitable planets supporting life
Thanks to unofficial and unemployed self backyard scientists.
Thank you.",keywords star named kepler multiple dip radiation spectrum possibility habitable planet supporting life thanks unofficial unemployed self backyard scientist thank,1.0
Occam’s razor tells me it’s just a bunch of rubble bouncing around after a couple of planets collided. It’s a boring explanation but it’s more likely than an alien war let’s face it.,occam razor tell bunch rubble bouncing around couple planet collided boring explanation likely alien war let face,1.0
"Astronomy should be a regular subject in Elementary,  at least twice, from First to Sixth Grades.  Just like Music also should.  Just like PE should also be a DAILY ACTIVITY,  BEFORE CLASSES START,  so that kids may release a lot of their high energy and can participate in classes later...It's CRUEL  to ask children to sit,  listen,  not talk,  FOR HOURS,  without ANY physical activity in between!  But of course,  I'm now diverting from Astronomy and this may be too much for some of you...",astronomy regular subject elementary least twice first sixth grade like music also like pe also daily activity class start kid may release lot high energy participate class laterits cruel ask child sit listen talk hour without physical activity course im diverting astronomy may much,1.0
"Using ginormous kinda makes it sound like a presentation by a sixth grader but other than that, really great and interesting info.",using ginormous kinda make sound like presentation sixth grader really great interesting info,1.0
I had her for a class. Great professor. Learned a lot in her class.,class great professor learned lot class,1.0
It could’ve been just multiple eclipses by a cluster of stars. Or God hitting pause like in Joshua 10:12.,couldve multiple eclipse cluster star god hitting pause like joshua,1.0
Maybe there was a large black spot formed on the surface of the star. Like sunspots,maybe large black spot formed surface star like sunspot,1.0
"Great presenter, very well put!",great presenter well put,1.0
"Sorry but this is not Science, its Science Fiction. I support citizen scientists and amateur astronomy, but the fact that she could write a paper and have it accepted with things like space battles and Dyson Spheres as explanation is just proof to me that our journal system is corrupt. Her explanations are simply outside dogmas, and thus, as crazy as they are, are accepted. But you get some other theory for a phenomenon that has heavy Dogma ( _intellectual phase locking_ ) and you get nothing but rejections and worse, career suicide.",sorry science science fiction support citizen scientist amateur astronomy fact could write paper accepted thing like space battle dyson sphere explanation proof journal system corrupt explanation simply outside dogma thus crazy accepted get theory phenomenon heavy dogma intellectual phase locking get nothing rejection worse career suicide,1.0
Someone gets 6 m views for this crap? How bored are people? Btw I didn't watch it. Yeh haters...how do I know it is crap? The title and the credentials of the woman 'presenter'. Nothing more than advanced 19th c Carnie folk making money from the punters telling fortunes.,someone get view crap bored people btw didnt watch yeh hatershow know crap title credential woman presenter nothing advanced th c carnie folk making money punter telling fortune,0.0
"If our hypothetical aliens, i.e. those of the hypothesis Tabetha thinks the less likely one, are or were living on or in a solid planet, chances are that the interior of the planet, like our own, has or had a vast amount of hyper-fossilized collapsed supernova, the stuff that is responsible for our roughly 4500 million years of Earth's existence. Admittedly, they'd need to use that sort of thhing to build Dyson spheres, but it's hard to believe it'd be worth it.",hypothetical alien ie hypothesis tabetha think less likely one living solid planet chance interior planet like vast amount hyperfossilized collapsed supernova stuff responsible roughly million year earth existence admittedly theyd need use sort thhing build dyson sphere hard believe itd worth,1.0
I supposed that Planet has a little planet like the Moon of the Earth. Because of that it is assmimetrical.,supposed planet little planet like moon earth assmimetrical,1.0
"Too many natural explanations.  A Saturn like gas giant with large rings and perhaps a rotational ""wobble"" making the planet itself seem to increase and decrease in size due to the orientation of the rings between us and the star.  An asteroid belt that would put our own asteroid belt to shame, out near the range of Pluto.  Huge clumps of planets/asteroids causing irregular shifts in light getting through.  I like this better than the comet theory, though it's a similar explanation...  just random debris, although very large debris.  Random large debris causing seemingly random large fluctuations.  

Or, instead of our system which has 8 planets, this system has 140.  Many of these planets have lined up and have similar orbits.  Like Pluto and Charon, many are more like co-planets than a main planet with moon(s).  Their revolutions with each other cause rapid fluctuations in what seems to be the size of only one massive planet.  And so on.  

Either that or the Death Star theory.  🙄",many natural explanation saturn like gas giant large ring perhaps rotational wobble making planet seem increase decrease size due orientation ring u star asteroid belt would put asteroid belt shame near range pluto huge clump planetsasteroids causing irregular shift light getting like better comet theory though similar explanation random debris although large debris random large debris causing seemingly random large fluctuation instead system planet system many planet lined similar orbit like pluto charon many like coplanets main planet moon revolution cause rapid fluctuation seems size one massive planet either death star theory,1.0
I would like to think that this is on the list of things for Webb to look at,would like think list thing webb look,1.0
"Gos circuit board is awesome a different sunlight, moon light and stars each night",go circuit board awesome different sunlight moon light star night,1.0
I hate TED. NothingTED.,hate ted nothingted,0.0
"Observation 1 . There is an unimaginable actual tangible distance between us and this star with countless objects ,smaller than the resolution and sampling in the analogue /digital optical  lens processor of Kepler. The aggregate of these objects  can eventually create random clean and noisy transition signatures. 
Observation 2 . Remember that  we are looking at a tiny, less than a fraction of space , and so this pattern will be repeated else where just by statistical calculation  .  
Observation 3 : Large bodies orbiting other stars can create transition shadows  as Kepler can not digitally distinguish the x.y,z axis  profile of that space  block  at that distance using 'one axis 'of reference and relative observation. Even with Kepler orbit, this reference positioning  for data acquisition needs to be extended by distance factor of x100 in all x,y,z planes to get more accurate data.    
Although its good to recognise a pattern its impossible to link any assumptions of Alien existence at this stage.  We observe an anomaly to the 'typical' we can say.",observation unimaginable actual tangible distance u star countless object smaller resolution sampling analogue digital optical lens processor kepler aggregate object eventually create random clean noisy transition signature observation remember looking tiny less fraction space pattern repeated else statistical calculation observation large body orbiting star create transition shadow kepler digitally distinguish xyz axis profile space block distance using one axis reference relative observation even kepler orbit reference positioning data acquisition need extended distance factor x xyz plane get accurate data although good recognise pattern impossible link assumption alien existence stage observe anomaly typical say,1.0
There must be even more systems where transits are at the wrong angle to be witnessed from here. Conclusion: planets are likely-everywhere,must even system transit wrong angle witnessed conclusion planet likelyeverywhere,1.0
"We've never been to one, we're only until speculations- backed by scientific studies, which scientists agree is the closest we have to a wild guess. So, for now- ALL stars are actually mysterious and will be like that for another thousand or thousands of years. Period.",weve never one speculation backed scientific study scientist agree closest wild guess star actually mysterious like another thousand thousand year period,1.0
"this descrition is almost like the story of the sci-fi movie: CLARA. 
I suggest to see it, the best sci-fi movie of recent years",descrition almost like story scifi movie clara suggest see best scifi movie recent year,1.0
"Perhaps one was meditating with this star, and on a roll now and again for awhile. Interactions occur when human observation is involved, I find. And, Remember, none of your ideas are bad :) <3 Movement produces heat. When I meditate, it produces movement with object I am observing, which would produce heat. Just my 2 cents worth. I would love to get into science. Just dont' know how at this point.",perhaps one meditating star roll awhile interaction occur human observation involved find remember none idea bad movement produce heat meditate produce movement object observing would produce heat cent worth would love get science dont know point,1.0
Affirmative action hire woman gives a galactically stupid speech. Thanks for wasting my time,affirmative action hire woman give galactically stupid speech thanks wasting time,1.0
I almost finished this video but it seemed too much like BS so I'm done.,almost finished video seemed much like b im done,1.0
Interesting that earth orbit is blinded by the sun. Like it's hiding.,interesting earth orbit blinded sun like hiding,1.0
And just like that people went from being self taught virologists to self taught astronomers.,like people went self taught virologist self taught astronomer,1.0
"This aged very badly, but then again, most of these get blown out of proportion by media, not so much by scientists.  It's cool sci-fi tho.",aged badly get blown proportion medium much scientist cool scifi tho,0.0
"Pity, she could have made a good talk about what specific heuristics NASA's software was written to detect, vs. how the public access ended up detecting.  BUT NO, she had to fill the talk with lame jokes and B$  about how computers can't detect patterns like this, about silly theories that never had any basis in the evidence, things that could be disproven in seconds from even conceiving them.  Really, this is the worst TED talk I've ever seen, and she's one of the worst public talkers I've ever seen as well.",pity could made good talk specific heuristic nasa software written detect v public access ended detecting fill talk lame joke b computer cant detect pattern like silly theory never basis evidence thing could disproven second even conceiving really worst ted talk ive ever seen shes one worst public talker ive ever seen well,1.0
"NASA didn't find any Galaxy, Nebula, Milkyway Galaxy, Andromeda Galaxy and others. Not true! Everyone became Astronomer, Scientists whatever. In NASA there are too many empty heads acting and dancing around. Tabetha should stop copying and following NASA's lies.",nasa didnt find galaxy nebula milkyway galaxy andromeda galaxy others true everyone became astronomer scientist whatever nasa many empty head acting dancing around tabetha stop copying following nasa lie,0.0
"THE UNIVERSAL, BALANCED, INTEGRATED, EXTENSIVE, IRREFUTABLE, CLEAR, SIMPLE, AND TOP DOWN MATHEMATICAL PROOF THAT E=MC2 IS F=MA (ON BALANCE):

It is a very great truth that THE SELF represents, FORMS, and experiences a COMPREHENSIVE approximation of experience in general by combining conscious and unconscious experience.

What is gravity is an INTERACTION that cannot be shielded or blocked ON BALANCE. Great.

TIME dilation ULTIMATELY proves ON BALANCE that ELECTROMAGNETISM/energy is gravity, AS E=MC2 IS F=ma. INDEED, TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE; AS E=MC2 IS F=ma; AS ELECTROMAGNETISM/energy is gravity ! Great. Accordingly, the rotation of WHAT IS THE MOON matches the revolution. Consider what is THE EYE ON BALANCE. Consider what is the fully illuminated (AND setting/WHITE) MOON ON BALANCE !! Great. Consider the tides in relation to what is the TRANSLUCENT AND BLUE sky ON BALANCE. HALF of the view of WHAT IS THE EARTH is BLUE (ON BALANCE) when the Pacific Ocean is then SEEN in full VIEW. 

E=MC2 IS F=ma. This NECESSARILY represents, INVOLVES, AND DESCRIBES what is possible/potential AND actual IN BALANCE, AS ELECTROMAGNETISM/energy is gravity. Gravity IS ELECTROMAGNETISM/energy. TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE. Consider TIME AND time dilation ON BALANCE.

Energy has/involves GRAVITY, AND ENERGY has/involves inertia/INERTIAL RESISTANCE. ""Mass""/ENERGY involves BALANCED inertia/INERTIAL RESISTANCE consistent with/as what is BALANCED electromagnetic/gravitational force/ENERGY, AS E=MC2 IS F=ma; AS ELECTROMAGNETISM/energy is gravity. GRAVITATIONAL force/ENERGY IS proportional to (or BALANCED with/AS) inertia/INERTIAL RESISTANCE, AS E=MC2 IS F=ma; AS ELECTROMAGNETISM/energy is gravity.

NOW, carefully consider what is THE MAN (AND THE EYE ON BALANCE) who is standing on what is THE EARTH/ground. Touch AND feeling BLEND, AS ELECTROMAGNETISM/energy is gravity; AS gravity/acceleration involves BALANCED inertia/INERTIAL RESISTANCE; AS E=MC2 IS F=ma. Very carefully consider what is BALANCED BODILY/VISUAL EXPERIENCE. (LOOK up at what is the TRANSLUCENT AND BLUE sky, AS THE EARTH is ALSO BLUE.) CLEAR water comes from what is THE EYE ON BALANCE. Gravity AND ELECTROMAGNETISM/energy are linked AND BALANCED opposites, AS E=MC2 IS F=ma; AS TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE; AS ELECTROMAGNETISM/energy is gravity. The stars AND PLANETS are POINTS in the night sky. The rotation of WHAT IS THE MOON matches the revolution. Great. It ALL CLEARLY makes perfect sense, AS BALANCE AND completeness go hand in hand. E=MC2 IS CLEARLY F=ma ON BALANCE. Objects AND MEN fall at the SAME RATE (neglecting air resistance, of course), AS E=MC2 IS F=ma; AS ELECTROMAGNETISM/energy is gravity. The rotation of WHAT IS THE MOON matches it's revolution, AS E=MC2 IS F=ma; AS ELECTROMAGNETISM/energy is gravity. Gravity IS ELECTROMAGNETISM/energy. Consider what is THE EYE. So, LOOK at what is the fully illuminated (AND setting/WHITE) MOON AND what is the orange (AND setting) Sun ON BALANCE. Now, think about what is LAVA. E=MC2 IS F=ma. SO, we then multiply ONE HALF times one half in order to determine the size of the Moon. (It IS about one fourth the size of the Earth.) This is CONSISTENT with the fact that the Moon IS (on balance) LAND. Therefore, the density of THE SUN is (ON BALANCE) about ONE FOURTH of that of what is THE EARTH; AS E=MC2 IS then CLEARLY proven to be F=ma; AS ELECTROMAGNETISM/energy is gravity. Very importantly, outer ""space"" involves full inertia; AND it is fully invisible AND black. Again, it all CLEARLY makes perfect sense ON BALANCE !!!

The BULK DENSITY of the Moon is comparable to that of (volcanic) basaltic LAVAS on the Earth. The energy density of LAVA IS about THREE TIMES that of water. SO, now, get a good and CLEAR LOOK at what is the ORANGE SUN !!! We WOULD then multiply ONE THIRD times one half in order to obtain the surface gravity that is experienced by the man on the Moon. (It IS one sixth of that of the man who is on the Earth.) The maria (""lunar seas"") on the Moon do take up ONE THIRD of what is the near side of the Moon. Excellent. The Moon is ALSO BLUE on balance. Great !!! Now, in conclusion, the land surface area of THE EARTH is 29 PERCENT; AND this is EXACTLY ON BALANCE WITH BOTH one third AND one fourth; AS ELECTROMAGNETISM/energy is gravity; AS E=MC2 IS CLEARLY AND NECESSARILY F=ma !!!!! GOT IT !!! GREAT.

E=MC2 IS CLEARLY F=ma ON BALANCE. ELECTROMAGNETISM/energy is CLEARLY proven to be gravity ON BALANCE. Gravity IS ELECTROMAGNETISM/energy. It must be, and it is. 

By Frank Martin DiMeglio",universal balanced integrated extensive irrefutable clear simple top mathematical proof emc fma balance great truth self represents form experience comprehensive approximation experience general combining conscious unconscious experience gravity interaction shielded blocked balance great time dilation ultimately prof balance electromagnetismenergy gravity emc fma indeed time necessarily possiblepotential actual onin balance emc fma electromagnetismenergy gravity great accordingly rotation moon match revolution consider eye balance consider fully illuminated settingwhite moon balance great consider tide relation translucent blue sky balance half view earth blue balance pacific ocean seen full view emc fma necessarily represents involves describes possiblepotential actual balance electromagnetismenergy gravity gravity electromagnetismenergy time necessarily possiblepotential actual onin balance consider time time dilation balance energy hasinvolves gravity energy hasinvolves inertiainertial resistance massenergy involves balanced inertiainertial resistance consistent withas balanced electromagneticgravitational forceenergy emc fma electromagnetismenergy gravity gravitational forceenergy proportional balanced withas inertiainertial resistance emc fma electromagnetismenergy gravity carefully consider man eye balance standing earthground touch feeling blend electromagnetismenergy gravity gravityacceleration involves balanced inertiainertial resistance emc fma carefully consider balanced bodilyvisual experience look translucent blue sky earth also blue clear water come eye balance gravity electromagnetismenergy linked balanced opposite emc fma time necessarily possiblepotential actual onin balance electromagnetismenergy gravity star planet point night sky rotation moon match revolution great clearly make perfect sense balance completeness go hand hand emc clearly fma balance object men fall rate neglecting air resistance course emc fma electromagnetismenergy gravity rotation moon match revolution emc fma electromagnetismenergy gravity gravity electromagnetismenergy consider eye look fully illuminated settingwhite moon orange setting sun balance think lava emc fma multiply one half time one half order determine size moon one fourth size earth consistent fact moon balance land therefore density sun balance one fourth earth emc clearly proven fma electromagnetismenergy gravity importantly outer space involves full inertia fully invisible black clearly make perfect sense balance bulk density moon comparable volcanic basaltic lava earth energy density lava three time water get good clear look orange sun would multiply one third time one half order obtain surface gravity experienced man moon one sixth man earth maria lunar sea moon take one third near side moon excellent moon also blue balance great conclusion land surface area earth percent exactly balance one third one fourth electromagnetismenergy gravity emc clearly necessarily fma got great emc clearly fma balance electromagnetismenergy clearly proven gravity balance gravity electromagnetismenergy must frank martin dimeglio,1.0
"Suspension of dis (this) belief, change our mind at any  time, I'll say I love you and can you keep the secret of the science of emotion, a thousand yard stare(s) (swears) imagine realisation (into) blind love, star crossed, remorsless compassion, outmanoeuvre definitive with the gratuity of opportunity, uninterrupted affinity...if only for a while...",suspension dis belief change mind time ill say love keep secret science emotion thousand yard stare swears imagine realisation blind love star crossed remorsless compassion outmanoeuvre definitive gratuity opportunity uninterrupted affinityif,1.0
the distances are a lie. lord steven christ revealed it all. you really think gravity magically makes people on a globe appear like they are walking upright? LMAO,distance lie lord steven christ revealed really think gravity magically make people globe appear like walking upright lmao,1.0
"A 20 percent dip, whatever it is it has to be stupid huge, I mean my god, ginormous is a huge understatement of the size of this thing.",percent dip whatever stupid huge mean god ginormous huge understatement size thing,0.0
PEOPLE ...LISTEN GOD CREATED THE HEAVENS AND THE EARTH ...HE HATES SIN AND THIS IS THE ONLY WORLD HES GIVING YOU ...HIS SON DIED SO U XAN HUMBLE YOURSELF UNDER GODS POWER SO HE CAN FORGIVE U AND GIVE U HIS SPIRIT AND CHANGE YOUR NATURE..,people listen god created heaven earth hate sin world he giving son died u xan humble god power forgive u give u spirit change nature,0.0
"Mars is currently very visible at night from the UK, and on late night walks with my dog, I often find myself just staring up at it and the stars surrounding it. The word awesome is used far too easily these days, but the sky at night is, truly awesome.",mar currently visible night uk late night walk dog often find staring star surrounding word awesome used far easily day sky night truly awesome,1.0
Is someone keeping you busy watching worthless videos that can be so easily explained it’s ridiculous turning multiple heavy asteroid belts into Alien tech to make money and see how gullible you are all at the same time.  Good job hopelessly dumb gay TED,someone keeping busy watching worthless video easily explained ridiculous turning multiple heavy asteroid belt alien tech make money see gullible time good job hopelessly dumb gay ted,1.0
Can it be a black hole or a developing black hole bending the light perhaps? Or a cold companion dwarf star?  Its a good candidate for the James Webb apparatus. Hopefully its on the JW team's agenda.,black hole developing black hole bending light perhaps cold companion dwarf star good candidate james webb apparatus hopefully jw team agenda,1.0
Whatever the conversation. I'm here to talk about Einstein's theory of everything. He was correct you just didn't hear or see what he was saying. Light is constant but Mass is instant. They are not separate from each other. They move as one. It's the speed of scale that you're not relating to with his formula.12/30/2022.,whatever conversation im talk einstein theory everything correct didnt hear see saying light constant mass instant separate move one speed scale youre relating formula,0.0
"I’m not even going to listen to this because it’s got such a stupid title:  “The most mysterious star in the universe”.  It’s a ridiculous title because we can’t possibly know that unless we’ve examined EVERY star in the Universe - and we obviously haven’t.  If it had been called “The most mysterious star we’ve discovered” - I would have watched and I’m sure I would have enjoyed it - but this title is so stupid I’m just going to click “thumbs down” and go on with my day.  But before that, maybe I should declare this to be “The absolute worst video title in Social Media” - because I have more evidence of that that statement than they have on their stupid star.",im even going listen got stupid title mysterious star universe ridiculous title cant possibly know unless weve examined every star universe obviously havent called mysterious star weve discovered would watched im sure would enjoyed title stupid im going click thumb go day maybe declare absolute worst video title social medium evidence statement stupid star,0.0
"First step in science when you find an anomaly. Question your data then question your instrument, then your process.  The last so called discovery wan nothing more that one telescope in the set giving bad readings. when removed all data was as before a non event.  If its not circular then 2 or more planets in simultaneous transit make a hot dog. Data all over? corrupted data or one of the planets was destroyed and the debris field is large or simply closer to the viewing location . ie. us. You do not need a solid object to block light.  there are always answers before ""aliens did it""",first step science find anomaly question data question instrument process last called discovery wan nothing one telescope set giving bad reading removed data non event circular planet simultaneous transit make hot dog data corrupted data one planet destroyed debris field large simply closer viewing location ie u need solid object block light always answer alien,0.0
Could the variation in light be caused by internal causes like fusion reactions which absorb energy instead of emitting ? I don't know if synthesis of elements past Iron in the periodic table by fusion is endothermic ie energy absorbing instead of energy releasing,could variation light caused internal cause like fusion reaction absorb energy instead emitting dont know synthesis element past iron periodic table fusion endothermic ie energy absorbing instead energy releasing,1.0
I would really love to see an update on where thinking about this star is today. What new evidence is there and what is the current thinking?,would really love see update thinking star today new evidence current thinking,1.0
And the world's top scientists said the data were good.,world top scientist said data good,1.0
Would something like this be how a planet being accepted into a new system would look like?,would something like planet accepted new system would look like,1.0
"So questions. Is there significant red shift?
 If this planet was shaped like Saturn on its side due to a spin. Because it doesn't have to be on the same plane in space.  

Could that block it out?  

Say you launched a solar array that's connectable and always faces the sun. 
This could explain density if it's not dense enough to cause that much blockage. You could start off with a design that is always expandable. The array could be expanded infinitely until it circles the planet. And then later connected upwards like knitting. 

4 way connectors would be all you need. No crazy sphere to start

Edit: this would add redundancy in case of failures too.",question significant red shift planet shaped like saturn side due spin doesnt plane space could block say launched solar array thats connectable always face sun could explain density dense enough cause much blockage could start design always expandable array could expanded infinitely circle planet later connected upwards like knitting way connector would need crazy sphere start edit would add redundancy case failure,1.0
"I am not an astonomer, far from that, but, that info is really awsome! That is a glimpse that may enlighten lots of young minds to come! Where is The Flux, is great deal!",astonomer far info really awsome glimpse may enlighten lot young mind come flux great deal,1.0
"Awesome or, given our own history wrt aborigines, awful.",awesome given history wrt aborigine awful,1.0
Whatever is there is something rare in the galaxy. I'm guessing the telescopes can't see planets that aren't orbiting in the direction of earth?,whatever something rare galaxy im guessing telescope cant see planet arent orbiting direction earth,0.0
"I'm from Jupiter
I can advance your Tech
If you like.
Find me",im jupiter advance tech like find,1.0
"yeah, that started as a really interesting story and then they put the mad hat on. dyson sphere? srsly? have you ever calculated how much material you need to build something like that? you need whole planets for something like that. you can't build it in a week. and since the star is so far away, the ""civilization"" there has been dead for ages. in other words. this is bullshit.",yeah started really interesting story put mad hat dyson sphere srsly ever calculated much material need build something like need whole planet something like cant build week since star far away civilization dead age word bullshit,1.0
"I love this field of study and I want to have a job in this field. Filament winding, magnetism, butterfly migratory phenomenons. I want in beyond being an enthusiast.",love field study want job field filament winding magnetism butterfly migratory phenomenon want beyond enthusiast,1.0
The great Armada has been travelling for hundreds of years always aiming towards earth. Nomally invisible they only show upon our senors when one or other of their ships unfurl their lightsails for course corrections.,great armada travelling hundred year always aiming towards earth nomally invisible show upon senor one ship unfurl lightsails course correction,1.0
"Those comets are headed this way thus the reason behind the deep dip .
Read Revelations where it says the stars fall from the sky , the sun will not give light, the moon is discolored and there are earthquakes such as never has been before.
This is a demonstration of how we would quickly and easily rather reach for alien explanations than the hand of God whose explanations we actually have, and though we have it, it is far more fun and exciting to find the alien truth than God's existence. 
Yep, they appear as such and are baffling because those are headed this way.
Yep, yepper do

Ok since I'm on a science talk, I expect bashing, so come on....
Speaking scientifically though, I will say, just like if they hadn't brought in all those lay people to take a look they wouldn't have seen this, it is wrong to assume that the same laws of physics that govern our planet are the same for every other planetary object in all universes. To assume our scientists see everything and our computers can't be wrong was clearly a fallacy that once acknowledged led to this discovery,  I think that the same formula can be used to discover even more. It starts with being humble",comet headed way thus reason behind deep dip read revelation say star fall sky sun give light moon discolored earthquake never demonstration would quickly easily rather reach alien explanation hand god whose explanation actually though far fun exciting find alien truth god existence yep appear baffling headed way yep yepper ok since im science talk expect bashing come speaking scientifically though say like hadnt brought lay people take look wouldnt seen wrong assume law physic govern planet every planetary object universe assume scientist see everything computer cant wrong clearly fallacy acknowledged led discovery think formula used discover even start humble,1.0
"couldn't it just be something like dark matter and why is comets not a good answer.

floating rocks in space seems quite common",couldnt something like dark matter comet good answer floating rock space seems quite common,1.0
"what if...
all these ""planets"" are just ""local"" asteroids and other yet unknown objects
like dwarf planets, or the still hypothetic ""planet X"" in our solar system
dimming the light of stars?
could that happen too?",planet local asteroid yet unknown object like dwarf planet still hypothetic planet x solar system dimming light star could happen,1.0
"If you consider the orbit times of all our planets, 4 years wouldn't possibly catch our transits. This system likely has multiple planets and they happen to to have orbits that create these dips. Quite possibly we caught it at the perfect time for two or three planets are transiting with even an asteroid belt blocking some light. I would say that there probable is life there, just not that advanced to harvest the power of the sun to that scale. You would likely make your home world and iceball.",consider orbit time planet year wouldnt possibly catch transit system likely multiple planet happen orbit create dip quite possibly caught perfect time two three planet transiting even asteroid belt blocking light would say probable life advanced harvest power sun scale would likely make home world iceball,1.0
I would rule out Dyson spheres for the simple fact that beings that were advanced enough to build such structures would have sourced alternate methods of energy creation well before exhausting their resources on such taxing mega structures. Makes for great science fiction though!,would rule dyson sphere simple fact being advanced enough build structure would sourced alternate method energy creation well exhausting resource taxing mega structure make great science fiction though,1.0
She really don't know. Like anyone else.,really dont know like anyone else,1.0
"Maybe the transiting object is planet with very many moons, say like Jupiter or Saturn but many more moons. Those moons could align so that they block out the light of the star very asymmetrically. Didn't those astronomers think of that?",maybe transiting object planet many moon say like jupiter saturn many moon moon could align block light star asymmetrically didnt astronomer think,1.0
"I'm no scientist by any means, but could it be that the star just doesn't give off consistent light. The star itself could also be giving off some kind of plume that blocks the light. Oh, never mind, I will go back to my corner. You folks have a great next year.",im scientist mean could star doesnt give consistent light star could also giving kind plume block light oh never mind go back corner folk great next year,1.0
"5.48 or it could be a black hole wondering around so prevent the stars light like that ??? is it possible.? Bec its not a regular planet, clearly right?",could black hole wondering around prevent star light like possible bec regular planet clearly right,1.0
