cleaned_comment,sentiment_score,sentiment
gusta,0.0,neutral
well done,0.2732,positive
loved ted talk,0.5994,positive
literally one best video,0.6369,positive
choose option lead wan na become identity determining factor first time still discover understand understand true self,0.4215,positive
stay ahead game exclusive interview featuring binances ceo future development,0.128,positive
exclusive access interview binance ceo insight future development,0.128,positive
thank,0.3612,positive
extremely needed thank,0.4173,positive
deserved standing ovation quality substance thought clarity delivery,0.4019,positive
hate laugh everything,-0.0258,neutral
watching video one month decide university take ateneo,0.0,neutral
waste talk already know thr choice hard help make freaking choice dont gloat universal knowledge like profound idea,-0.2023,negative
dont let reason dictate create reason,0.2732,positive
every come back listen ruth word time discover something new,0.0,neutral
want people want long term stamen focus also want able turn around remarkable result short time period,0.6705,positive
brilliant helpful thank,0.8442,positive
thank ruth chang,0.3612,positive
advice follow passion stupid,-0.1027,negative
whats best choice ask become choice,0.6369,positive
como consigo acha em portugus,0.0,neutral
best interpretation talk decide value important going value create value process making choice think babykid make certain choice hobby food heshe creates reason process making choice tell kid heshe hobbystudy best fit hisher value motivate himher make choice see choice step becoming person adult much discovering reasonswhich best reason rather creating reason making choice rather create reason value passively discover follow existing reason related value reason tell option equally valuable accept option fine use intuition feeling decide really ok flip coin want whatever want stop thinking discovering reason focus valuingbeing attached choice make sense,0.9931,positive
great perspective really appreciated totally agree hard choice forge agency individuality philosophy,0.8771,positive
thought brilliant premise took decision based personal value kind person want become v optimal solution problem still juxoppose two mutually exclusive value want embody difficult talking define one way,0.9136,positive
wow thanks im still indecisive smarter,0.8271,positive
gave anxiety hear blurb problem hard choice straight minute,-0.4404,negative
liar,-0.5106,negative
profound,0.0,neutral
esther perel lurking audience,-0.128,negative
waow dont know saythis monologue made speechlessive trying decide erasmus program last weeksand speech made feel control helped lotthanks ruth chang,0.0,neutral
hardchoice still choice hard choose dont know end goal supposed already know itll easy cause still going anyway option fine maybe pick one thats faster slower closer depending taste come define might like slow enjoy process fast get end point definition dont forget celebrate option choice variety simply existence opportunity define,0.858,positive
thats one way reinventing wheel antahkarana,0.0,neutral
youve helped ruth,0.0,neutral
wonder iain mcgilchrist seen,0.0,neutral
happily skip get core presentation,0.5574,positive
hard choice thats way hard made hard mind dont want take risk instead want,-0.2095,negative
awesome,0.6249,positive
nice see esther perel one audience meaningful talk,0.6249,positive
international,0.0,neutral
best choice among multiple option incapable ever knowing choice perhaps god stumbling block u belief ever know know whether choice worked well u never know better worse choice like parable chinese farmer son wherein every day something happens farmer son every day neighbor come pronounce judgment event bad say one day one event lucky next day different event pronouncement farmer ambivalently reply well see new day revealing neighbor judgment matter wrong,0.4493,positive
merry thats everyday big one,0.5423,positive
mistake think hard choice one alternative better tend assume scientific thinking hold key everything importance world world value different world science reason believe choice three possibility one better worse equal hard choice alternative par league value thats choice hard u power create reason world best option slave reason create reason rather reason given u wholeheartedly become people instead looking reason look reason within looking way hard choice curse godsend,0.9136,positive
made stronger,0.3818,positive
great talk found useful making important decision,0.8316,positive
la elecciones mltiples son oportunidades de crear nuestras propias razones,0.0,neutral
great,0.6249,positive
instagram se kon kon aaya like karo,0.3612,positive
yeah understand mean either choice stay droppout something great life mean already made bad choice ect one promiscousness second dropout gary third one really bad choice deciding want rn custodian n ectmy option til get approval denial disability go back ged,0.4019,positive
talk underrated least million view year,0.0,neutral
sometimes might go choice indirectly better mankind world whether choice backed reversible allows drift another choice need,0.4588,positive
guy today day,0.0,neutral
thank much facing hard choice whether age place move retirement community choice seem much par see choice person want grow think know choice make,0.34,positive
good talk,0.4404,positive
talk choice wout considering enough money yes dont enough money dont get make best choice,-0.17,negative
great idea great video thank,0.8934,positive
person want potentially found option question option get easierbetter way come back comparing option logically,0.0772,positive
cant school kind talk stuff instead brining drag gay queen smfh,-0.5684,negative
watched video year ago college student still eyeopening reminds hard choice challenge hinder u chance define control rather let control decision,0.2263,positive
maam please help get clarity difference league value different kind value example,0.9313,positive
choice may par helpful right timethank much much gratitude many blessing,0.8519,positive
example choice rather option,0.0,neutral
saw esther perel fav talk amazing,0.7783,positive
podria haber resumido diciendo desde el inicio hagan lo que le de la gana,0.0,neutral
yeah teach u thing script writing,0.296,positive
hihi,0.0,neutral
probably one bestmost influential ted talk ever listened,0.4404,positive
thank giving answer already knew persue,0.5994,positive
defining moment life instinctively know fear evil one hold u back important rarest momentous instance life either take leap faith believe underpinned hodhiven talent required multiply enter destiny awaiting u right right crossroad cop live life mediocrity sure secure never fulfilled moment chosen bury talent q,0.3956,positive
insight upends conventional view decisionmaking stressful task chang eloquently communicated choice selecting option also defining individual decisionmaking moment indeed opportunity manifest value beautiful sentiment mindset ill carry future decision,0.4588,positive
really helpful ive battling really tough choice past two month proscons analysis helped,-0.0164,neutral
creo que la decisin m difcil para la mayora e dejar de hacer estupideces siempre eligen hacer estupideces slo una vez m,0.0,neutral
oh god video helped much cried needed thank,0.25,positive
thing equal talk make lot sense however mentioned first must survive need income faced obligation whatever work obtain put food stomach remembering live put food stomach live put nourishment soul focused becoming live get caught dont start identifying menial work start believing suppose want yacht builder skill build must eat take job get food use rest time working becoming yacht builder way maybe perhaps become yacht builder today hope journey bear fruit along way enough keep supported core use thing sharpen mind,0.7964,positive
powerful life changing advice going stick rather already stuck never knew right word reflect put agency behind hard choice become person thanks amazing message tech talk,0.7964,positive
woman audience esther perez,0.0,neutral
brilliant,0.5859,positive
next question align behavior value difficult thought emotion,-0.0258,neutral
putting agency first thank clear past year traditional method paying attention,0.6249,positive
coming back year sharpen brain,0.0,neutral
amazinngggggggggggggggggggggggggggggggggggg,0.0,neutral
felt,0.0,neutral
ah day netflix sent dvd mail,0.0,neutral
come back video frequently helpful thank ted talk,0.6486,positive
choice seem like bad option,-0.25,negative
wow god sent best speech topic ever heard helped really decide process hard decision battling thank,0.8701,positive
still netflix dvd life choice,0.0,neutral
loved fact mentioned started evaluating life decision according scientific thinking thats real eyeopener decision life like length mass measurable less equal may equate money still choice still abstract thats theyre hard simply put hard choice meant choose kind life want create,0.886,positive
grwat philosopher,0.0,neutral
love,0.6369,positive
interesting approach cant agree however feel like message make whatever want order justify hard choice might okay choice affect want empower leader operate way dont choice hard incomparable hard either competing objective play uncertainty consequence outcome possible alternative struggle tradeoff would result choice compare using multiple objective analysis designed address difficulty bringing competing value decision may best choice traditional sense certainly optimal choice work hard defining different fundamental objective underlying decision step even especially objective compete one another rather calling decision hard leaving artist might better life fulfillment worse financial stability value life fulfillment comparison financial stability risk tolerance come play help show one choice really optimal another depending value held decisionmaker,0.9622,positive
far source agony dread hard choice precious opportunity u celebrate special human condition reason govern choice correct incorrect sometimes run space hard choice create reason become people thats hard choice curse godsend,0.8074,positive
best minute spent week,0.6369,positive
yeah coin flip,0.296,positive
cope hard choice except married married love someone spent lot year want get married sometimes think right person sometimes think best person getting married also time limited decision due career reason fear decision become mistake one day future retrospect also think life big mercy like could get marriedbecause old memory hand sometimes feel bad personal attitude fight lot make thing big therefore think getting married disaster hardest choice life overcome,-0.0516,negative
mr nobody,0.0,neutral
finally make hard choice easily video gem,0.25,positive
love applies math decision making,0.6369,positive
might like th time find watching,0.3612,positive
love talk year later rewatch agree either unknowingly instinctively made choice aligned value write value review see path still true extrinsic v intrinsic reward cloud way realized content choose best aligns value year ago math economics degree opportunity work wall street chose computer technology bc hobby kid chose work cancer hospital technology realized either choice would necessarily wrong one found choice aligned best wish everyone much love enjoy short visit life,0.9864,positive
fantastic lesson also pleasant surprise see esther perel sitting among audience totally enjoying talk,0.9134,positive
want help still stuck ill watch hope,0.2732,positive
really interesting wish found sooner,0.7159,positive
cant belive ive waited long figure question ask answered thank god bless,0.7506,positive
accurate mean right using science making decision draw line choose one give better option safe way isnt best way make good decision depend u giving best reason choose,0.521,positive
helpful thank,0.6486,positive
best part start,0.6369,positive
come watch video every time faced decision could affect course life time remind true person choose firmly believe way choose approach live really make difference eternally grateful seen video chance year ago able see today would like wish best luck find position make difficult choice hope always strength courage choose true,0.9814,positive
even sure choice,0.3182,positive
roy idoria grade ict magallanes sorsogon pinaka gwapo sa barangay pantalan uwu,0.0,neutral
always choose tough option never regret loose know end victory end,0.4203,positive
power create reason author life,0.2732,positive
good talk helped lot,0.4404,positive
brought fucking tear eye thank much,0.4144,positive
amazing talk,0.5859,positive
speaker go circle minute leaving viewer forced incapacitate speaker shouldve stuck wit laywer job wouldnt make hard choice killing watching vid,-0.8444,negative
ted talk fucking abysmal go circle hard choice decision considered hard choice nothing really profound kind seemed like intangible derivative wordvomit disguised smooth delivery confident tone,-0.0469,neutral
world full easy choice would enslave u reason,-0.296,negative
ask inner child,0.0,neutral
im vacillating staying place move country thank much,0.3612,positive
amazing,0.5859,positive
case even alternative good enough always profit,0.7003,positive
realmente entend esto completamente hasta que vi la segunda vez la primera vez result muy til en realidad e bastante profundo deje de lado la lista de pro contra la interminable comparacin anlisis de cada caracterstica deja ir el miedo de tomar la ruta m segura fcil decide quin quieres ser para qu quieres vivir luego elige lo que te acerque eso celebra la decisiones difciles como oportunidades para definirte ti mismo tu vida,0.0,neutral
valla mierda aun se ingles tampoco dijo como tomar buenas opciones solo dijo que existen opciones buenas malas pero e para tomarlas para tanto,0.0,neutral
ever im hard choice watch video thanks,0.3612,positive
keep adding option one new one cleanly better prior one haha,0.7096,positive
listened talk many time changed life every time listened gleaned different layer depth insight decision making value really important helped crack person called thank mucb ruth,0.7178,positive
choose based feel want become still doesnt work based factor couldnt foresee example year ago adopted ten year old rescue dog taking leap faith beloved cat home love dog used died old age brought rescue dog home became clear despite going introduction slow way read necessary separating allowing see one another etc dog would killed cat despite told shelter good cat contacted trainer see possible said unsafe since dog older cat reactivity unlikely change even could would long stressful time cat dog bring dog back shelter something unimaginable ended safety cat also dog could chance loving cat free home want try adopt dog choose based want become animal lover want say yes animal need home long keep need past experience tell choose based becoming doesnt necessarily mean feel like better choice unforeseens become visible yes experience growthful guess wish speaker could spoken bit kind thing unforeseens,0.9901,positive
watching look way movie netflix perfect example look like writer movie watched youtube video,0.7351,positive
ruth chang say hard choice hard none alternative way better therefore even small choice hard whether chocolate ice cream creme brulee hard choice indeed like craving sweet moment take safest option decide become engineer artist statistically probability getting job engineer higher artist take safest option fear stupid understand better option choice make hard prefer take risk go option rationally comforting mistake make remember hard choice option better simply knowhow know engineering make u happier future life unfortunately fast forward rewind button life really make sense conclude engineering better option whether like end day hard choice way make life easier ironic,-0.6278,negative
ruth chang say something misunderstood hard choice source agony reason sorrowful day sleepless night instead chance u personally grow human being understanding hard choice help u uncover hidden power one u possesses,-0.6705,negative
dont try make right decision make decision right,0.0,neutral
make hard choice shouldnt asking men question,-0.1027,negative
really inspiring talk im truly amazed believe future able think way hard choice unfortunately still cant make one im struggling right safe option really want would logical one hand option fear way would mean giving everything think one could one could regret either choose something know wont really happy choose one might regret,0.1708,positive
brilliant ask simple question choice make expand grow ask another one month live answer dont think eventually understand choice make already done another parallel reality actually finally got imagine choice well dont lovely day u,0.6283,positive
thank video,0.3612,positive
dont think really answer question,0.0,neutral
hate ted talk like defining question problem rest answer never get comprehend ughh,-0.5994,negative
explained really well,0.3384,positive
like kramer always wanted banker,0.3612,positive
helpful deciding whether leave place commute making reason move everyone around pushed save money changing life thank,0.8074,positive
honestly know want need know see truly easier said done must honestly answer question something ability well year old blind man choosing become blackbelt taekwondo always badimpossible choice,0.9136,positive
wow wow never thought would benefit ted talk much one wont drifter thank sharing wisdom,0.7251,positive
basically know choice would easier,0.4215,positive
let ignatian discernment shall,0.0,neutral
wonderful advice choice money always get way decision,0.5719,positive
hay persona que toman sus propias decisiones eso tambin la convierte en lo que son,0.0,neutral
anyone assignment according video content hard choice give u power become true facing hard choice best given u alternative term ruth chang us describe individual allows world instead write story make decision drifter,0.7351,positive
year later ted talk needed deep know need true ourself confident even scary af,0.4215,positive
thanks mam needed,0.4404,positive
wow paradigm shift thinking choice make come reason give make choice drifter guilty charged make choice difficulty based reason outside fear others expectation punishmentreward feel like could watch multiple time get something new,-0.4404,negative
thank mr chang wonderful speech maria stefanidi,0.7351,positive
cmo le abrazo virtualmente gracias,0.0,neutral
thank teacher life,0.3612,positive
pay way completion,-0.1027,negative
taken easy choice running away dont anything caused alot suffering beacuse didnt listen iam trying listen sometimes fail going forward,-0.5719,negative
dont get funny choosing law philosophy,-0.3412,negative
im think perod proff reading comma might work im willing see another direction first version camr first rust im kinda ok thrill cheap shot fun element ok yes work yes part time lazy htong thank part time pulse,0.9142,positive
maybe likeyour version isee way ou see yes agree realistic way mean surviv socity plus surger part well goood stsar begain agreeded,0.743,positive
lowest viewed ted talk thank coming ted talk,-0.0258,neutral
ok understand nature hard choice solution proposed prolonged talk nature solution,0.6597,positive
first ted talk ive ever seen thats truly rocked world woman word shook core im glad got hear profound,0.6705,positive
goal utilitarianism think always choice ought choose,0.0,neutral
hard choice precious opportunity celebrate human condition reason govern choice correct incorrect sometimes run space hard choice power create reason become distinctive people thats hard choice curse godsend,0.886,positive
absolutely love needed thankyou,0.6697,positive
mr nobody nemo nobody im,0.0,neutral
change mind every minute,0.0,neutral
festival clichs obvious phrase common sense,0.4939,positive
boring uninspiring,-0.3182,negative
sorry bit topic butomg isnt esther perel,-0.0772,negative
omg esther perel audience,0.0,neutral
thank mr chang,0.3612,positive
wisdom first minute second alone astounding thank much video really wish watched video first uploaded would certainly helped confidence facing hard choice something learned life experience faced hard choice pro con matter way turn,0.9286,positive
im trying decide game play huge backlog,0.5719,positive
everyone laugh said choosing philosophy law dont think supposed funny,0.2946,positive
pretty good,0.7269,positive
fabolous,0.0,neutral
kid animal,0.0,neutral
need collage degree understand shes saying,0.0,neutral
nutshell making choice ask decision help become get right,0.4019,positive
muito bom,0.0,neutral
interesting thank,0.6369,positive
power create reason think thank ruth thank ted,0.7269,positive
also hard choice hard change life totally long run otherwise choice really breakfast project go month example doesnt require lot probably would easily decide video definitely gave new insight mam,0.5106,positive
actually good one flipping coin flipping coin two alternative give understanding one want time coin still air,0.4939,positive
still dont know choice make,0.0,neutral
drifter thank amazing talk ruth found google search admittedly bored first talk alternative stuff thought going confuse got par value comparable qualitative measure wow got ive spent many year drifting around career career idea idea job job see come value want become want form lifetime go along value really matter screw formula decision make currently going throw pro con switch mindset wish knew stuff young,0.9461,positive
recommended watching mr nobody yea dont exist nemo nobody,0.2023,positive
hello libra,0.0,neutral
appears lady made choice bore,-0.25,negative
problem choice impact direct people related,-0.4019,negative
pov module brought,0.0,neutral
ayos nga yun,0.0,neutral
gon na lie clue meant,0.0,neutral
esther perel deeply listening know topic good,0.4404,positive
question ask find reason advance retrospect,0.0,neutral
hard choice hard ignorance theyre hard best option hit different,0.128,positive
maybe im currently trying make choice drifter path may hard unmotivable choose,-0.1027,negative
say watch video anytime make hard choice im lying,-0.5859,negative
see esther perel audience gosh id give room thinker like ruth,0.3612,positive
making choice ive chronic pain vertigo wanted adopt cat yeah similar following upsetting content doesnt feel right ask adopted cat got heart broken never anxious thought cat seemed died one worst condition even choosing euthanize wrong choice second cat died similar issue decided never adopt still horrendous symtoms quite disgusted fxxd twice sorry,-0.966,negative
knew woman would give really smart answer lol mind blown versed structured,0.7233,positive
trying decide black controller animal crossing controller like important choice universe,0.5106,positive
best ted lecture ive ever listened waaaay underwatched,0.6369,positive
shes amazing,0.5859,positive
people possibly watch hear meaningful word literally spewing empty repetitive thought,-0.128,negative
needed,0.0,neutral
covid vaxx brought,0.0,neutral
always marry lilith,0.0,neutral
dont get made confused,0.2411,positive
wish theyve put camera one person clapping im doughnut stopping awkwardly,-0.0516,negative
make reason become distinctive people,0.0,neutral
sorry still cant make mind lol,-0.3883,negative
ailing parent moving choice moral obligation take care parent,0.4939,positive
pornstar year money whole crypto boom decided make digital art love art ive became millionaire,0.6369,positive
thanks video best one understand thing better mnkwing something like,0.91,positive
faced hard choice dont make decision based reason given others rather need create reason choice kind person want year line choice make become person choice best go value belief right wrong choice there choice give thought pick one work best make right choice,0.9201,positive
need talk chidi anagonye,0.0,neutral
choosing two option par indeed difficult use intellect instinct choose however made choice full commitment choice make right choice,0.4767,positive
always come back whenever need make big choice,0.0,neutral
great talk glad chose look self help video situation instead something would entertain way explained precise hit mark best mark could hit without making u slave outside choice,0.946,positive
ted talk powerful part basis human creates brain brain creates human ruth put decision making process clear way undeniably make decision different everyone send video someone keep circulation alive sake intentional human,0.8807,positive
told stop scared follow heart wont happy content love,-0.8877,negative
want partner child right saving pay debt im saving travel either side world getting job degree get partner,-0.3818,negative
dont drifter take charge life really make happy,0.6096,positive
luxuriant dill marginally guide insulation ipsilaterally develop historical canvas enchanted red person,0.3818,positive
ruth chang video extraordinary thank think listen another time really get head around concept using decision forge want sound simple quite profound know drifter allow world make decision dont like making decision b fear failure try take autonomy decision thank,-0.3421,negative
cereal donat would take,0.0,neutral
smart man would marry betty could marry lolita,0.4019,positive
genious,0.0,neutral
mum mum,0.0,neutral
soy la unica que habla espaol aqui,0.0,neutral
uh laughing guess haha,0.7351,positive
think best choice video ive ever seen ability assign reason within become person wish hard choice therefore curse blessing thank ruth,0.875,positive
didnt watch commented ive making hard choice life need make hard choice work,-0.2023,negative
hard choice,-0.1027,negative
best ted talk ive ever seen,0.6369,positive
thankful position make choice people choice,0.5719,positive
casual esther perel,0.2023,positive
excellent,0.5719,positive
one best tedtalks glad became philosopher otherwise video wouldnt exist,0.802,positive
neither better theyre equal thats possible,-0.3412,negative
excellent wish gave lecture reminds viktor frankls lecture finding meaning one life make fulfilling without meaning people drift usually unhappy,0.5574,positive
come video middle night trying decide switch job equal pay equal role different department hard choice similar job current job offer stability easy pas since already know job new job offer new learning opportunity along lot hard work gain knowledge reasoning salary change risk uncertain challenge new job well obviously something dont like current job otherwise wouldnt hard choice internal battle think video gave answer want learn new thing fear change risk dont let fear risk stop want,-0.8523,negative
love casually show esther perel sitting crowd,0.7096,positive
sorrybut didnt gave answears,0.0,neutral
essentially youre creating false dichotomy,0.296,positive
conflates choice decision,0.0,neutral
really deciding preference make choice eat noodle instead bread using inner desire make decision actually calculated way got preference first place doesnt seem,0.4019,positive
mr nobody brought,0.0,neutral
nobody,0.0,neutral
dropped decision decision unemployed unemployed,0.0,neutral
choose bewteen medical school clinical psychology im lost,-0.3182,negative
lotta great helpful stuff unfortunately takeaway pork tongue idea luxury,0.6705,positive
gon na lie better expected im middle tough decision made cry good tear course,0.296,positive
hard choice called decision,-0.1027,negative
good thank,0.6597,positive
perfect answer philosothy deegre guess early life going throught rather perplexing situation seriously best thank,0.8658,positive
correct decision chose,0.0,neutral
verdadeiro e emocionante,0.0,neutral
summary hard choice neither alternative better overall hence difficult choose choice may hard time unimportant like choosing food menu also important hard choice outcome often unknown make harder dont naive scientific attitude try put choice linear scale good bad complex number entanglement example incomparable unquantifiable thing science imagine hard life must thing rationally good bad alternative hard choice everything could rationalized would reduced automaton word instead episode agony hard choice opportunity u express consciousness person,-0.75,negative
true compare icomplex number,0.4767,positive
god im indecisiveits like one main thing id like change,0.7269,positive
thanks lot,0.4404,positive
beautiful impressive amazing soul interesting n informative talk thank bless dream come true,0.9712,positive
nugget im taking away reason govern choice correct incorrect sometimes run space hard choice power create reason become distinctive people,0.1779,positive
helped decide start gender transition thank much,0.3612,positive
soooooo good,0.4404,positive
hard choice smh,-0.4019,negative
perfect,0.5719,positive
hi guy show get full script video thanks,0.4404,positive
yes understand special word dont understand make hard choice,0.6904,positive
lesson came hahahaha love talk,0.6369,positive
love maamthank much,0.6369,positive
past two year ive deciding whether move back miami move back nyc love city good good thing watching video really put thing perspective,0.875,positive
philosophy brought,0.0,neutral
life meaningless,-0.4404,negative
loli nani,0.0,neutral
amazing thank much big decison make today inchallah could make month hope make make final decison,0.8481,positive
watched earlier life,0.0,neutral
late finding video could changed mind,0.0,neutral
right make one choice buy one thing really need get also time scared make bad choice frustrated,-0.8689,negative
like imagine neo matrix kind thinking going head faced choice red pill blue pill,0.7096,positive
lol suggesting thinking studyig law gold,0.4215,positive
came channel like story old video explaining movie mr nobody,0.3612,positive
space hard choice power create reason become distinctive person thats hard choice arent curse godsend,0.0201,neutral
still dont know dilemma far difficult example give damn,-0.5693,negative
want free person,0.5574,positive
l one doesnt understand audience laugh,-0.4449,negative
shut,0.0,neutral
thought seeing isnt realm making choice better hand psychologist thought seeing insidefull thought seeing question people decide want put differently stuck knowing want dont feel fit decision problem change place outer inner realm,0.224,positive
choice life best choice look reason heart dont drifter defeated fear unknown fear failure make want walking way,0.8406,positive
im introduction philosophy human person,0.0,neutral
dont spend long trying make decision even knew outcome choice wouldnt make easier choose,-0.3252,negative
go norway better footballing career reunite mom could stay friend rest family,0.7269,positive
woman looking lovingly wholesome,0.6369,positive
glad watched ability pressured societal norm often curtailed background situation lot harder certain society definitely hard wealthy developing nation,0.8519,positive
video missed something fundamental idea support discourse make hard choice quite deceiving make choice know choice choosing lack element tryingyou know whats best choice unless youll try choice first also believe sometimes bound pressure nonsensical preach others simple choice lead hard choice trying best optionsolution afraid make hard choice make u savvy good reason thats part life deal give shot,0.6605,positive
idea way elaborates like asmr one moment feel glad human who able understand,0.6705,positive
talk truely life changing realizewhy find hard choose two option dont know turn fear blind making choice equally good realize heart really want create reason support decision working create path making choice turn right cofusion thank,0.8996,positive
im young make big descion here whats happening life dad mom sick cant earn enough money afford rent told youngest sibling either go back country let die america also leave friend parent spend money non necessary stuff keep telling waste money useless stuff cause stress anxiety whyy,-0.9231,negative
david hume reason ought slave passion,0.4588,positive
watch second time understand,0.0,neutral
listened twice hear two message version one agency creating person want become second implicitly story lawyer v philosopher said chose law school safe ultimately fit loved suggests psychology personality less room maneuver sound like could happy lawyer choice given personality value structure could satisfied lawyer choice equal value might make reason money safety heart body would rebel,0.9771,positive
took around world ended getting lost isolated island,-0.5574,negative
wow anyone crazy year later still relevant helpful,0.6369,positive
let mechanism reward punishment pat head fear easiness option determine,-0.0258,neutral
studying law dont want lawyer working alternative great today decided quit follow interest wish luck,0.9114,positive
didnt really fully grasp watching second time around first time didnt find helpful reality quite profound let go procon list endless comparison analysis every feature let go fear taking safer easier route decide want want live choose whatever get closer celebrate hard choice opportunity define life,0.7762,positive
thank ruth chang like philosophy similar stephen covey nd rd habit programmer write program let somebody write colossal point,0.6124,positive
easily best ted talk ive ever listened,0.765,positive
decide kind people want thats another hard choice,0.5106,positive
yea missed calling lawyer good explaining unexplainable could listen talk day,0.1779,positive
come lifetime decision u marry career choose live trust gut feeling going happy youre rational time sometimes right boil make happy,0.9042,positive
exactly video needed right really hard time choosing two school equal amount positive negative really help way choose,0.296,positive
iv always drifter never happy video explains lot,-0.4585,negative
wish reflect upon consider matter consult something within say shall shall better make journey abandon consult within deciding question surely distinct power intelligent ego distinct ego would consulting greater faculty thought spirit teach advises decides upon matter abdulbaha bahai faith,0.93,positive
really good thank much,0.7159,positive
amount brilliantly useful information lecture mind boggling,0.7845,positive
woman helped change life,0.0,neutral
unkooowwwwwnnn,0.0,neutral
par aka similar,0.0,neutral
answer question make hard decision dislike,-0.4588,negative
solution,0.3182,positive
omg amazed analysis expression insight,0.4939,positive
nurse doctor year old trying find one hard choice coming life,-0.1027,negative
reason created u u,0.25,positive
ruth,0.0,neutral
choice refuse make one decided,-0.296,negative
least stupid,0.4168,positive
trying decide whether continue gymnastics pursue dance,0.0,neutral
need god grace worst turn blessing,0.4588,positive
biggest problem avoiding reason sometimes people get drifted inner desire much dont care others wellbeing thats good collective whole creates thing like corruption inequality hierarchy,0.3553,positive
oh dare say beautiful revolutionised entire future choose study today allowed make choice person really ignored thank much love france,0.8514,positive
truly inspiring,0.6908,positive
excellent talk thank,0.7351,positive
okay choose betty lolita,0.2263,positive
one fav tedtalks forever carry,0.4588,positive
face lol,0.4215,positive
hmmm helped thought core saying good feel like kind diluted thing actually detracted point someone comment said make choice make turn good one understand came conclusion based video think people like would clearer understanding video beed lot direct im gon na break word might help people important part mentioned drifter drifter someone who aimless subsequently doesnt understand important able recognize meaning look jordan peterson meaning defining goal principle allows recognize choice yield meaning consequence decision thats dont think add said might make point clearer though idk also keep mind jordan peterson politically controversial great life philosophy id encourage anyone look he important like lot say life nothing easy choice youd slave decision good day like comment help,0.9857,positive
im glad ted talk resource didnt expert give opinion worked long easily available grateful,0.8126,positive
think movie mrnobody best illustration ted talk talk best conclusion movie,0.8555,positive
trying decide whether brush teeth eat pretzel,0.0,neutral
neeeemmoooooooo,0.0,neutral
mr nobody best film represents philosophy talk,0.6369,positive
could listen day thank sincerely im glad became philosopher,0.8225,positive
